unknown,TFIDF_cosine,libVar
11253.json,0.98772,RAWrabicaShamAY2
0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1,0.82826,RELEASE
0001ImruQaysIbnHujr.Diwan.Shamela0027112-ara1,0.82795,RELEASE
Sham30K0002805,0.81253,RAWrabica005000
Shamela027112.txt,0.80945,raw_ShamelaY19
27112.bok.json,0.80866,RAWrabicaSham19Y
182.json,0.80414,RAWrabicaShamAY1
21574.bok.json,0.78133,RAWrabicaSham19Y
Shamela021574.txt,0.77895,raw_ShamelaY19
0476AclamShantamari.AshcarShucara.Shamela0005449-ara1,0.77724,RELEASE
0476AclamShantamari.AshcarShucara.Shamela0005449-ara1,0.77715,RELEASE
21574.json,0.77675,RAWrabicaShamAY2
5449.json,0.77556,RAWrabicaShamAY1
Sham30K0033927,0.77007,RAWrabica020000
0502IbnCaliTabriziShaybani.SharhQasaid.Shamela0037488-ara1,0.76949,RELEASE
0502IbnCaliTabriziShaybani.SharhQasaid.Shamela0037488-ara1,0.76883,RELEASE
0468IbnAhmadWahidiNaysaburi.SharhDiwanMutanabbi.Shamela0000754-ara1,0.76848,RELEASE
0468IbnAhmadWahidiNaysaburi.SharhDiwanMutanabbi.JK010754-ara1,0.7684,RELEASE
0468IbnAhmadWahidiNaysaburi.SharhDiwanMutanabbi.JK010754-ara1,0.76832,RELEASE
5402.json,0.76771,RAWrabicaShamAY1
867.json,0.76765,RAWrabicaShamAY1
5402.bok.json,0.76736,RAWrabicaSham19Y
754.json,0.76712,RAWrabicaShamAY1
Shamela037488.txt,0.76704,raw_ShamelaY19
1093CabdQadirBaghdadi.KhizanatAdab.Shia004649Vols-ara1,0.75834,RELEASE
0502IbnCaliTabriziShaybani.DiwanHamasa.JK001099-ara1,0.75722,RELEASE
0502IbnCaliTabriziShaybani.DiwanHamasa.JK001099-ara1,0.75693,RELEASE
0502IbnCaliTabriziShaybani.DiwanHamasa.Shamela0006907-ara1,0.75679,RELEASE
6907.bok.json,0.75666,RAWrabicaSham19Y
6907.json,0.75637,RAWrabicaShamAY1
0449AbuCalaMacarri.MucjizAhmad.JK010753-ara1,0.75623,RELEASE
0449AbuCalaMacarri.MucjizAhmad.Shamela0000753-ara1,0.75622,RELEASE
7414.json,0.75592,RAWrabicaShamAY1
7414.bok.json,0.75589,RAWrabicaSham19Y
1102NurDinYusi.ZahrAkam.JK010766-ara1,0.7557,RELEASE
0449AbuCalaMacarri.MucjizAhmad.JK010753-ara1,0.75552,RELEASE
0540AbuMansurJawaliqi.SharhAdabKatib.JK010646-ara1,0.75507,RELEASE
0540AbuMansurJawaliqi.SharhAdabKatib.Shamela0001587-ara1,0.75476,RELEASE
0540AbuMansurJawaliqi.SharhAdabKatib.JK010646-ara1,0.75473,RELEASE
753.json,0.75472,RAWrabicaShamAY1
Shamela023785.txt,0.75433,raw_ShamelaY19
1587.json,0.75356,RAWrabicaShamAY1
33782.json,0.75336,RAWrabicaShamAY2
12732.json,0.75335,RAWrabicaShamAY2
0619AbuCabbasSharishi.SharhMaqamatHariri.Sham19Y0000760-ara1,0.75262,RELEASE
