unknown,TFIDF_cosine,libVar
34092.json,0.99996,RAWrabicaShamAY2
0502RaghibIsbahani.Mufradat.ShamAY0034092-ara1,0.99969,RELEASE
0502RaghibIsbahani.Mufradat.Shia002552-ara1,0.99901,RELEASE
Shia002552,0.95806,RAWrabica040000
0502RaghibIsbahani.Mufradat.Shamela0023636-ara1,0.95218,RELEASE
3867.html,0.95107,RAWrabicaRafed
003644.automARkdown,0.94838,RAW_Masaha
Sham30K0014454,0.93824,RAWrabica015000
Shamela023636.txt,0.89699,raw_ShamelaY19
8514.automARkdown,0.89637,RAW_Ghbook
23636.json,0.88528,RAWrabicaShamAY2
17829.bok.json,0.86818,RAWrabicaSham19Y
32547.json,0.86752,RAWrabicaShamAY2
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.84199,RELEASE
1641.json,0.84173,RAWrabicaShamAY1
Shamela037586.txt,0.81991,raw_ShamelaY19
0395AbuHilalCaskari.WujuhWaNazair.Shamela0037586-ara1,0.81984,RELEASE
8320.json,0.81886,RAWrabicaShamAY1
1098.json,0.81844,RAWrabicaShamAY1
0489IbnMuhammadSamcani.TafsirQuran.Shia002544Vols-ara1,0.81836,RELEASE
0489IbnMuhammadSamcani.TafsirQuran.Shamela0008320-ara1,0.81827,RELEASE
0489IbnMuhammadSamcani.TafsirQuran.JK006476-ara1,0.81826,RELEASE
Sham30K0008320,0.81394,RAWrabica010000
1466.bok.json,0.812,RAWrabicaSham19Y
1466.json,0.81195,RAWrabicaShamAY1
Sham30K0033987,0.81137,RAWrabica020000
003694Vols.automARkdown,0.80974,RAW_Masaha
32513.json,0.80882,RAWrabicaShamAY2
0360Tabarani.Tafsir.ShamAY0033108-ara1,0.80738,RELEASE
3927.html,0.80685,RAWrabicaRafed
33108.json,0.806,RAWrabicaShamAY2
3917.html,0.80494,RAWrabicaRafed
1390.json,0.80343,RAWrabicaShamAY1
0360Tabarani.TafsirKabir.Tafsir02091-ara1,0.80237,RELEASE
0502RaghibIsbahani.DharicaFiMakarimSharica.Shamela0001390-ara1,0.80216,RELEASE
0330IbnCuzayrSijistani.Ishtiqaq.ShamAY0036737-ara1,0.80107,RELEASE
1234.html,0.7995,RAWrabicaRafed
Sham30K0038852,0.79933,RAWrabica025000
34068.json,0.79892,RAWrabicaShamAY2
000150Vols.automARkdown,0.79814,RAW_Masaha
3914.html,0.79587,RAWrabicaRafed
3197.html,0.79473,RAWrabicaRafed
3247.html,0.79462,RAWrabicaRafed
3201.html,0.7946,RAWrabicaRafed
0460ShaykhTusi.Tibyan.Tafsir04039-ara1,0.79437,RELEASE
0429AbuMansurThacalibi.Jawahir.ShamAY0034066-ara1,0.79311,RELEASE
0548IbnHasanTabarsi.TafsirMajmacBayan.Tafsir04003-ara1,0.79282,RELEASE
1450.html,0.79281,RAWrabicaRafed
002554Vols.automARkdown,0.79181,RAW_Masaha
3200.html,0.79017,RAWrabicaRafed
1451.html,0.78744,RAWrabicaRafed
3179.html,0.78736,RAWrabicaRafed
34066.json,0.78688,RAWrabicaShamAY2
0338AbuJacfarNahhas.MacaniQuran.Shamela0000940-ara1,0.78672,RELEASE
3258.html,0.78645,RAWrabicaRafed
0338AbuJacfarNahhas.MacaniQuran.JK000447-ara1,0.78644,RELEASE
0276IbnQutaybaDinawari.TawilMushkilQuran.Shamela0023596-ara1,0.78596,RELEASE
940.json,0.78586,RAWrabicaShamAY1
1450MuhammadCaliSabuni.MukhtasarTafsirIbnKathir.Tafsir09084-ara1,0.7857,RELEASE
1247.html,0.78527,RAWrabicaRafed
Shamela023596.txt,0.78486,raw_ShamelaY19
140.json,0.78468,RAWrabicaShamAY1
Shamela021549.txt,0.78358,raw_ShamelaY19
0367AbuLaythSamarqandi.BahrCulum.Tafsir02011-ara1,0.78295,RELEASE
1696.json,0.78248,RAWrabicaShamAY1
0283SahlTustari.Tafsir.Tafsir03029-ara1,0.78223,RELEASE
21549.bok.json,0.78208,RAWrabicaSham19Y
3934.html,0.78201,RAWrabicaRafed
3256.html,0.78151,RAWrabicaRafed
3123.html,0.78079,RAWrabicaRafed
3192.html,0.78068,RAWrabicaRafed
1436.html,0.78059,RAWrabicaRafed
3836.html,0.78053,RAWrabicaRafed
3466.html,0.78033,RAWrabicaRafed
3235.html,0.77957,RAWrabicaRafed
3196.html,0.77938,RAWrabicaRafed
3960.html,0.7792,RAWrabicaRafed
