unknown,TFIDF_cosine,libVar
0502RaghibIsbahani.Mufradat.JK001150-ara1,0.99969,RELEASE
34092.json,0.99964,RAWrabicaShamAY2
0502RaghibIsbahani.Mufradat.Shia002552-ara1,0.99878,RELEASE
Shia002552,0.95943,RAWrabica040000
0502RaghibIsbahani.Mufradat.Shamela0023636-ara1,0.95326,RELEASE
3867.html,0.95082,RAWrabicaRafed
003644.automARkdown,0.94948,RAW_Masaha
Sham30K0014454,0.93815,RAWrabica015000
Shamela023636.txt,0.89824,raw_ShamelaY19
8514.automARkdown,0.8974,RAW_Ghbook
23636.json,0.88676,RAWrabicaShamAY2
17829.bok.json,0.86913,RAWrabicaSham19Y
32547.json,0.86846,RAWrabicaShamAY2
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.84237,RELEASE
1641.json,0.84206,RAWrabicaShamAY1
Shamela037586.txt,0.81981,raw_ShamelaY19
0395AbuHilalCaskari.WujuhWaNazair.Shamela0037586-ara1,0.81972,RELEASE
8320.json,0.81905,RAWrabicaShamAY1
0489IbnMuhammadSamcani.TafsirQuran.Shia002544Vols-ara1,0.81855,RELEASE
0489IbnMuhammadSamcani.TafsirQuran.Shamela0008320-ara1,0.81847,RELEASE
0489IbnMuhammadSamcani.TafsirQuran.JK006476-ara1,0.81846,RELEASE
1098.json,0.81831,RAWrabicaShamAY1
Sham30K0008320,0.81416,RAWrabica010000
1466.bok.json,0.81236,RAWrabicaSham19Y
1466.json,0.81231,RAWrabicaShamAY1
Sham30K0033987,0.81156,RAWrabica020000
003694Vols.automARkdown,0.81057,RAW_Masaha
32513.json,0.80939,RAWrabicaShamAY2
3927.html,0.80738,RAWrabicaRafed
0360Tabarani.Tafsir.ShamAY0033108-ara1,0.80697,RELEASE
33108.json,0.80554,RAWrabicaShamAY2
3917.html,0.80532,RAWrabicaRafed
1390.json,0.80375,RAWrabicaShamAY1
0502RaghibIsbahani.DharicaFiMakarimSharica.Shamela0001390-ara1,0.80252,RELEASE
0330IbnCuzayrSijistani.Ishtiqaq.ShamAY0036737-ara1,0.80194,RELEASE
0360Tabarani.TafsirKabir.Tafsir02091-ara1,0.8019,RELEASE
1234.html,0.80046,RAWrabicaRafed
Sham30K0038852,0.79949,RAWrabica025000
34068.json,0.79927,RAWrabicaShamAY2
000150Vols.automARkdown,0.7986,RAW_Masaha
3914.html,0.79642,RAWrabicaRafed
3247.html,0.79532,RAWrabicaRafed
3197.html,0.79501,RAWrabicaRafed
0460ShaykhTusi.Tibyan.Tafsir04039-ara1,0.79482,RELEASE
3201.html,0.79481,RAWrabicaRafed
0429AbuMansurThacalibi.Jawahir.ShamAY0034066-ara1,0.79355,RELEASE
0548IbnHasanTabarsi.TafsirMajmacBayan.Tafsir04003-ara1,0.79341,RELEASE
1450.html,0.79335,RAWrabicaRafed
002554Vols.automARkdown,0.79249,RAW_Masaha
3200.html,0.79047,RAWrabicaRafed
1451.html,0.78795,RAWrabicaRafed
3179.html,0.78786,RAWrabicaRafed
34066.json,0.78725,RAWrabicaShamAY2
0338AbuJacfarNahhas.MacaniQuran.Shamela0000940-ara1,0.7871,RELEASE
3258.html,0.78689,RAWrabicaRafed
0338AbuJacfarNahhas.MacaniQuran.JK000447-ara1,0.78656,RELEASE
0276IbnQutaybaDinawari.TawilMushkilQuran.Shamela0023596-ara1,0.78647,RELEASE
940.json,0.78627,RAWrabicaShamAY1
1247.html,0.78608,RAWrabicaRafed
1450MuhammadCaliSabuni.MukhtasarTafsirIbnKathir.Tafsir09084-ara1,0.78575,RELEASE
140.json,0.78553,RAWrabicaShamAY1
Shamela023596.txt,0.78539,raw_ShamelaY19
Shamela021549.txt,0.78388,raw_ShamelaY19
0367AbuLaythSamarqandi.BahrCulum.Tafsir02011-ara1,0.78285,RELEASE
1696.json,0.78272,RAWrabicaShamAY1
3934.html,0.78258,RAWrabicaRafed
21549.bok.json,0.78232,RAWrabicaSham19Y
0283SahlTustari.Tafsir.Tafsir03029-ara1,0.78208,RELEASE
3256.html,0.78204,RAWrabicaRafed
3123.html,0.78167,RAWrabicaRafed
3836.html,0.78144,RAWrabicaRafed
3192.html,0.78116,RAWrabicaRafed
1436.html,0.781,RAWrabicaRafed
3466.html,0.78063,RAWrabicaRafed
3235.html,0.78005,RAWrabicaRafed
3960.html,0.77982,RAWrabicaRafed
3196.html,0.77969,RAWrabicaRafed
925.json,0.77965,RAWrabicaShamAY1
0370AbuMansurAzhari.ZahirFiGharibAlfazShafici.Shamela0011319-ara1,0.77961,RELEASE
3246.html,0.77957,RAWrabicaRafed
3947.html,0.77949,RAWrabicaRafed
Shamela037538.txt,0.77936,raw_ShamelaY19
0553BayanHaqqNaysaburi.BahirBurhan.Shamela0037538-ara1,0.77936,RELEASE
3952.html,0.77935,RAWrabicaRafed
3928.html,0.77884,RAWrabicaRafed
3239.html,0.7787,RAWrabicaRafed
3955.html,0.77846,RAWrabicaRafed
3203.html,0.7782,RAWrabicaRafed
1480.json,0.77674,RAWrabicaShamAY1
Shamela038000.txt,0.77564,raw_ShamelaY19
38000.bok.json,0.77561,RAWrabicaSham19Y
12.json,0.77543,RAWrabicaShamAY1
1452.html,0.77543,RAWrabicaRafed
23612.bok.json,0.77531,RAWrabicaSham19Y
3234.html,0.77529,RAWrabicaRafed
3946.html,0.7752,RAWrabicaRafed
Shamela037458.txt,0.77516,raw_ShamelaY19
1431MuhammadSayyidTantawi.TafsirWasit.Tafsir07057-ara1,0.77512,RELEASE
1449.html,0.77474,RAWrabicaRafed
3184.html,0.77438,RAWrabicaRafed
Shamela036432.txt,0.77417,raw_ShamelaY19
30.json,0.77408,RAWrabicaShamAY1
Shamela022593.txt,0.77397,raw_ShamelaY19
660.json,0.77389,RAWrabicaShamAY1
Shamela023612.txt,0.77373,raw_ShamelaY19
3950.html,0.7737,RAWrabicaRafed
8454.json,0.77368,RAW_ABLibrary
2957.html,0.77336,RAWrabicaRafed
2695.automARkdown,0.77332,RAW_Ghbook
Shamela021562.txt,0.77311,raw_ShamelaY19
766.json,0.77305,RAW_ABLibrary
3957.html,0.77281,RAWrabicaRafed
23612.json,0.77271,RAWrabicaShamAY2
8967.json,0.77262,RAWrabicaShamAY1
Shamela021654.txt,0.77256,raw_ShamelaY19
2962.html,0.77245,RAWrabicaRafed
35615.json,0.77218,RAWrabicaShamAY3
3805.html,0.77208,RAWrabicaRafed
3931.html,0.77189,RAWrabicaRafed
001039Vols.automARkdown,0.77181,RAW_Masaha
1453.html,0.77163,RAWrabicaRafed
3190.html,0.77138,RAWrabicaRafed
9108.json,0.77125,RAWrabicaShamAY1
3710.html,0.77116,RAWrabicaRafed
1450MuhammadCaliSabuni.SafwatTafasir.Tafsir09083-ara1,0.77108,RELEASE
3181.html,0.77106,RAWrabicaRafed
0502RaghibIsbahani.TafsilNashatayn.Shamela0021562-ara1,0.77096,RELEASE
23594.bok.json,0.77093,RAWrabicaSham19Y
0502RaghibIsbahani.TafsilNashatayn.JK010181-ara1,0.77093,RELEASE
3699.html,0.77092,RAWrabicaRafed
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.77075,RELEASE
21654.json,0.77066,RAWrabicaShamAY2
Sham30K0002645,0.77045,RAWrabica005000
3720.html,0.77023,RAWrabicaRafed
1657.json,0.77016,RAWrabicaShamAY1
0367AbuLaythSamarqandi.BahrCulum.Shamela0023594-ara1,0.77013,RELEASE
21562.bok.json,0.7701,RAWrabicaSham19Y
3907.html,0.76977,RAWrabicaRafed
1412SayyidTabatabai.TafsirMizan.Tafsir04056-ara1,0.76965,RELEASE
