unknown,TFIDF_cosine,libVar
34172.json,0.99994,RAWrabicaShamAY2
6083.json,0.98732,RAWrabicaShamAY1
0507IbnQaysarani.AtrafGharaib.Shamela0006083-ara1,0.98728,RELEASE
0507IbnQaysarani.AtrafGharaib.JK005006-ara1,0.98725,RELEASE
11385.json,0.84789,RAWrabicaShamAY2
0742Mizzi.TuhfatAshraf.Shamela0011385-ara1,0.84713,RELEASE
33996.json,0.83951,RAWrabicaShamAY2
0385Daraqutni.Afrad.ShamAY0033996-ara2,0.8385,RELEASE
0385Daraqutni.Afrad.ShamAY0038051-ara2,0.82048,RELEASE
0385Daraqutni.CilalWarida.Shia003117Vols-ara1,0.81628,RELEASE
34177.json,0.81361,RAWrabicaShamAY2
0385Daraqutni.CilalWarida.Shamela0009082-ara1,0.81358,RELEASE
34171.json,0.81354,RAWrabicaShamAY2
6060.json,0.81321,RAWrabicaShamAY1
0385Daraqutni.CilalWarida.ShamAY0034177-ara2,0.81306,RELEASE
0385Daraqutni.CilalWarida.ShamAY0034171-ara3,0.81284,RELEASE
6060.bok.json,0.81268,RAWrabicaSham19Y
38051.json,0.81218,RAWrabicaShamAY3
0385Daraqutni.CilalWarida.Shamela0009082-ara1,0.81215,RELEASE
0507IbnQaysarani.DhakhiratHuffaz.Shamela0006060-ara1,0.81128,RELEASE
0507IbnQaysarani.DhakhiratHuffaz.Shamela0006060-ara1,0.8112,RELEASE
6049.bok.json,0.80744,RAWrabicaSham19Y
0385Daraqutni.CilalWarida.JK000522-ara1,0.80608,RELEASE
0317IbnCammarShahid.CilalAhadith.Shamela0006049-ara1,0.80571,RELEASE
34174.json,0.80517,RAWrabicaShamAY2
0317IbnCammarShahid.CilalAhadith.JK001029-ara1,0.80435,RELEASE
6049.json,0.8037,RAWrabicaShamAY1
0317IbnCammarShahid.CilalAhadith.ShamAY0034174-ara1,0.80308,RELEASE
0317IbnCammarShahid.CilalAhadith.ShamAY0034174-ara1,0.80181,RELEASE
9082.json,0.79941,RAWrabicaShamAY1
33975.json,0.79839,RAWrabicaShamAY2
