unknown,TFIDF_cosine,libVar
0509IbnShahridarDaylami.Firdaws.JK001297-ara1,0.99995,RELEASE
6072.json,0.99991,RAWrabicaShamAY1
3968.html,0.82603,RAWrabicaRafed
Shamela096918.txt,0.76293,raw_ShamelaY19
2038.json,0.76245,RAWrabicaShamAY1
96918.bok.json,0.76221,RAWrabicaSham19Y
0388AbuSulaymanKhattabi.GhunyaCanKalam.ShamAY0033606-ara1,0.75765,RELEASE
7506.json,0.75696,RAWrabicaShamAY1
33728.json,0.75676,RAWrabicaShamAY2
7506.bok.json,0.75626,RAWrabicaSham19Y
32092.json,0.7554,RAWrabicaShamAY2
904.json,0.75421,RAWrabicaShamAY1
3415.html,0.75418,RAWrabicaRafed
0584IbnMunqidhShayzari.LubabAdab.Shamela0010496-ara1,0.75365,RELEASE
10496.json,0.75344,RAWrabicaShamAY1
Shamela036323.txt,0.75291,raw_ShamelaY19
0538JarAllahZamakhshari.RabicAbrar.JK010561-ara1,0.75152,RELEASE
001107.automARkdown,0.75116,RAW_Masaha
845.json,0.75096,RAWrabicaShamAY1
3774.html,0.74993,RAWrabicaRafed
0584IbnMunqidhShayzari.LubabAdab.JK010729-ara1,0.74974,RELEASE
33606.json,0.74955,RAWrabicaShamAY2
0562IbnHamdun.TadhkiraHamduniyya.Shamela0010646-ara1,0.74904,RELEASE
11496.json,0.74817,RAWrabicaShamAY2
35110.json,0.74812,RAWrabicaShamAY3
11496.bok.json,0.74811,RAWrabicaSham19Y
002494Vols.automARkdown,0.74729,RAW_Masaha
000996Vols.automARkdown,0.74729,RAW_Masaha
001072.automARkdown,0.74547,RAW_Masaha
Shamela021582.txt,0.74532,raw_ShamelaY19
34411.json,0.74494,RAWrabicaShamAY3
0510IbnMascudBaghawi.Tafsir.Shamela0000041-ara1,0.74473,RELEASE
Shamela037372.txt,0.74472,raw_ShamelaY19
900.json,0.74436,RAWrabicaShamAY1
6537.json,0.74425,RAWrabicaShamAY1
Shamela037045.txt,0.74416,raw_ShamelaY19
0377IbnAhmadCasqalani.TanbihWaRadd.JK001263-ara1,0.74386,RELEASE
0377IbnAhmadCasqalani.TanbihWaRadd.Shamela0006537-ara1,0.74386,RELEASE
0562IbnHamdun.TadhkiraHamduniyya.JK009325-ara1,0.74279,RELEASE
0538JarAllahZamakhshari.RabicAbrar.Shamela0010668-ara1,0.74262,RELEASE
10668.json,0.74257,RAWrabicaShamAY1
21582.json,0.74233,RAWrabicaShamAY2
0300Anonymous.AkhbarDawlaCabbasiyya.Shamela0012226-ara1,0.74231,RELEASE
Shamela037626.txt,0.74222,raw_ShamelaY19
37372.bok.json,0.74211,RAWrabicaSham19Y
32978.json,0.74196,RAWrabicaShamAY2
216.json,0.74151,RAWrabicaShamAY1
Shamela095735.txt,0.74145,raw_ShamelaY19
392.json,0.74138,RAWrabicaShamAY1
0300Anonymous.AkhbarDawlaCabbasiyya.Shia003471-ara1,0.74128,RELEASE
912.json,0.74128,RAWrabicaShamAY1
0458Bayhaqi.AhkamQuranLiShafici.Shamela0003328-ara1,0.74126,RELEASE
Shamela021536.txt,0.74085,raw_ShamelaY19
874.json,0.74083,RAWrabicaShamAY1
34410.json,0.74081,RAWrabicaShamAY3
0510IbnMascudBaghawi.Tafsir.Shamela0012217-ara1,0.74073,RELEASE
37045.bok.json,0.74033,RAWrabicaSham19Y
41.json,0.74024,RAWrabicaShamAY1
Shamela030897.txt,0.74004,raw_ShamelaY19
1760.json,0.73974,RAWrabicaShamAY1
96278.bok.json,0.73968,RAWrabicaSham19Y
33736.json,0.73958,RAWrabicaShamAY2
21536.json,0.73948,RAWrabicaShamAY2
11292.json,0.73944,RAWrabicaShamAY2
Shamela037325.txt,0.73919,raw_ShamelaY19
Shamela096617.txt,0.73906,raw_ShamelaY19
8396.json,0.73899,RAW_ABLibrary
0386AbuTalibMakki.QutQulub.JK009298-ara1,0.73898,RELEASE
7292.json,0.73896,RAWrabicaShamAY1
482.json,0.73894,RAWrabicaShamAY1
0386AbuTalibMakki.QutQulub.Shamela0000482-ara1,0.73888,RELEASE
0561CabdQadirJilani.Ghunya.Sham19Y0017817-ara1,0.73859,RELEASE
001028.automARkdown,0.73826,RAW_Masaha
Shamela096278.txt,0.73803,raw_ShamelaY19
Shamela025800.txt,0.73775,raw_ShamelaY19
Sham30K0033933,0.73715,RAWrabica020000
0427AbuIshaqThaclabi.KashfWaBayan.Tafsir02075-ara1,0.73668,RELEASE
Sham30K0034070,0.73666,RAWrabica020000
8682.json,0.73608,RAW_ABLibrary
32542.json,0.73597,RAWrabicaShamAY2
Shamela020855.txt,0.73586,raw_ShamelaY19
0510IbnMascudBaghawi.Tafsir.JK000464-ara1,0.73578,RELEASE
0427AbuIshaqThaclabi.KashfWaBayan.Shia002529Vols-ara1,0.73548,RELEASE
