unknown,TFIDF_cosine,libVar
12857.json,0.99715,RAWrabicaShamAY2
0515CumarKhayyam.Rubaciyyat.JK010581-ara1,0.98302,RELEASE
12857.bok.json,0.97442,RAWrabicaSham19Y
1111MuhammadAminMuhibbi.NafahatRayhana.JK009296-ara1,0.56626,RELEASE
1031BahaDinCamili.Kashkul.JK009365-ara1,0.55929,RELEASE
579.json,0.55661,RAWrabicaShamAY1
1290CabdGhaffarAkhras.Diwan.JK007640-ara1,0.55071,RELEASE
1069ShihabDinKhafaji.RayhanatAlibba.Shamela0001522-ara1,0.54921,RELEASE
1571.json,0.54918,RAWrabicaShamAY1
1268.json,0.54803,RAWrabicaShamAY1
0436SharifMurtada.Diwan.ShamAY0037891-ara1,0.54773,RELEASE
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.54724,RELEASE
1332MahmudSamiBarudi.Diwan.ShamAY0037857-ara1,0.54421,RELEASE
1343MustafaManfaluti.Nazarat.Shamela0011400-ara1,0.54411,RELEASE
1211KazimUzri.DiwanUzri.Shia004045-ara1,0.54278,RELEASE
0436SharifMurtada.Diwan.ShamAY0037891-ara1,0.54277,RELEASE
0429AbuMansurThacalibi.Tamthil.JK010529-ara1,0.54229,RELEASE
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.54227,RELEASE
Shamela038155.txt,0.54172,raw_ShamelaY19
5683.bok.json,0.54096,RAWrabicaSham19Y
0692IbnCisaBahaDinIrbili.TadhkiraFakhriyya.JK010724-ara1,0.54041,RELEASE
1522.json,0.54037,RAWrabicaShamAY1
0428MihyarDaylami.Diwan.JK007630-ara1,0.54015,RELEASE
0750SafiDinHilli.Diwan.ShamAY0037951-ara1,0.54002,RELEASE
5683.json,0.53996,RAWrabicaShamAY1
0776LisanDinIbnKhatib.JayshTawshih.Shamela0095575-ara1,0.53941,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.53848,RELEASE
37954.json,0.53808,RAWrabicaShamAY3
1304HaydarIbnSulaymanHilli.Diwan.Shia004662Vols-ara1,0.53784,RELEASE
37857.json,0.53729,RAWrabicaShamAY3
37923.json,0.53717,RAWrabicaShamAY3
1314ShakirBatluni.NafhAzhar.Shamela0028175-ara1,0.5364,RELEASE
1184CisamDinCumari.RawdNadir.Sham19Y0013226-ara1,0.53578,RELEASE
1119IbnMacsum.Diwan.ShamAY0037878-ara1,0.53552,RELEASE
0473IbnHayyus.Diwan.JK007594-ara1,0.53284,RELEASE
1633.html,0.53262,RAWrabicaRafed
Sham30K0033844,0.53243,RAWrabica020000
0776LisanDinIbnKhatib.KatibaKamina.Shamela0001027-ara1,0.5324,RELEASE
35857.json,0.53238,RAWrabicaShamAY3
724.json,0.53235,RAWrabicaShamAY1
37891.json,0.53229,RAWrabicaShamAY3
0428MihyarDaylami.Diwan.JK007630-ara1,0.53121,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.53112,RELEASE
37831.json,0.53101,RAWrabicaShamAY3
11400.json,0.53076,RAWrabicaShamAY2
0231AbuTamam.Diwan.ShamAY0037821-ara1,0.53011,RELEASE
1781.json,0.53005,RAWrabicaShamAY1
1331IbnAminShinqiti.WasitFiTarajim.Shamela0095696-ara1,0.52956,RELEASE
5375.json,0.52948,RAWrabicaShamAY1
12856.json,0.52841,RAWrabicaShamAY2
37951.json,0.52794,RAWrabicaShamAY3
1559.json,0.52793,RAWrabicaShamAY1
95575.bok.json,0.52788,RAWrabicaSham19Y
0597CimadDinKatibIsfahani.Diwan.ShamAY0037901-ara1,0.52735,RELEASE
1356MustafaSadiqRafici.Masakin.Shamela0005418-ara1,0.52732,RELEASE
Shamela096335.txt,0.5272,raw_ShamelaY19
37945.json,0.52685,RAWrabicaShamAY3
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.52675,RELEASE
0517IbnKhayyatShacir.Diwan.Sham19Y0148537-ara1,0.52623,RELEASE
148538.bok.json,0.52582,RAWrabicaSham19Y
0362IbnHaniAndalusi.Diwan.JK007572-ara1,0.52582,RELEASE
0167BashsharIbnBurdShacir.Diwan.JK007613-ara1,0.52544,RELEASE
0247FathIbnKhaqan.QalaidCiqyan.Shamela0021510-ara1,0.52532,RELEASE
0473IbnHayyus.Diwan.JK007594-ara1,0.52527,RELEASE
Shamela095575.txt,0.52523,raw_ShamelaY19
0473IbnHayyus.Diwan.ShamAY0037864-ara1,0.52519,RELEASE
37863.json,0.52516,RAWrabicaShamAY3
1119IbnMacsum.SulafaCasr.JK010298-ara1,0.52496,RELEASE
37821.json,0.52495,RAWrabicaShamAY3
37872.json,0.52447,RAWrabicaShamAY3
37878.json,0.52408,RAWrabicaShamAY3
1306FikriBasha.NazmLaal.Shamela0005385-ara1,0.52355,RELEASE
0453AbuIshaqHusri.NurTaraf.Shamela0005351-ara1,0.5235,RELEASE
2665.html,0.52328,RAWrabicaRafed
Shamela028175.txt,0.52276,raw_ShamelaY19
888.json,0.52262,RAW_ABLibrary
0696SharafDinBusiri.Diwan.JK007603-ara1,0.52246,RELEASE
8737.json,0.52243,RAW_ABLibrary
1285IbnMushrifShacir.Diwan.ShamAY0037876-ara1,0.52243,RELEASE
0428MihyarDaylami.Diwan.ShamAY0037863-ara1,0.52231,RELEASE
0768IbnNubataShacir.Diwan.JK007636-ara1,0.52225,RELEASE
0457IbnAbiHasina.Diwan.Sham19Y0148536-ara1,0.52161,RELEASE
464.json,0.52153,RAWrabicaShamAY1
37720.json,0.52102,RAWrabicaShamAY3
Shamela148538.txt,0.521,raw_ShamelaY19
28175.json,0.52068,RAWrabicaShamAY2
5418.json,0.52066,RAWrabicaShamAY1
6903.json,0.52028,RAWrabicaShamAY1
0247FathIbnKhaqan.QalaidCiqyan.Shamela0021510-ara1,0.5201,RELEASE
37946.json,0.51955,RAWrabicaShamAY3
622.json,0.51952,RAWrabicaShamAY1
0517IbnKhayyatShacir.Diwan.Sham19Y0148537-ara1,0.51929,RELEASE
1364MacrufRusafi.Diwan.JK007642-ara1,0.51909,RELEASE
37864.json,0.51886,RAWrabicaShamAY3
1392KhalfanSiyabi.BahjatMajalis.ShamIbadiyya0000167-ara1,0.51868,RELEASE
0453AbuIshaqHusri.NurTaraf.Shamela0005351-ara1,0.5185,RELEASE
1253IbnMuhammadAnsariShirwani.NafhatYaman.Shamela0035888-ara1,0.51822,RELEASE
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.51809,RELEASE
0638IbnCarabi.Diwan.JK007629-ara1,0.51806,RELEASE
5385.json,0.51802,RAWrabicaShamAY1
1356MustafaSadiqRafici.WahyQalam.Shamela0011755-ara1,0.51802,RELEASE
0167BashsharIbnBurdShacir.Diwan.JK007613-ara1,0.51797,RELEASE
Shamela073348.txt,0.51795,raw_ShamelaY19
0167BashsharIbnBurdShacir.Diwan.ShamAY0037930-ara1,0.51788,RELEASE
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.51764,RELEASE
148537.bok.json,0.5175,RAWrabicaSham19Y
0362IbnHaniAndalusi.Diwan.JK007572-ara1,0.51738,RELEASE
0457IbnAbiHasina.Diwan.Sham19Y0148536-ara1,0.51718,RELEASE
0764Safadi.NusratThair.Shamela0000514-ara1,0.51709,RELEASE
Sham30K0002728,0.51705,RAWrabica005000
31975.json,0.51691,RAWrabicaShamAY2
0416CaliIbnMuhammadTihami.Diwan.JK007623-ara1,0.5164,RELEASE
0421IbnMuhammadMarzuqi.AmaliMarzuqi.Shamela0000722-ara1,0.51625,RELEASE
Shamela037345.txt,0.51615,raw_ShamelaY19
21510.bok.json,0.5161,RAWrabicaSham19Y
1629.json,0.51577,RAWrabicaShamAY1
0335Suli.AshcarAwladKhulafa.Shamela0007822-ara1,0.51574,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.51573,RELEASE
0449AbuCalaMacarri.RisalatGhifran.Shamela0001589-ara1,0.51559,RELEASE
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.5154,RELEASE
0463IbnZaydun.Diwan.JK007568-ara1,0.51514,RELEASE
0449AbuCalaMacarri.RisalatSahilWaShajih.Shamela0000563-ara1,0.5151,RELEASE
37901.json,0.51503,RAWrabicaShamAY3
298.json,0.51488,RAWrabicaShamAY1
0297IbnDawudZahiri.Zahra.Shamela0000738-ara1,0.51487,RELEASE
5351.json,0.51474,RAWrabicaShamAY1
1791.bok.json,0.51439,RAWrabicaSham19Y
0449AbuCalaMacarri.RisalatGhifran.JK009234-ara1,0.51412,RELEASE
0456IbnHazm.TawqHamama.JK009337-ara1,0.51395,RELEASE
1364MacrufRusafi.Diwan.JK007642-ara1,0.51391,RELEASE
Shamela021505.txt,0.51389,raw_ShamelaY19
1589.json,0.51382,RAWrabicaShamAY1
1392KhalfanSiyabi.BahjatMajalis.ShamIbadiyya0000167-ara1,0.51376,RELEASE
148536.bok.json,0.51368,RAWrabicaSham19Y
0429AbuMansurThacalibi.KhassKhass.Shamela0007830-ara1,0.51366,RELEASE
0362IbnHaniAndalusi.Diwan.ShamAY0037881-ara1,0.51364,RELEASE
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.51342,RELEASE
1900.html,0.5134,RAWrabicaRafed
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.51337,RELEASE
2664.html,0.5131,RAWrabicaRafed
