unknown,TFIDF_cosine,libVar
0516IbnCaliHariri.DurratGhawwas.Shamela0006920-ara1,0.99987,RELEASE
6920.json,0.99983,RAWrabicaShamAY1
1069ShihabDinKhafaji.SharhDurratGhawwas.Sham19Y0029600-ara1,0.89511,RELEASE
Shamela029600.txt,0.89312,raw_ShamelaY19
38970.json,0.89281,RAWrabicaShamAY3
0625IbnCabdHaqqYafurani.Iqtidab.Sham19Y0016494-ara1,0.82138,RELEASE
32513.json,0.8183,RAWrabicaShamAY2
2679.html,0.81526,RAWrabicaRafed
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0.81324,RELEASE
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0.81323,RELEASE
0548IbnHasanTabarsi.TafsirMajmacBayan.Tafsir04003-ara1,0.81207,RELEASE
002554Vols.automARkdown,0.81206,RAW_Masaha
32581.json,0.80837,RAWrabicaShamAY2
3562.html,0.80819,RAWrabicaRafed
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.80749,RELEASE
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.80743,RELEASE
Shamela029882.txt,0.80503,raw_ShamelaY19
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.80429,RELEASE
0449AbuCalaMacarri.RisalatMalaika.Sham19Y0018276-ara1,0.80151,RELEASE
Shamela035101.txt,0.80128,raw_ShamelaY19
0377IbnAhmadFarisi.HujjaLiQurraSabca.Shamela0035101-ara1,0.80124,RELEASE
0377IbnAhmadFarisi.HujjaLiQurraSabca.Shamela0035101-ara1,0.80084,RELEASE
0449AbuCalaMacarri.RisalatMalaika.Sham19Y0018276-ara1,0.80051,RELEASE
9986.json,0.80002,RAWrabicaShamAY1
0466IbnSinanKhafaji.SirrFasaha.JK001090-ara1,0.79991,RELEASE
0466IbnSinanKhafaji.SirrFasaha.Shamela0011239-ara1,0.79989,RELEASE
7037.json,0.79989,RAWrabicaShamAY1
0466IbnSinanKhafaji.SirrFasaha.JK001090-ara1,0.79971,RELEASE
3095.html,0.7993,RAWrabicaRafed
9986.bok.json,0.79919,RAWrabicaSham19Y
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.79915,RELEASE
7037.bok.json,0.79894,RAWrabicaSham19Y
0421IbnMuhammadMarzuqi.AmaliMarzuqi.Shamela0000722-ara1,0.7985,RELEASE
0548IbnHasanTabarsi.TafsirMajmacBayan.Zaydiyya0000301-ara1,0.79822,RELEASE
2087.html,0.79809,RAWrabicaRafed
0377IbnAhmadFarisi.MasailHalabiyyat.Sham19Y0018265-ara1,0.79808,RELEASE
Shamela145410.txt,0.79803,raw_ShamelaY19
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.79793,RELEASE
0392IbnJinniMawsili.MuhtasabFiTabyin.Shamela0008660-ara1,0.7979,RELEASE
12003.bok.json,0.79779,RAWrabicaSham19Y
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.79778,RELEASE
722.json,0.79769,RAWrabicaShamAY1
Shamela150601.txt,0.79768,raw_ShamelaY19
2081.html,0.79759,RAWrabicaRafed
0377IbnAhmadFarisi.MasailHalabiyyat.Sham19Y0018265-ara1,0.79755,RELEASE
11239.json,0.79745,RAWrabicaShamAY2
0392IbnJinniMawsili.MuhtasabFiTabyin.Shamela0008660-ara1,0.79745,RELEASE
0421IbnMuhammadMarzuqi.AmaliMarzuqi.Shamela0000722-ara1,0.79744,RELEASE
0421IbnMuhammadMarzuqi.AmaliMarzuqi.JK010722-ara1,0.79739,RELEASE
0722.bok.json,0.79731,RAWrabicaSham19Y
0460ShaykhTusi.Tibyan.Tafsir04039-ara1,0.79725,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.Sham19Y0145410-ara1,0.79596,RELEASE
000150Vols.automARkdown,0.79547,RAW_Masaha
12003.json,0.79507,RAWrabicaShamAY2
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.Tafsir07054-ara1,0.79506,RELEASE
613.json,0.79502,RAWrabicaShamAY1
32697.json,0.79473,RAWrabicaShamAY2
1803.html,0.79461,RAWrabicaRafed
34433.json,0.79455,RAWrabicaShamAY3
34422.json,0.79426,RAWrabicaShamAY3
0581AbuQasimSuhayli.NataijFikrFiNahw.Shamela0000613-ara1,0.79382,RELEASE
2415.html,0.79376,RAWrabicaRafed
0581AbuQasimSuhayli.NataijFikrFiNahw.Shamela0000613-ara1,0.79369,RELEASE
1102NurDinYusi.ZahrAkam.JK010766-ara1,0.79361,RELEASE
38985.json,0.79331,RAWrabicaShamAY3
23627.bok.json,0.7933,RAWrabicaSham19Y
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.79275,RELEASE
Shamela023591.txt,0.79272,raw_ShamelaY19
Sham30K0033937,0.79202,RAWrabica020000
0745AbuHayyanGharnati.TafsirBahrMuhit.Shamela0023591-ara1,0.79202,RELEASE
2070.html,0.79183,RAWrabicaRafed
0656IbnAbiHadid.FalakDair.Shamela0010550-ara1,0.79182,RELEASE
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.79164,RELEASE
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.7916,RELEASE
Shamela020986.txt,0.79154,raw_ShamelaY19
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.79129,RELEASE
Shamela147312.txt,0.79123,raw_ShamelaY19
0392IbnJinniMawsili.Khasais.Shamela0009986-ara1,0.79106,RELEASE
1056.json,0.79103,RAWrabicaShamAY1
0643MuntajibHamadhani.FaridFiIcrab.Sham19Y0147312-ara1,0.79059,RELEASE
34070.json,0.79051,RAWrabicaShamAY2
23627.json,0.79042,RAWrabicaShamAY2
0337IbnIshaqZajjaji.IshtiqaqAsmaAllah.Sham19Y0014275-ara1,0.79015,RELEASE
003234Vols.automARkdown,0.79015,RAW_Masaha
002790Vols.automARkdown,0.79013,RAW_Masaha
Shamela020891.txt,0.78986,raw_ShamelaY19
3123.html,0.78973,RAWrabicaRafed
0337IbnIshaqZajjaji.IshtiqaqAsmaAllah.Sham19Y0014275-ara1,0.78961,RELEASE
7414.json,0.78961,RAWrabicaShamAY1
2069.html,0.78956,RAWrabicaRafed
003068Vols.automARkdown,0.78934,RAW_Masaha
0531IbnMuhammadJurjaniHusayni.HashiyaCalaKashshaf.Shia002351-ara1,0.78893,RELEASE
14275.bok.json,0.7889,RAWrabicaSham19Y
0531IbnMuhammadJurjaniHusayni.HashiyaCalaKashshaf.Shia002351-ara1,0.7889,RELEASE
7414.bok.json,0.78872,RAWrabicaSham19Y
3616.html,0.78839,RAWrabicaRafed
3192.html,0.78823,RAWrabicaRafed
0743SharafDinTibi.FutuhGhayb.Sham19Y0020891-ara1,0.78822,RELEASE
38891.json,0.7882,RAWrabicaShamAY3
23591.bok.json,0.78764,RAWrabicaSham19Y
Sham30K0033824,0.78741,RAWrabica020000
1641.json,0.78739,RAWrabicaShamAY1
Shamela021769.txt,0.78738,raw_ShamelaY19
1039.json,0.78698,RAWrabicaShamAY1
1802.html,0.78681,RAWrabicaRafed
0600IbnCabdAllahQaysi.IdahShawahid.Shamela0009250-ara1,0.78673,RELEASE
8176.json,0.78672,RAWrabicaShamAY1
31971.json,0.78656,RAWrabicaShamAY2
7902.json,0.78647,RAW_ABLibrary
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.78644,RELEASE
0489Waqqashi.TacliqCalaMuwatta.Sham19Y0018194-ara1,0.78636,RELEASE
7903.json,0.7863,RAW_ABLibrary
9250.json,0.78623,RAWrabicaShamAY1
12055.bok.json,0.78615,RAWrabicaSham19Y
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.78607,RELEASE
0489Waqqashi.TacliqCalaMuwatta.Sham19Y0018194-ara1,0.78604,RELEASE
38870.json,0.786,RAWrabicaShamAY3
2077.html,0.78597,RAWrabicaRafed
1040.json,0.7858,RAWrabicaShamAY1
1417.json,0.78566,RAWrabicaShamAY1
2416.html,0.78547,RAWrabicaRafed
Shamela037697.txt,0.78546,raw_ShamelaY19
003390Vols.automARkdown,0.78546,RAW_Masaha
23634.json,0.78541,RAWrabicaShamAY2
23591.json,0.78525,RAWrabicaShamAY2
1014MullaCaliQari.MirqatMafatih.Shamela0008176-ara1,0.78489,RELEASE
0756TaqiDinSubki.Fatawa.Shamela0011498-ara1,0.78465,RELEASE
003492Vols.automARkdown,0.78461,RAW_Masaha
Shamela022664.txt,0.78452,raw_ShamelaY19
Shamela095565.txt,0.78445,raw_ShamelaY19
Shamela020643.txt,0.78443,raw_ShamelaY19
0436SharifMurtada.Amali.ShamAY0034519-ara2,0.78435,RELEASE
Shamela021660.txt,0.78422,raw_ShamelaY19
1547.json,0.78412,RAWrabicaShamAY1
0421IbnMuhammadMarzuqi.SharhDiwanHamasa.Shamela0026536-ara1,0.78387,RELEASE
21660.bok.json,0.78384,RAWrabicaSham19Y
0471CabdQahirJurjani.DalailIcjaz.Shamela0022664-ara1,0.78375,RELEASE
0471CabdQahirJurjani.DalailIcjaz.Shamela0037697-ara1,0.7837,RELEASE
1068.json,0.78346,RAWrabicaShamAY1
38986.json,0.78344,RAWrabicaShamAY3
1031CabdRaufMunawi.FaydQadir.Shamela0021660-ara1,0.78338,RELEASE
0471CabdQahirJurjani.DalailIcjaz.Shamela0012055-ara1,0.78337,RELEASE
2905.html,0.78331,RAWrabicaRafed
0421IbnMuhammadMarzuqi.SharhDiwanHamasa.JK010521-ara1,0.7833,RELEASE
0911Suyuti.MuctarakAqran.Shamela0001417-ara1,0.78326,RELEASE
3203.html,0.78315,RAWrabicaRafed
95565.bok.json,0.78313,RAWrabicaSham19Y
0471CabdQahirJurjani.DalailIcjaz.Shamela0012055-ara1,0.78299,RELEASE
0380IbnMuhammadBasili.TaqyidKabir.Shamela0095565-ara1,0.78293,RELEASE
0436SharifMurtada.Amali.Shia001326Vols-ara1,0.78291,RELEASE
34519.json,0.78286,RAWrabicaShamAY3
Shamela023631.txt,0.78276,raw_ShamelaY19
3124.html,0.78274,RAWrabicaRafed
Shamela026536.txt,0.78274,raw_ShamelaY19
0380IbnMuhammadBasili.TaqyidKabir.Shamela0095565-ara1,0.78271,RELEASE
2417.html,0.78265,RAWrabicaRafed
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.78252,RELEASE
1794.html,0.78248,RAWrabicaRafed
11498.json,0.78241,RAWrabicaShamAY2
0421IbnMuhammadMarzuqi.SharhDiwanHamasa.Shamela0026536-ara1,0.78237,RELEASE
Shamela037475.txt,0.78224,raw_ShamelaY19
8187.json,0.7822,RAWrabicaShamAY1
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.78218,RELEASE
0338AbuJacfarNahhas.CumdatKuttab.Shamela0026803-ara1,0.7821,RELEASE
514.json,0.78209,RAWrabicaShamAY1
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.78208,RELEASE
33524.json,0.78208,RAWrabicaShamAY2
Shamela096180.txt,0.78204,raw_ShamelaY19
0538JarAllahZamakhshari.FaiqFiGharib.Shia002170Vols-ara1,0.78192,RELEASE
0471CabdQahirJurjani.DalailIcjaz.ShamAY0034098-ara1,0.78192,RELEASE
2925.html,0.78187,RAWrabicaRafed
865.json,0.78186,RAWrabicaShamAY1
178.html,0.78183,RAWrabicaRafed
Shamela023794.txt,0.78182,raw_ShamelaY19
Shamela036506.txt,0.78177,raw_ShamelaY19
0764Safadi.NusratThair.Shamela0000514-ara1,0.78174,RELEASE
3178.html,0.78171,RAWrabicaRafed
0338AbuJacfarNahhas.CumdatKuttab.Shamela0026803-ara1,0.78167,RELEASE
Sham30K0008176,0.78167,RAWrabica010000
2906.html,0.78164,RAWrabicaRafed
2920.html,0.78141,RAWrabicaRafed
0377IbnAhmadFarisi.MasailBasriyyat.Sham19Y0016775-ara1,0.7814,RELEASE
581.json,0.78136,RAWrabicaShamAY1
Shamela029555.txt,0.78133,raw_ShamelaY19
2932.html,0.78128,RAWrabicaRafed
0377IbnAhmadFarisi.MasailBasriyyat.Sham19Y0016775-ara1,0.78127,RELEASE
0471CabdQahirJurjani.DalailIcjaz.JK001019-ara1,0.78119,RELEASE
21660.json,0.78118,RAWrabicaShamAY2
0514.bok.json,0.78116,RAWrabicaSham19Y
0406SharifRadi.HaqaiqTawil.Shia002340-ara1,0.78114,RELEASE
2505.json,0.78113,RAWrabicaShamAY1
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.7811,RELEASE
