unknown,TFIDF_cosine,libVar
0521IbnMuhammadBatalyawsi.Hadaiq.Shamela0006461-ara1,0.99963,RELEASE
6461.json,0.99876,RAWrabicaShamAY1
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.74688,RELEASE
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.74679,RELEASE
38985.json,0.74606,RAWrabicaShamAY3
6494.json,0.69576,RAWrabicaShamAY1
0505Ghazali.MacarijQuds.Shamela0006494-ara1,0.69564,RELEASE
7918.json,0.69539,RAW_ABLibrary
3570.html,0.69537,RAWrabicaRafed
0595IbnRushdHafid.TahafudTahafud.DARE00025-ara1,0.69398,RELEASE
0505Ghazali.MacarijQuds.JK000061-ara1,0.69397,RELEASE
0505Ghazali.MacarijQuds.Shamela0006494-ara1,0.6939,RELEASE
8593.json,0.69309,RAW_ABLibrary
8828.json,0.69039,RAW_ABLibrary
8480.json,0.68977,RAW_ABLibrary
0400IbnTahirMaqdisi.BadWaTarikh.Shamela0012318-ara1,0.68525,RELEASE
3457.html,0.68516,RAWrabicaRafed
12318.bok.json,0.68445,RAWrabicaSham19Y
8519.json,0.68358,RAW_ABLibrary
0400IbnTahirMaqdisi.BadWaTarikh.JK001289-ara1,0.68324,RELEASE
0400IbnTahirMaqdisi.BadWaTarikh.Shamela0012318-ara1,0.68306,RELEASE
12318.json,0.68177,RAWrabicaShamAY2
8521.json,0.67992,RAW_ABLibrary
8718.json,0.67845,RAW_ABLibrary
8759.json,0.67751,RAW_ABLibrary
8514.json,0.6775,RAW_ABLibrary
3291.html,0.67698,RAWrabicaRafed
3591.html,0.67574,RAWrabicaRafed
8387.json,0.67558,RAW_ABLibrary
0505Ghazali.MajmucatRasail.ShamAY0034797-ara1,0.67497,RELEASE
8784.json,0.67496,RAW_ABLibrary
8853.json,0.67429,RAW_ABLibrary
0505Ghazali.MajmucatRasail.ShamAY0034797-ara1,0.67333,RELEASE
34797.json,0.67322,RAWrabicaShamAY3
8350.json,0.67178,RAW_ABLibrary
3571.html,0.67023,RAWrabicaRafed
1050SadrDinShirazi.Tafsir.Tafsir04040-ara1,0.67,RELEASE
1723.html,0.66903,RAWrabicaRafed
7950.automARkdown,0.66828,RAW_Ghbook
