unknown,TFIDF_cosine,libVar
6350.json,0.99942,RAWrabicaShamAY1
0521IbnMuhammadBatalyawsi.InsafFiTanbih.JK000294-ara1,0.99939,RELEASE
3960.html,0.85165,RAWrabicaRafed
8597.json,0.85009,RAW_ABLibrary
3902.html,0.84932,RAWrabicaRafed
1480.json,0.84788,RAWrabicaShamAY1
Shamela038000.txt,0.84738,raw_ShamelaY19
3496.html,0.84733,RAWrabicaRafed
Shamela023631.txt,0.84727,raw_ShamelaY19
38000.bok.json,0.84666,RAWrabicaSham19Y
Shamela122257.txt,0.84577,raw_ShamelaY19
0362IbnBaraka.Jamic.ShamIbadiyya0000204-ara1,0.84566,RELEASE
34247.json,0.84548,RAWrabicaShamAY3
23631.json,0.84458,RAWrabicaShamAY2
9690.json,0.84453,RAWrabicaShamAY1
8913.json,0.8442,RAW_ABLibrary
31697.json,0.84336,RAWrabicaShamAY2
8352.json,0.84235,RAWrabicaShamAY1
5899.json,0.84222,RAWrabicaShamAY1
3178.html,0.84207,RAWrabicaRafed
591.json,0.84202,RAWrabicaShamAY1
11406.bok.json,0.84193,RAWrabicaSham19Y
8613.json,0.84131,RAWrabicaShamAY1
0406IbnFurakIsbahani.MushkilHadith.Shamela0005899-ara1,0.84129,RELEASE
0406IbnFurakIsbahani.MushkilHadith.JK001187-ara1,0.84126,RELEASE
3437.html,0.84121,RAWrabicaRafed
37747.json,0.8411,RAWrabicaShamAY3
Shamela020643.txt,0.84107,raw_ShamelaY19
34353.json,0.84102,RAWrabicaShamAY3
0456IbnHazm.IhkamFiUsulAhkam.JK000122-ara1,0.84098,RELEASE
3616.html,0.84093,RAWrabicaRafed
3190.html,0.84034,RAWrabicaRafed
Shamela023599.txt,0.8402,raw_ShamelaY19
11406.json,0.83986,RAWrabicaShamAY2
Sham30K0008352,0.83898,RAWrabica010000
0456IbnHazm.IhkamFiUsulAhkam.Shia002905Vols-ara1,0.83858,RELEASE
Shamela036571.txt,0.83837,raw_ShamelaY19
473.json,0.83832,RAWrabicaShamAY1
8789.json,0.83786,RAW_ABLibrary
1746.html,0.83757,RAWrabicaRafed
6547.json,0.83739,RAWrabicaShamAY1
1641.json,0.83699,RAWrabicaShamAY1
470.json,0.83698,RAWrabicaShamAY1
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.83698,RELEASE
8589.json,0.83695,RAW_ABLibrary
34363.json,0.83694,RAWrabicaShamAY3
3798.html,0.83643,RAWrabicaRafed
Shamela022835.txt,0.83634,raw_ShamelaY19
1444.html,0.83609,RAWrabicaRafed
1793.html,0.83582,RAWrabicaRafed
8349.json,0.83552,RAW_ABLibrary
1238.json,0.83537,RAWrabicaShamAY1
8454.json,0.83532,RAW_ABLibrary
1657.json,0.83465,RAWrabicaShamAY1
3897.html,0.83455,RAWrabicaRafed
9065.json,0.8345,RAWrabicaShamAY1
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000967-ara1,0.83375,RELEASE
3192.html,0.83372,RAWrabicaRafed
0436SharifMurtada.TanzihAnbiya.Shia003689-ara1,0.83355,RELEASE
Shamela037973.txt,0.83344,raw_ShamelaY19
11730.bok.json,0.8334,RAWrabicaSham19Y
Shamela031076.txt,0.83333,raw_ShamelaY19
0360IbnCaliQassab.NukatDalla.Shamela0009065-ara1,0.83331,RELEASE
Shamela018569.txt,0.83325,raw_ShamelaY19
3914.html,0.83325,RAWrabicaRafed
1987.html,0.83322,RAWrabicaRafed
35204.json,0.83287,RAWrabicaShamAY3
906.json,0.83283,RAWrabicaShamAY1
3931.html,0.83213,RAWrabicaRafed
11498.json,0.83202,RAWrabicaShamAY2
6309.json,0.83168,RAWrabicaShamAY1
11730.json,0.83165,RAWrabicaShamAY2
32667.json,0.83131,RAWrabicaShamAY2
1421MuhammadCuthaymin.FatawaArkanIslam.Shamela0009924-ara1,0.83109,RELEASE
35976.json,0.83107,RAWrabicaShamAY3
6309.bok.json,0.83105,RAWrabicaSham19Y
12304.json,0.83061,RAWrabicaShamAY2
67.html,0.83061,RAWrabicaRafed
Shamela021720.txt,0.8304,raw_ShamelaY19
Shamela133367.txt,0.83028,raw_ShamelaY19
8411.json,0.83026,RAW_ABLibrary
441.json,0.8301,RAWrabicaShamAY1
0543IbnCarabiIshbili.NasikhWaMansukh.Sham19Y0133367-ara1,0.83004,RELEASE
3181.html,0.83,RAWrabicaRafed
1436.html,0.82998,RAWrabicaRafed
34371.json,0.82989,RAWrabicaShamAY3
0456IbnHazm.IhkamFiUsulAhkam.ShamAY0034182-ara1,0.82987,RELEASE
34055.json,0.82983,RAWrabicaShamAY2
913.json,0.82982,RAWrabicaShamAY1
0449AbuFathKarajiki.KanzFawaid.Shia001332-ara1,0.82971,RELEASE
1794.html,0.8296,RAWrabicaRafed
35366.json,0.82946,RAWrabicaShamAY3
Sham30K0033813,0.82944,RAWrabica020000
1803.html,0.82926,RAWrabicaRafed
Shamela133368.txt,0.82919,raw_ShamelaY19
Sham30K0033826,0.82914,RAWrabica020000
3147.html,0.82904,RAWrabicaRafed
3200.html,0.82903,RAWrabicaRafed
0370IbnCaliJassas.AhkamQuran.Shamela0023579-ara1,0.82899,RELEASE
8837.json,0.82894,RAW_ABLibrary
12021.bok.json,0.82887,RAWrabicaSham19Y
Shamela098087.txt,0.82886,raw_ShamelaY19
0504IbnMuhammadCimadDinTabari.AhkamQuran.Shamela0023582-ara1,0.82884,RELEASE
22835.json,0.8288,RAWrabicaShamAY2
9924.json,0.82879,RAWrabicaShamAY1
34352.json,0.82877,RAWrabicaShamAY3
21720.bok.json,0.82858,RAWrabicaSham19Y
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.82845,RELEASE
