unknown,TFIDF_cosine,libVar
0521MuhammadHamadhani.TakmilatTarikhTabari.Shamela0006616-ara1,0.99801,RELEASE
6616.json,0.99784,RAWrabicaShamAY1
0521MuhammadHamadhani.TakmilatTarikhTabari.Shamela0009783BK3-ara1,0.88556,RELEASE
0370CaribQurtubi.SilaTarikhTabari.JK011178-ara1,0.76254,RELEASE
0370CaribQurtubi.SilaTarikhTabari.ShamAY0033813-ara1,0.76246,RELEASE
0370CaribQurtubi.SilaTarikhTabari.Shia003482-ara1,0.76205,RELEASE
33813.json,0.76001,RAWrabicaShamAY2
Shia003482,0.74347,RAWrabica045000
0580IbnCimrani.InbaFiTarikhKhulafa.Shamela0012289-ara1,0.71338,RELEASE
0448HilalSabi.TuhfatUmara.Shamela0026106-ara1,0.71097,RELEASE
0448HilalSabi.TuhfatUmara.JK009368-ara1,0.70983,RELEASE
Shamela026106.txt,0.70763,raw_ShamelaY19
26106.json,0.70682,RAWrabicaShamAY2
0448HilalSabi.TuhfatUmara.ShamAY0033825-ara1,0.70489,RELEASE
8253.json,0.70454,RAW_ABLibrary
33825.json,0.70075,RAWrabicaShamAY2
0384IbnCaliTanukhi.NishwarMuhadara.JK009297-ara1,0.67198,RELEASE
0384IbnCaliTanukhi.NishwarMuhadara.Shamela0010275-ara1,0.67125,RELEASE
0335Suli.AkhbarRadi.Shamela0008184-ara1,0.67066,RELEASE
0335Suli.AkhbarRadi.JK010390-ara1,0.67033,RELEASE
8184.bok.json,0.6678,RAWrabicaSham19Y
8184.json,0.66718,RAWrabicaShamAY1
10275.json,0.66681,RAWrabicaShamAY1
Sham30K0008184,0.66421,RAWrabica010000
002964Vols.automARkdown,0.66159,RAW_Masaha
1424IhsanCabbas.ShadharatMinKutubMafquda.Shamela0001023-ara1,0.6555,RELEASE
0370CaribQurtubi.SilaTarikhTabari.Shamela0009783BK2-ara1,0.65372,RELEASE
0384IbnCaliTanukhi.NishwarMuhadara.ShamAY0033773-ara1,0.63851,RELEASE
33773.json,0.63671,RAWrabicaShamAY2
9199.json,0.63368,RAW_ABLibrary
34599.json,0.63001,RAWrabicaShamAY3
1023.json,0.62573,RAWrabicaShamAY1
8190.json,0.61909,RAWrabicaShamAY1
9107.json,0.61751,RAW_ABLibrary
12289.json,0.61546,RAWrabicaShamAY2
12724.json,0.61381,RAWrabicaShamAY2
Sham30K0008190,0.61317,RAWrabica010000
176.json,0.613,RAWrabicaShamAY1
0384IbnCaliTanukhi.FarajBacdaShidda.Shia001282Vols-ara1,0.61225,RELEASE
35858.json,0.61174,RAWrabicaShamAY3
9788.json,0.61104,RAWrabicaShamAY1
16411.automARkdown,0.61045,RAW_Ghbook
32241.json,0.60816,RAWrabicaShamAY2
0448HilalSabi.RusumDarKhilafa.Shamela0008173-ara1,0.6081,RELEASE
0448HilalSabi.RusumDarKhilafa.JK006980-ara1,0.60798,RELEASE
4363.json,0.60682,RAWrabicaShamAY1
38166.json,0.60681,RAWrabicaShamAY3
0480IbnHilalSabi.HafawatNadira.Shamela0005363-ara1,0.60647,RELEASE
8173.bok.json,0.60635,RAWrabicaSham19Y
12400.bok.json,0.60601,RAWrabicaSham19Y
77.json,0.60562,RAW_ABLibrary
000551Vols.automARkdown,0.60359,RAW_Masaha
004384.automARkdown,0.60338,RAW_Masaha
12400.json,0.60255,RAWrabicaShamAY2
7548.json,0.60215,RAW_ABLibrary
8173.json,0.60197,RAWrabicaShamAY1
7898.json,0.60085,RAW_ABLibrary
1528.json,0.60069,RAWrabicaShamAY1
Sham30K0008173,0.60056,RAWrabica010000
8460.json,0.59988,RAWrabicaShamAY1
789.html,0.59987,RAWrabicaRafed
0460Anonymous.DhakhairTuhaf.Kraken2102231420141-ara1,0.59868,RELEASE
6630.json,0.59802,RAWrabicaShamAY1
0340IbnDaya.Mukafaa.ShamAY0034330-ara1,0.59736,RELEASE
6669.json,0.59687,RAWrabicaShamAY1
7909.json,0.59566,RAW_ABLibrary
0555IbnQalanisi.Tarikh.JK010402-ara1,0.59557,RELEASE
7466.json,0.59552,RAW_ABLibrary
74.json,0.5955,RAW_ABLibrary
