unknown,TFIDF_cosine,libVar
33943.json,0.99975,RAWrabicaShamAY2
Shamela026542.txt,0.94465,raw_ShamelaY19
0535QadiMaristan.Mashyakha.Shamela0026542-ara1,0.94402,RELEASE
0535QadiMaristan.Mashyakha.Shamela0026542-ara1,0.94342,RELEASE
26542.json,0.94312,RAWrabicaShamAY2
0499MurshidYahyaIbnShajari.Amali.JK009226-ara1,0.935,RELEASE
0499MurshidYahyaIbnShajari.Amali.Zaydiyya0000230-ara1,0.93493,RELEASE
0499MurshidYahyaIbnShajari.Amali.Zaydiyya0000342-ara1,0.93382,RELEASE
0499MurshidYahyaIbnShajari.Amali.Zaydiyya0000342-ara1,0.93381,RELEASE
0499MurshidYahyaIbnShajari.Amali.Shamela0009392-ara1,0.93295,RELEASE
9392.bok.json,0.93262,RAWrabicaSham19Y
9392.json,0.93212,RAWrabicaShamAY1
0492AbuHasanKhulci.Khulciyyat.Shamela0030592Vols-ara1,0.93205,RELEASE
0492AbuHasanKhulci.Khulciyyat.Shamela0030592Vols-ara1,0.93122,RELEASE
002296Vols.automARkdown,0.92627,RAW_Masaha
Shamela030504.txt,0.92401,raw_ShamelaY19
32959.json,0.92348,RAWrabicaShamAY2
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.92343,RELEASE
Shamela030483.txt,0.92303,raw_ShamelaY19
30483.json,0.92292,RAWrabicaShamAY2
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.92243,RELEASE
0480IbnAhmadHakimHaskani.ShawahidTanzil.Shia002550Vols-ara1,0.92237,RELEASE
0480IbnAhmadHakimHaskani.ShawahidTanzil.Shia002550Vols-ara1,0.92207,RELEASE
33976.json,0.92171,RAWrabicaShamAY2
30479.json,0.92153,RAWrabicaShamAY2
30479.bok.json,0.92147,RAWrabicaSham19Y
Shamela030601.txt,0.92134,raw_ShamelaY19
Shamela030479.txt,0.92128,raw_ShamelaY19
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.92122,RELEASE
32765.json,0.9211,RAWrabicaShamAY2
Shamela030502.txt,0.9209,raw_ShamelaY19
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.92079,RELEASE
12749.json,0.92064,RAWrabicaShamAY2
30502.json,0.92063,RAWrabicaShamAY2
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.92015,RELEASE
0492AbuHasanKhulci.Fawaid.Shamela0010835-ara1,0.91961,RELEASE
0492AbuHasanKhulci.Fawaid.Shamela0010835-ara1,0.91922,RELEASE
Shamela030519.txt,0.91904,raw_ShamelaY19
Shamela030515.txt,0.91894,raw_ShamelaY19
0463KhatibBaghdadi.AsmaMubhama.JK009142-ara1,0.91894,RELEASE
10835.bok.json,0.91877,RAWrabicaSham19Y
Shamela027095.txt,0.91815,raw_ShamelaY19
13115.json,0.91802,RAWrabicaShamAY2
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.9179,RELEASE
0643DiyaDinMuqaddasi.FadailQuran.Shamela0027095-ara1,0.91765,RELEASE
10835.json,0.91749,RAWrabicaShamAY2
30500.bok.json,0.9172,RAWrabicaSham19Y
30482.json,0.91698,RAWrabicaShamAY2
Shamela030500.txt,0.91696,raw_ShamelaY19
30500.json,0.91694,RAWrabicaShamAY2
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.91682,RELEASE
Shamela030482.txt,0.91676,raw_ShamelaY19
5702.json,0.91648,RAWrabicaShamAY1
30507.bok.json,0.91639,RAWrabicaSham19Y
30507.json,0.91625,RAWrabicaShamAY2
Shamela030507.txt,0.91611,raw_ShamelaY19
30487.json,0.916,RAWrabicaShamAY2
9642.json,0.91585,RAWrabicaShamAY1
Shamela030487.txt,0.91582,raw_ShamelaY19
0852IbnHajarCasqalani.AmaliMutlaqa.Shamela0005702-ara1,0.91575,RELEASE
27095.json,0.91569,RAWrabicaShamAY2
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.9156,RELEASE
30506.bok.json,0.91526,RAWrabicaSham19Y
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.91521,RELEASE
30504.json,0.91512,RAWrabicaShamAY2
Shamela030506.txt,0.91501,raw_ShamelaY19
30506.json,0.91487,RAWrabicaShamAY2
0458Bayhaqi.DalailNubuwwa.Shamela0013115-ara1,0.91428,RELEASE
13115.bok.json,0.91408,RAWrabicaSham19Y
0465IbnMuhtadi.Mashyakha.ShamAY0032750-ara1,0.91333,RELEASE
Shamela030484.txt,0.9133,raw_ShamelaY19
30519.bok.json,0.91294,RAWrabicaSham19Y
30484.json,0.91293,RAWrabicaShamAY2
32750.json,0.91269,RAWrabicaShamAY2
30515.bok.json,0.91249,RAWrabicaSham19Y
30519.json,0.91245,RAWrabicaShamAY2
30515.json,0.91227,RAWrabicaShamAY2
