unknown,TFIDF_cosine,libVar
37839.json,0.99895,RAWrabicaShamAY3
0528IbnZaqqaqBalansi.Diwan.ShamAY0037839-ara1,0.99744,RELEASE
0296IbnMuctazz.Diwan.JK007592-ara1,0.68069,RELEASE
0584IbnMunqidhShayzari.Diwan.JK007587-ara1,0.67124,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.66956,RELEASE
0296IbnMuctazz.Diwan.ShamAY0037841-ara1,0.66907,RELEASE
0360KushajimShacir.Diwan.JK007626-ara1,0.66904,RELEASE
0296IbnMuctazz.Diwan.JK007592-ara1,0.66838,RELEASE
1119IbnMacsum.Diwan.ShamAY0037878-ara1,0.66609,RELEASE
37841.json,0.66489,RAWrabicaShamAY3
0776LisanDinIbnKhatib.Diwan.ShamAY0037834-ara1,0.66026,RELEASE
0584IbnMunqidhShayzari.Diwan.ShamAY0037915-ara1,0.65904,RELEASE
0584IbnMunqidhShayzari.Diwan.JK007587-ara1,0.65896,RELEASE
0688ShabZarif.Diwan.JK007607-ara1,0.65806,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.65683,RELEASE
0198AbuNuwasShacir.Diwan.ShamAY0037852-ara1,0.65608,RELEASE
0449AbuCalaMacarri.Diwan.JK007580-ara1,0.6552,RELEASE
37915.json,0.6551,RAWrabicaShamAY3
0360KushajimShacir.Diwan.JK007626-ara1,0.65427,RELEASE
0328IbnCabdRabbihi.Diwan.JK007571-ara1,0.6542,RELEASE
0360KushajimShacir.Diwan.ShamAY0037962-ara1,0.65406,RELEASE
37852.json,0.65253,RAWrabicaShamAY3
0385WaWaDimashqi.Diwan.JK007611-ara1,0.65125,RELEASE
37878.json,0.65037,RAWrabicaShamAY3
37962.json,0.65004,RAWrabicaShamAY3
0630IbnCunayn.Diwan.JK007597-ara1,0.64975,RELEASE
0528HakamIbnAbiSalt.Diwan.ShamAY0037851-ara1,0.64894,RELEASE
0750SafiDinHilli.Diwan.ShamAY0037951-ara1,0.64876,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1,0.64633,RELEASE
37834.json,0.64603,RAWrabicaShamAY3
0548IbnQaysaraniShacir.Diwan.ShamAY0037840-ara1,0.64554,RELEASE
1332MahmudSamiBarudi.Diwan.ShamAY0037857-ara1,0.64545,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.64485,RELEASE
37889.json,0.64159,RAWrabicaShamAY3
0357AbuFirasHamdani.Diwan.JK007584-ara1,0.64079,RELEASE
0527IbnHamdis.Diwan.JK007576-ara1,0.63994,RELEASE
0328IbnCabdRabbihi.Diwan.JK007571-ara1,0.63981,RELEASE
0328IbnCabdRabbihi.Diwan.ShamAY0037874-ara1,0.63977,RELEASE
0385WaWaDimashqi.Diwan.JK007611-ara1,0.63858,RELEASE
0528HakamIbnAbiSalt.Diwan.ShamAY0037851-ara1,0.6384,RELEASE
0385WaWaDimashqi.Diwan.ShamAY0037832-ara1,0.63808,RELEASE
37874.json,0.63558,RAWrabicaShamAY3
0649IbnSahlAndalusi.Diwan.JK007569-ara1,0.63552,RELEASE
37832.json,0.63474,RAWrabicaShamAY3
0583SibtIbnTacawidhiShacir.Diwan.ShamAY0037949-ara1,0.63352,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1,0.63327,RELEASE
0548IbnQaysaraniShacir.Diwan.JK007591-ara1,0.63323,RELEASE
37951.json,0.63298,RAWrabicaShamAY3
