unknown,TFIDF_cosine,libVar
Shamela023627.txt,0.99823,raw_ShamelaY19
0538JarAllahZamakhshari.Kashshaf.JK001496-ara1,0.99509,RELEASE
0538JarAllahZamakhshari.Kashshaf.Tafsir01002-ara1,0.99049,RELEASE
34052.json,0.97361,RAWrabicaShamAY2
0538JarAllahZamakhshari.Kashshaf.ShamAY0034052-ara1,0.97116,RELEASE
003234Vols.automARkdown,0.96156,RAW_Masaha
0538JarAllahZamakhshari.Kashshaf.Shia002352Vols-ara1,0.95722,RELEASE
23627.bok.json,0.94048,RAWrabicaSham19Y
3095.html,0.93986,RAWrabicaRafed
23627.json,0.93947,RAWrabicaShamAY2
34070.json,0.93905,RAWrabicaShamAY2
1713.html,0.90011,RAWrabicaRafed
1394.json,0.89378,RAWrabicaShamAY1
3166.html,0.89201,RAWrabicaRafed
23588.bok.json,0.89186,RAWrabicaSham19Y
Shamela023588.txt,0.89151,raw_ShamelaY19
23588.json,0.89085,RAWrabicaShamAY2
3120.html,0.88439,RAWrabicaRafed
3124.html,0.88246,RAWrabicaRafed
3931.html,0.87499,RAWrabicaRafed
3123.html,0.87406,RAWrabicaRafed
Shamela020643.txt,0.8727,raw_ShamelaY19
3233.html,0.87149,RAWrabicaRafed
23590.bok.json,0.8702,RAWrabicaSham19Y
Shamela023590.txt,0.86962,raw_ShamelaY19
23590.json,0.86921,RAWrabicaShamAY2
1658.html,0.86753,RAWrabicaRafed
0548IbnHasanTabarsi.TafsirJawamicJamic.Shia002356Vols-ara1,0.86699,RELEASE
1431MuhammadSayyidTantawi.TafsirWasit.Tafsir07057-ara1,0.86682,RELEASE
23608.bok.json,0.8651,RAWrabicaSham19Y
Shamela023608.txt,0.86449,raw_ShamelaY19
1429.json,0.86394,RAWrabicaShamAY1
23608.json,0.86361,RAWrabicaShamAY2
14579.bok.json,0.86226,RAWrabicaSham19Y
Shamela020891.txt,0.8621,raw_ShamelaY19
0548IbnHasanTabarsi.TafsirMajmacBayan.Tafsir04003-ara1,0.86174,RELEASE
Shia002352Vols,0.8613,RAWrabica040000
3699.html,0.86021,RAWrabicaRafed
38481.json,0.8602,RAWrabicaShamAY3
38870.json,0.86019,RAWrabicaShamAY3
1803.html,0.85992,RAWrabicaRafed
002554Vols.automARkdown,0.8588,RAW_Masaha
1466.json,0.85852,RAWrabicaShamAY1
1466.bok.json,0.85846,RAWrabicaSham19Y
1725.html,0.85716,RAWrabicaRafed
1794.html,0.85654,RAWrabicaRafed
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.85546,RELEASE
3150.html,0.85506,RAWrabicaRafed
Shamela115098.txt,0.85469,raw_ShamelaY19
115098.bok.json,0.85222,RAWrabicaSham19Y
1793.html,0.85152,RAWrabicaRafed
31630.json,0.85105,RAWrabicaShamAY2
1804.html,0.85097,RAWrabicaRafed
3960.html,0.84963,RAWrabicaRafed
Shamela147312.txt,0.84955,raw_ShamelaY19
2415.html,0.84938,RAWrabicaRafed
1660.html,0.8489,RAWrabicaRafed
Shamela037458.txt,0.84873,raw_ShamelaY19
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.Tafsir07054-ara1,0.84855,RELEASE
3179.html,0.84726,RAWrabicaRafed
000150Vols.automARkdown,0.8471,RAW_Masaha
0460ShaykhTusi.Tibyan.Tafsir04039-ara1,0.84693,RELEASE
1721.html,0.84655,RAWrabicaRafed
1545.json,0.84633,RAWrabicaShamAY1
2679.html,0.84632,RAWrabicaRafed
2416.html,0.84616,RAWrabicaRafed
660.json,0.84601,RAWrabicaShamAY1
Shamela095562.txt,0.84594,raw_ShamelaY19
1480.json,0.8459,RAWrabicaShamAY1
Shamela038000.txt,0.84551,raw_ShamelaY19
2424.html,0.84548,RAWrabicaRafed
23591.bok.json,0.84537,RAWrabicaSham19Y
38000.bok.json,0.84533,RAWrabicaSham19Y
Shia002557Vols,0.84532,RAWrabica040000
9065.json,0.84516,RAWrabicaShamAY1
0548IbnHasanTabarsi.TafsirMajmacBayan.Zaydiyya0000301-ara1,0.84495,RELEASE
0360IbnCaliQassab.NukatDalla.Shamela0009065-ara1,0.84493,RELEASE
