unknown,TFIDF_cosine,libVar
0548IbnCabdKarimShahrastani.MilalWaNihal.JK000344-ara1,0.99752,RELEASE
0548IbnCabdKarimShahrastani.MilalWaNihal.ShamAY0033890-ara1,0.99467,RELEASE
0548IbnCabdKarimShahrastani.MilalWaNihal.Shamela0011812-ara1,0.99408,RELEASE
33890.json,0.99306,RAWrabicaShamAY2
11812.bok.json,0.97073,RAWrabicaSham19Y
11812.json,0.97047,RAWrabicaShamAY2
3569.html,0.94829,RAWrabicaRafed
Shia004499Vols,0.90655,RAWrabica045000
8375.json,0.89527,RAW_ABLibrary
3488.html,0.89059,RAWrabicaRafed
6520.json,0.88991,RAWrabicaShamAY1
6376.json,0.88939,RAWrabicaShamAY1
0429IbnTahirBaghdadi.FarqBaynaFiraq.Shamela0006520-ara1,0.88887,RELEASE
0429IbnTahirBaghdadi.FarqBaynaFiraq.JK000334-ara1,0.88886,RELEASE
0471IbnMuhammadIsfaraini.TabsirFiDin.Shamela0006376-ara1,0.88823,RELEASE
0471IbnMuhammadIsfaraini.TabsirFiDin.JK001248-ara1,0.88813,RELEASE
3493.html,0.88688,RAWrabicaRafed
0415QadiCabdJabbar.ManiyyaWaAmal.ShamAY0037746-ara1,0.88449,RELEASE
8513.json,0.88019,RAW_ABLibrary
7902.json,0.87987,RAW_ABLibrary
3537.html,0.87849,RAWrabicaRafed
7903.json,0.87752,RAW_ABLibrary
8353.json,0.87257,RAWrabicaShamAY1
8353.bok.json,0.87206,RAWrabicaSham19Y
Sham30K0008353,0.87024,RAWrabica010000
Shamela036091.txt,0.86946,raw_ShamelaY19
004568Vols.automARkdown,0.86887,RAW_Masaha
8681.json,0.86646,RAW_ABLibrary
8481.json,0.86419,RAW_ABLibrary
3896.html,0.86344,RAWrabicaRafed
3451.html,0.86302,RAWrabicaRafed
8652.json,0.86252,RAW_ABLibrary
3448.html,0.86216,RAWrabicaRafed
8349.json,0.86174,RAW_ABLibrary
8412.json,0.86026,RAW_ABLibrary
8613.json,0.85984,RAWrabicaShamAY1
Shamela133368.txt,0.85954,raw_ShamelaY19
35035.json,0.85954,RAWrabicaShamAY3
002790Vols.automARkdown,0.85865,RAW_Masaha
8597.json,0.8576,RAW_ABLibrary
2864.json,0.85709,RAWrabicaShamAY1
2864.bok.json,0.85696,RAWrabicaSham19Y
37746.json,0.85664,RAWrabicaShamAY3
3496.html,0.85649,RAWrabicaRafed
8589.json,0.85538,RAW_ABLibrary
6309.json,0.85447,RAWrabicaShamAY1
3897.html,0.85442,RAWrabicaRafed
3527.html,0.85419,RAWrabicaRafed
1783.json,0.85417,RAWrabicaShamAY1
Shamela096337.txt,0.85416,raw_ShamelaY19
6309.bok.json,0.85405,RAWrabicaSham19Y
8913.json,0.85331,RAW_ABLibrary
1238.json,0.85275,RAWrabicaShamAY1
3574.html,0.85265,RAWrabicaRafed
3616.html,0.85186,RAWrabicaRafed
7424.json,0.85122,RAW_ABLibrary
34195.json,0.85054,RAWrabicaShamAY3
8442.json,0.85046,RAW_ABLibrary
0449AbuFathKarajiki.KanzFawaid.Shia001332-ara1,0.85001,RELEASE
3420.html,0.84998,RAWrabicaRafed
1450Milani.SharhMinhajKaramaLiHilli.Shia004014Vols-ara1,0.84952,RELEASE
004552.automARkdown,0.84932,RAW_Masaha
8411.json,0.84931,RAW_ABLibrary
6531.json,0.8492,RAWrabicaShamAY1
1406.html,0.84856,RAWrabicaRafed
37747.json,0.84834,RAWrabicaShamAY3
3914.html,0.84833,RAWrabicaRafed
3437.html,0.84832,RAWrabicaRafed
0449AbuFathKarajiki.KanzFawaid.Zaydiyya0000201-ara1,0.84826,RELEASE
Shamela020643.txt,0.84807,raw_ShamelaY19
3902.html,0.848,RAWrabicaRafed
6362.json,0.84797,RAWrabicaShamAY1
8476.json,0.8477,RAW_ABLibrary
6362.bok.json,0.84763,RAWrabicaSham19Y
Shamela023631.txt,0.84696,raw_ShamelaY19
8458.json,0.84681,RAW_ABLibrary
3539.html,0.84667,RAWrabicaRafed
Sham30K0034053,0.8466,RAWrabica020000
Shamela145376.txt,0.84654,raw_ShamelaY19
3178.html,0.8462,RAWrabicaRafed
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.84568,RELEASE
591.json,0.84553,RAWrabicaShamAY1
Shamela096180.txt,0.84508,raw_ShamelaY19
Shamela030863.txt,0.84489,raw_ShamelaY19
8357.json,0.84428,RAW_ABLibrary
Shamela029677.txt,0.84422,raw_ShamelaY19
1375AhmadIbnHasanQasimi.CilmWasim.Zaydiyya0000046-ara1,0.84418,RELEASE
Shamela036571.txt,0.84385,raw_ShamelaY19
12034.bok.json,0.84385,RAWrabicaSham19Y
8360.json,0.84354,RAW_ABLibrary
23631.json,0.84347,RAWrabicaShamAY2
002494Vols.automARkdown,0.84332,RAW_Masaha
8391.json,0.84285,RAW_ABLibrary
6454.json,0.84262,RAWrabicaShamAY1
33785.json,0.84262,RAWrabicaShamAY2
12034.json,0.8426,RAWrabicaShamAY2
Shamela036427.txt,0.84213,raw_ShamelaY19
Shamela018381.txt,0.84172,raw_ShamelaY19
470.json,0.84163,RAWrabicaShamAY1
12723.json,0.84121,RAWrabicaShamAY2
2679.html,0.84103,RAWrabicaRafed
8392.json,0.8407,RAW_ABLibrary
8514.json,0.84065,RAW_ABLibrary
001836Vols.automARkdown,0.84061,RAW_Masaha
30863.json,0.8405,RAWrabicaShamAY2
6547.json,0.84032,RAWrabicaShamAY1
7292.json,0.84026,RAWrabicaShamAY1
876.html,0.8401,RAWrabicaRafed
0566MutawakkilAhmad.HaqaiqMacrifa.Zaydiyya0000044-ara1,0.83989,RELEASE
34373.json,0.83983,RAWrabicaShamAY3
812.json,0.83983,RAWrabicaShamAY1
Shamela022835.txt,0.83979,raw_ShamelaY19
2654.html,0.83974,RAWrabicaRafed
001352Vols.automARkdown,0.83964,RAW_Masaha
40.html,0.83933,RAWrabicaRafed
000474.automARkdown,0.83921,RAW_Masaha
8390.json,0.83914,RAW_ABLibrary
33429.json,0.83907,RAWrabicaShamAY2
5981.json,0.83907,RAWrabicaShamAY1
9943.json,0.83902,RAWrabicaShamAY1
3293.html,0.83889,RAWrabicaRafed
8804.json,0.83847,RAW_ABLibrary
8591.json,0.83831,RAW_ABLibrary
11071.bok.json,0.83831,RAWrabicaSham19Y
1574.html,0.8383,RAWrabicaRafed
Shamela037458.txt,0.8383,raw_ShamelaY19
8389.json,0.83826,RAW_ABLibrary
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.83797,RELEASE
473.json,0.83774,RAWrabicaShamAY1
0558IbnAbiKhayrCimraniYamani.IntisarFiRadd.Shamela0007361-ara1,0.83774,RELEASE
3.json,0.83764,RAWrabicaShamAY1
3192.html,0.83754,RAWrabicaRafed
Shamela021512.txt,0.83749,raw_ShamelaY19
1987.html,0.83746,RAWrabicaRafed
8176.json,0.8374,RAWrabicaShamAY1
Shamela038093.txt,0.83718,raw_ShamelaY19
660.json,0.83716,RAWrabicaShamAY1
29677.bok.json,0.83709,RAWrabicaSham19Y
11071.json,0.83694,RAWrabicaShamAY2
1236.json,0.83694,RAWrabicaShamAY1
8439.json,0.83693,RAW_ABLibrary
