unknown,TFIDF_cosine,libVar
26437.json,0.99991,RAWrabicaShamAY2
Shamela026437.txt,0.99955,raw_ShamelaY19
Sham30K0038953,0.99944,RAWrabica025000
0748Dhahabi.MukhtasarMinDubaythi.JK009161-ara1,0.78639,RELEASE
Shia003278,0.75749,RAWrabica045000
2900.html,0.68527,RAWrabicaRafed
0748IbnDimyati.Mustafad.Shamela0023764BK4-ara1,0.67885,RELEASE
0680IbnSabuni.TakmilatIkmalIkmal.Shamela0021107-ara1,0.67796,RELEASE
2982.html,0.67566,RAWrabicaRafed
Shamela021107.txt,0.6739,raw_ShamelaY19
21107.json,0.6731,RAWrabicaShamAY2
6234.json,0.6666,RAWrabicaShamAY1
6234.bok.json,0.66652,RAWrabicaSham19Y
0395IbnMandahMuhammad.Asami.Shamela0026889-ara1,0.6618,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.65919,RELEASE
0395IbnMandahMuhammad.Asami.Shamela0026889-ara1,0.65857,RELEASE
0550IbnCamrSamani.SahaifTisac.ShamAY0032762-ara1,0.65847,RELEASE
0550IbnCamrSamani.SahaifTisac.ShamAY0032762-ara1,0.65761,RELEASE
32762.json,0.65726,RAWrabicaShamAY2
26889.json,0.65514,RAWrabicaShamAY2
0599IbnYahyaDabbi.BughyatMultamis.Shamela0000728-ara1,0.65511,RELEASE
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,0.65448,RELEASE
5797.bok.json,0.65333,RAWrabicaSham19Y
0728.bok.json,0.653,RAWrabicaSham19Y
5871.json,0.65278,RAWrabicaShamAY1
5797.json,0.65192,RAWrabicaShamAY1
728.json,0.65169,RAWrabicaShamAY1
Shamela026889.txt,0.6508,raw_ShamelaY19
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.64957,RELEASE
26857.json,0.6487,RAWrabicaShamAY2
Shamela026857.txt,0.64677,raw_ShamelaY19
0482AbuIshaqHabbal.WafayatMisriyyin.JK000712-ara1,0.64586,RELEASE
0482AbuIshaqHabbal.WafayatMisriyyin.Shamela0005871-ara1,0.64566,RELEASE
0658IbnAbbar.TakmilaLiSila.JK001319-ara1,0.64485,RELEASE
0482AbuIshaqHabbal.WafayatMisriyyin.JK000712-ara1,0.64423,RELEASE
6608.bok.json,0.6439,RAWrabicaSham19Y
0637IbnMustawfi.TarikhIrbil.Shamela0011746-ara1,0.64272,RELEASE
6608.json,0.64253,RAWrabicaShamAY1
9584.bok.json,0.64187,RAWrabicaSham19Y
0879IbnQutlubugha.TajTarajim.Shamela0010925-ara1,0.64022,RELEASE
9584.json,0.63995,RAWrabicaShamAY1
0911Suyuti.TabaqatMufassirin.Shamela0006234-ara1,0.63972,RELEASE
1127.json,0.63919,RAWrabicaShamAY1
38013.json,0.63504,RAWrabicaShamAY3
2980.html,0.63405,RAWrabicaRafed
2981.html,0.63371,RAWrabicaRafed
2902.html,0.62922,RAWrabicaRafed
0642IbnNajjar.DhaylTarikhBaghdad.Shamela0023764BK3-ara1,0.6283,RELEASE
2904.html,0.62589,RAWrabicaRafed
5791.json,0.62523,RAWrabicaShamAY1
0809IbnQunfudh.Wafayat.Shamela0010921-ara1,0.62509,RELEASE
0636IbnYusufBirzaliIshbili.SulukTariqSalaf.Shamela0026560-ara1,0.62387,RELEASE
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.62385,RELEASE
0379IbnZabrRabci.TarikhMulidCulama.Shamela0005791-ara1,0.62351,RELEASE
0379IbnZabrRabci.TarikhMulidCulama.JK000651-ara1,0.62331,RELEASE
2959.html,0.6217,RAWrabicaRafed
Sham30K0038796,0.62163,RAWrabica025000
1135.json,0.62042,RAWrabicaShamAY1
0379IbnZabrRabci.TarikhMulidCulama.JK000651-ara1,0.62013,RELEASE
Sham30K0014422,0.62013,RAWrabica015000
26560.json,0.6195,RAWrabicaShamAY2
8677.json,0.61847,RAWrabicaShamAY1
Shamela026560.txt,0.61843,raw_ShamelaY19
0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.Shamela0005789-ara1,0.61707,RELEASE
2311.html,0.61694,RAWrabicaRafed
30652.json,0.61621,RAWrabicaShamAY2
Shia003310,0.61617,RAWrabica045000
0656IbnCabdQawiMundhiri.TakmilaLiWafayatNaqala.ShamAY0034660-ara1,0.61484,RELEASE
Shia003236Vols,0.61473,RAWrabica045000
0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,0.61433,RELEASE
0641Sarifini.Muntakhab.Shamela0012528-ara1,0.61431,RELEASE
0703MuhammadMarrakushi.DhaylWaTakmila.Shamela0001030-ara1,0.61397,RELEASE
0817MajdDinFiruzabadi.BulghaFiTarajim.Shamela0009984-ara1,0.61364,RELEASE
0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,0.61309,RELEASE
004118.automARkdown,0.61304,RAW_Masaha
0498AbuCaliJayyani.TasmiyatShuyukhAbiDawud.ShamAY0034581-ara1,0.61231,RELEASE
38202.json,0.61175,RAWrabicaShamAY3
0911Suyuti.DhaylTabaqatHuffaz.Shamela0007315-ara1,0.61076,RELEASE
7315.json,0.61028,RAWrabicaShamAY1
0498AbuCaliJayyani.TasmiyatShuyukhAbiDawud.ShamAY0034581-ara1,0.60991,RELEASE
0695IbnMuhammadHusayni.SilatTakmilaLiWafayatNaqala.ShamAY0034633-ara1,0.60982,RELEASE
Shamela030652.txt,0.60947,raw_ShamelaY19
12528.json,0.60947,RAWrabicaShamAY2
1030.bok.json,0.6088,RAWrabicaSham19Y
2323.html,0.608,RAWrabicaRafed
0833IbnJazari.GhayatNihaya.Shamela0012040-ara1,0.60781,RELEASE
1030.json,0.60776,RAWrabicaShamAY1
Shamela096165.txt,0.60766,raw_ShamelaY19
96165.bok.json,0.60711,RAWrabicaSham19Y
0562Samcani.Ansab.Sham30K0002009-ara1,0.6069,RELEASE
0871IbnFahdMakki.LahzAlhaz.Shia003348-ara1,0.60639,RELEASE
0832AbuTayyibFasi.DhaylTaqyid.Shamela0008884-ara1,0.60639,RELEASE
12040.bok.json,0.60626,RAWrabicaSham19Y
0562Samcani.Ansab.ShamAY0034668-ara1,0.6061,RELEASE
0562Samcani.Ansab.Shia003430Vols-ara1,0.60565,RELEASE
0617RadiDinTusi.Arbacuna.Shamela0026490-ara1,0.60554,RELEASE
1676.json,0.60517,RAWrabicaShamAY1
2718.html,0.60515,RAWrabicaRafed
0637IbnDubaythi.DhaylTarikhBaghdad.ShamAY0034569-ara1,0.60502,RELEASE
0562Samcani.Ansab.Sham30K0045603-ara1,0.60481,RELEASE
0562Samcani.Ansab.JK000952-ara1,0.60479,RELEASE
0775IbnAbiWafa.JawahirMudiya.JK000806-ara1,0.60478,RELEASE
11036.bok.json,0.60467,RAWrabicaSham19Y
2893.html,0.60377,RAWrabicaRafed
Shamela026490.txt,0.60326,raw_ShamelaY19
12040.json,0.60305,RAWrabicaShamAY2
2330.html,0.60273,RAWrabicaRafed
11036.json,0.60171,RAWrabicaShamAY2
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.60122,RELEASE
Shia003430Vols,0.60115,RAWrabica045000
2713.html,0.60096,RAWrabicaRafed
34660.json,0.60034,RAWrabicaShamAY3
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.60032,RELEASE
1025IbnQadiMaknasi.DurratHijal.Sham19Y0132965-ara1,0.59952,RELEASE
0884AbuIshaqIbnMuflih.MaqsidArshad.Shamela0005890-ara1,0.59951,RELEASE
38189.json,0.59876,RAWrabicaShamAY3
0354IbnHibbanBusti.MashahirCulamaAmsar.Shia003104-ara1,0.59837,RELEASE
2892.html,0.59834,RAWrabicaRafed
30257.bok.json,0.59817,RAWrabicaSham19Y
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.59803,RELEASE
5890.bok.json,0.59802,RAWrabicaSham19Y
Shamela123666.txt,0.59769,raw_ShamelaY19
1375AhmadIbnHasanQasimi.JawahirMudia.Zaydiyya0000346-ara1,0.59761,RELEASE
1375AhmadIbnHasanQasimi.JawahirMudia.Zaydiyya0000346-ara1,0.59746,RELEASE
5890.json,0.59719,RAWrabicaShamAY1
2138.html,0.59717,RAWrabicaRafed
0354IbnHibbanBusti.MashahirCulamaAmsar.Shamela0000896-ara1,0.59716,RELEASE
0879IbnQutlubugha.Thiqat.Shamela0096165-ara1,0.59693,RELEASE
Sham30K0033963,0.59642,RAWrabica020000
0852IbnHajarCasqalani.MucjamShaykhaMaryam.Shamela0030267Vols-ara1,0.59641,RELEASE
0562Samcani.Ansab.Shamela0012317-ara1,0.59639,RELEASE
34633.json,0.59625,RAWrabicaShamAY3
0576AbuTahirSilafi.MucjamSafar.Shamela0005805-ara1,0.59619,RELEASE
0576AbuTahirSilafi.MucjamSafar.JK001222-ara1,0.59605,RELEASE
0562Samcani.Ansab.Shamela0012317-ara1,0.59563,RELEASE
2326.html,0.59558,RAWrabicaRafed
26490.json,0.59534,RAWrabicaShamAY2
0576AbuTahirSilafi.MucjamSafar.Shamela0005805-ara1,0.59526,RELEASE
