unknown,TFIDF_cosine,libVar
0571IbnCasakir.TabyinKadhb.Shamela0006549-ara1,0.9985,RELEASE
6549.json,0.99847,RAWrabicaShamAY1
1533.json,0.89813,RAWrabicaShamAY1
7891.bok.json,0.89792,RAWrabicaSham19Y
0510IbnMascudBaghawi.SharhSunna.Shamela0007891-ara1,0.89766,RELEASE
0510IbnMascudBaghawi.SharhSunna.Shamela0007891-ara1,0.89742,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.89115,RELEASE
33598.json,0.89111,RAWrabicaShamAY2
0510IbnMascudBaghawi.SharhSunna.JK009152-ara1,0.89015,RELEASE
0574ShuhdaBintAhmad.Cumda.Shamela0007375-ara1,0.88695,RELEASE
2543.html,0.88652,RAWrabicaRafed
0574ShuhdaBintAhmad.Cumda.Shamela0007375-ara1,0.88627,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.88608,RELEASE
2305.html,0.885,RAWrabicaRafed
Shamela028740.txt,0.88495,raw_ShamelaY19
28740.json,0.8847,RAWrabicaShamAY2
2293.html,0.88463,RAWrabicaRafed
2283.html,0.88449,RAWrabicaRafed
12752.bok.json,0.88386,RAWrabicaSham19Y
12752.json,0.88367,RAWrabicaShamAY2
2517.html,0.88344,RAWrabicaRafed
5740.json,0.88235,RAWrabicaShamAY1
5719.json,0.88233,RAWrabicaShamAY1
5740.bok.json,0.88227,RAWrabicaSham19Y
7412.json,0.8817,RAW_ABLibrary
0378HakimKabir.ShicarAshabHadith.Shia002073-ara1,0.88157,RELEASE
0378HakimKabir.ShicarAshabHadith.Shia002073-ara1,0.88146,RELEASE
2336.html,0.88092,RAWrabicaRafed
001980Vols.automARkdown,0.87976,RAW_Masaha
1768.html,0.87888,RAWrabicaRafed
001833.automARkdown,0.87678,RAW_Masaha
0745AbuHayyanGharnati.HadithShuyukhBaghdad.ShamAY0032770-ara1,0.87611,RELEASE
0463KhatibBaghdadi.FaslLiWaslMudrajFiNaql.Shamela0010842-ara1,0.87546,RELEASE
0463KhatibBaghdadi.FaslLiWaslMudrajFiNaql.Shamela0010842-ara1,0.87482,RELEASE
0729AbuNunDabusi.Mucjam.ShamAY0032838-ara1,0.87438,RELEASE
2289.html,0.87417,RAWrabicaRafed
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.87369,RELEASE
32838.json,0.87357,RAWrabicaShamAY2
0658IbnAbbar.MucjamAshab.JK009189-ara1,0.87348,RELEASE
32770.json,0.87289,RAWrabicaShamAY2
Shamela026487.txt,0.87196,raw_ShamelaY19
0721IbnRushaydSabti.MalCayba.Shamela0012532-ara1,0.87168,RELEASE
0696IbnZahiri.Mashyakha.JK009154-ara1,0.87165,RELEASE
003716.automARkdown,0.87116,RAW_Masaha
2356.html,0.87099,RAWrabicaRafed
2245.html,0.87091,RAWrabicaRafed
1772.html,0.87077,RAWrabicaRafed
26487.json,0.8706,RAWrabicaShamAY2
0555IbnMuhammadHamadhaniTai.ArbacunaFiIrshad.Shamela0026842-ara1,0.87051,RELEASE
2265.html,0.87027,RAWrabicaRafed
12532.json,0.87011,RAWrabicaShamAY2
33029.json,0.86985,RAWrabicaShamAY2
2270.html,0.86979,RAWrabicaRafed
30731.json,0.86974,RAWrabicaShamAY2
0555IbnMuhammadHamadhaniTai.ArbacunaFiIrshad.Shamela0026842-ara1,0.86931,RELEASE
37348.json,0.86887,RAWrabicaShamAY3
39268.bok.json,0.86859,RAWrabicaSham19Y
0571IbnCasakir.TacziyatMuslim.Shia002180-ara1,0.86847,RELEASE
26842.json,0.86828,RAWrabicaShamAY2
0620IbnMuhammadIbnCasakir.ArbacunaFiManaqibUmmahat.Shamela0006596-ara1,0.86828,RELEASE
Shamela026842.txt,0.86826,raw_ShamelaY19
0571IbnCasakir.TacziyatMuslim.Shia002180-ara1,0.86822,RELEASE
0636IbnYusufBirzaliIshbili.SulukTariqSalaf.Shamela0026560-ara1,0.868,RELEASE
0571IbnCasakir.TacziyatMuslim.Shamela0006766-ara1,0.86796,RELEASE
30558.bok.json,0.86791,RAWrabicaSham19Y
0458Bayhaqi.MadkhalIlaCilmSunan.Sham19Y0039268-ara1,0.86789,RELEASE
0574ShuhdaBintAhmad.Cumda.JK001207-ara1,0.86782,RELEASE
2310.html,0.8678,RAWrabicaRafed
Shamela026742.txt,0.86753,raw_ShamelaY19
Shamela030731.txt,0.86751,raw_ShamelaY19
0571IbnCasakir.TacziyatMuslim.JK000023-ara1,0.86741,RELEASE
Shamela026560.txt,0.86729,raw_ShamelaY19
0599IbnHasanCabdi.Juz.Shamela0030731-ara1,0.86726,RELEASE
6766.json,0.86712,RAWrabicaShamAY1
0902Sakhawi.Buldaniyyat.JK007062-ara1,0.86697,RELEASE
1782.html,0.86695,RAWrabicaRafed
0705SharafDinDimyatti.AhadithCawali.Shamela0030558-ara1,0.86686,RELEASE
10842.json,0.86683,RAWrabicaShamAY2
30558.json,0.86678,RAWrabicaShamAY2
0458Bayhaqi.MadkhalIlaCilmSunan.Sham19Y0039268-ara1,0.86675,RELEASE
2352.html,0.86667,RAWrabicaRafed
26560.json,0.86664,RAWrabicaShamAY2
5724.bok.json,0.86654,RAWrabicaSham19Y
Shamela030558.txt,0.86621,raw_ShamelaY19
0739Birzali.Mashyakha.Shamela0005724-ara1,0.86619,RELEASE
0562Samcani.Ansab.Shamela0012317-ara1,0.86614,RELEASE
0562Samcani.Ansab.Shamela0012317-ara1,0.86613,RELEASE
1357.json,0.86589,RAWrabicaShamAY1
0571IbnCasakir.ArbacunaAbdalCawali.Shamela0026742-ara1,0.86571,RELEASE
0458Bayhaqi.QiraaKhalfaImam.Shamela0001378-ara1,0.86562,RELEASE
0571IbnCasakir.ArbacunaAbdalCawali.Shamela0026742-ara1,0.86549,RELEASE
5724.json,0.86541,RAWrabicaShamAY1
6596.bok.json,0.86535,RAWrabicaSham19Y
Shamela039268.txt,0.8651,raw_ShamelaY19
0562Samcani.Ansab.Sham30K0012317-ara1,0.86492,RELEASE
12317.json,0.86487,RAWrabicaShamAY2
2233.html,0.86484,RAWrabicaRafed
1378.json,0.86412,RAWrabicaShamAY1
1790.html,0.864,RAWrabicaRafed
6596.json,0.86389,RAWrabicaShamAY1
2371.html,0.86384,RAWrabicaRafed
Shamela029785.txt,0.86374,raw_ShamelaY19
Shamela021477.txt,0.86365,raw_ShamelaY19
2228.html,0.86356,RAWrabicaRafed
2224.html,0.86356,RAWrabicaRafed
1306.json,0.86348,RAWrabicaShamAY1
0458Bayhaqi.QiraaKhalfaImam.JK000631-ara1,0.86343,RELEASE
1764.html,0.86343,RAWrabicaRafed
1767.html,0.86338,RAWrabicaRafed
0463KhatibBaghdadi.TalkhisMutashabih.Shamela0021477-ara1,0.86314,RELEASE
0463KhatibBaghdadi.TalkhisMutashabih.Shamela0021477-ara1,0.86303,RELEASE
32855.json,0.8629,RAWrabicaShamAY2
0458Bayhaqi.QiraaKhalfaImam.JK000631-ara1,0.86289,RELEASE
0468AbuFathJawbariRazi.HadithQassar.ShamAY0032969-ara1,0.86252,RELEASE
32969.json,0.86248,RAWrabicaShamAY2
2558.html,0.86237,RAWrabicaRafed
0548IbnYahyaAbuSacdNaysaburi.Arbacuna.Shamela0029785-ara1,0.86224,RELEASE
