unknown,TFIDF_cosine,libVar
1334.json,0.99555,RAWrabicaShamAY1
Shamela026658.txt,0.98738,raw_ShamelaY19
0562Samcani.AdabImla.Shamela0006018-ara1,0.79932,RELEASE
0562Samcani.AdabImla.JK000448-ara1,0.79931,RELEASE
0562Samcani.AdabImla.Shia002173-ara1,0.79767,RELEASE
0562Samcani.AdabImla.Shia002173-ara1,0.79701,RELEASE
30646.json,0.79456,RAWrabicaShamAY2
30257.bok.json,0.79455,RAWrabicaSham19Y
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.79434,RELEASE
6018.json,0.79408,RAWrabicaShamAY1
002357.automARkdown,0.79329,RAW_Masaha
30257.json,0.79328,RAWrabicaShamAY2
Shamela030646.txt,0.789,raw_ShamelaY19
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.78847,RELEASE
30652.json,0.78836,RAWrabicaShamAY2
30606.json,0.78626,RAWrabicaShamAY2
Shamela030257.txt,0.78626,raw_ShamelaY19
0748Dhahabi.MucjamLatif.ShamAY0033668-ara1,0.78425,RELEASE
32872.json,0.78379,RAWrabicaShamAY2
30644.bok.json,0.78377,RAWrabicaSham19Y
0748IbnDimyati.Hadith.ShamAY0032872-ara1,0.78307,RELEASE
30644.json,0.78255,RAWrabicaShamAY2
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.78189,RELEASE
2893.html,0.78153,RAWrabicaRafed
Shamela096165.txt,0.78125,raw_ShamelaY19
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.78107,RELEASE
30648.json,0.78102,RAWrabicaShamAY2
2900.html,0.78065,RAWrabicaRafed
0852AbuNucaymMustamli.ArabacinMutabayina.ShamAY0032859-ara1,0.78039,RELEASE
2718.html,0.77962,RAWrabicaRafed
2959.html,0.77932,RAWrabicaRafed
Shamela030652.txt,0.77871,raw_ShamelaY19
0761IbnKaykaldiCalai.ItharatFawaid.Shamela0022882-ara1,0.77853,RELEASE
33668.json,0.77852,RAWrabicaShamAY2
Shamela030606.txt,0.77818,raw_ShamelaY19
32859.json,0.77805,RAWrabicaShamAY2
0562Samcani.Ansab.Sham30K0045603-ara1,0.77792,RELEASE
0562Samcani.Ansab.JK000952-ara1,0.77791,RELEASE
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.77773,RELEASE
2138.html,0.77766,RAWrabicaRafed
26726.json,0.77708,RAWrabicaShamAY2
96165.bok.json,0.77585,RAWrabicaSham19Y
22882.json,0.77562,RAWrabicaShamAY2
0562Samcani.Ansab.Shia003430Vols-ara1,0.77557,RELEASE
0562Samcani.Ansab.ShamAY0034668-ara1,0.77541,RELEASE
0562Samcani.Ansab.Sham30K0002009-ara1,0.77527,RELEASE
