unknown,TFIDF_cosine,libVar
34700.json,0.9997,RAWrabicaShamAY3
0577AbuBarakatAnbari.InsafFiMasail.JK001424-ara1,0.99966,RELEASE
0577AbuBarakatAnbari.InsafFiMasail.Shamela0007362-ara1,0.99109,RELEASE
16339.automARkdown,0.97812,RAW_Ghbook
1878.html,0.89572,RAWrabicaRafed
7362.json,0.88789,RAWrabicaShamAY1
7362.bok.json,0.88772,RAWrabicaSham19Y
31791.json,0.86862,RAWrabicaShamAY2
0577AbuBarakatAnbari.AsrarCarabiyya.JK000955-ara1,0.85513,RELEASE
0577AbuBarakatAnbari.AsrarCarabiyya.Shamela0007502-ara1,0.85303,RELEASE
0577AbuBarakatAnbari.AsrarCarabiyya.ShamAY0034671-ara1,0.85276,RELEASE
34671.json,0.85172,RAWrabicaShamAY3
2629.html,0.83287,RAWrabicaRafed
2815.html,0.83043,RAWrabicaRafed
1913.html,0.8289,RAWrabicaRafed
7502.json,0.82733,RAWrabicaShamAY1
0325IbnCabdAllahWarraq.CilalNahw.Shamela0007003-ara1,0.82389,RELEASE
0325IbnCabdAllahWarraq.CilalNahw.JK009173-ara1,0.82388,RELEASE
16307.automARkdown,0.82371,RAW_Ghbook
7003.json,0.82321,RAWrabicaShamAY1
0377IbnAhmadFarisi.MasailHalabiyyat.Sham19Y0018265-ara1,0.82129,RELEASE
0316IbnSarrajNahwi.UsulFiNahw.JK001130-ara1,0.82041,RELEASE
6986.json,0.81996,RAWrabicaShamAY1
32697.json,0.81981,RAWrabicaShamAY2
0377IbnAhmadFarisi.MasailBasriyyat.Sham19Y0016775-ara1,0.81468,RELEASE
0581AbuQasimSuhayli.NataijFikrFiNahw.Shamela0000613-ara1,0.81199,RELEASE
613.json,0.81185,RAWrabicaShamAY1
32669.json,0.81126,RAWrabicaShamAY2
16344.automARkdown,0.8101,RAW_Ghbook
0377IbnAhmadFarisi.SharhAbyat.Shamela0037492-ara1,0.80846,RELEASE
Shamela029555.txt,0.80752,raw_ShamelaY19
Shamela037492.txt,0.80745,raw_ShamelaY19
0332IbnWalladTamimi.Intisar.Sham19Y0029555-ara1,0.80738,RELEASE
12003.bok.json,0.80711,RAWrabicaSham19Y
870.json,0.80696,RAWrabicaShamAY1
16350.automARkdown,0.80538,RAW_Ghbook
12003.json,0.80486,RAWrabicaShamAY2
16322.automARkdown,0.80475,RAW_Ghbook
38899.json,0.8042,RAWrabicaShamAY3
34433.json,0.80413,RAWrabicaShamAY3
34422.json,0.80357,RAWrabicaShamAY3
1976.html,0.80331,RAWrabicaRafed
1842.html,0.80309,RAWrabicaRafed
0567IbnKhashshabBaghdadi.Murtajal.Sham19Y0018262-ara1,0.8009,RELEASE
2070.html,0.80089,RAWrabicaRafed
1977.html,0.80079,RAWrabicaRafed
2782.html,0.79979,RAWrabicaRafed
Sham30K0034066,0.79937,RAWrabica020000
003068Vols.automARkdown,0.79935,RAW_Masaha
2006.html,0.79861,RAWrabicaRafed
37111.json,0.79681,RAWrabicaShamAY3
1886.html,0.79538,RAWrabicaRafed
2505.json,0.79536,RAWrabicaShamAY1
6972.json,0.79528,RAWrabicaShamAY1
0458IbnSidaMursi.IcrabQuran.ShamAY0036821-ara1,0.79514,RELEASE
1844.html,0.79475,RAWrabicaRafed
32515.json,0.79421,RAWrabicaShamAY2
Sham30K0002505,0.79356,RAWrabica005000
36821.json,0.79245,RAWrabicaShamAY3
0368Sirafi.SharhKitabSibawayh.Sham19Y0017726-ara1,0.7904,RELEASE
0377IbnAhmadFarisi.Baghdadiyyat.ShamAY0037111-ara1,0.78999,RELEASE
0377IbnAhmadFarisi.TacliqaCalaKitabSibawayh.Sham19Y0013245-ara1,0.78821,RELEASE
32582.json,0.78815,RAWrabicaShamAY2
18115.bok.json,0.78645,RAWrabicaSham19Y
31767.json,0.78628,RAWrabicaShamAY2
Shamela026099.txt,0.78472,raw_ShamelaY19
32585.json,0.78427,RAWrabicaShamAY2
7365.json,0.78353,RAWrabicaShamAY1
2087.html,0.7835,RAWrabicaRafed
1824.html,0.78313,RAWrabicaRafed
1651.json,0.78293,RAWrabicaShamAY1
0377IbnAhmadFarisi.MasailCaskariyyat.Sham19Y0018267-ara1,0.78271,RELEASE
2819.html,0.78229,RAWrabicaRafed
26099.json,0.78216,RAWrabicaShamAY2
0489IbnMuhammadSamcani.QawaticAdilla.JK001304-ara1,0.78142,RELEASE
