unknown,TFIDF_cosine,libVar
6922.json,0.63761,RAWrabicaShamAY1
0582IbnBarri.GhalatDucafaMinFuqaha.JK006917-ara1,0.62768,RELEASE
0577IbnHishamLakhmi.Madkhal.Sham19Y0148096-ara1,0.36938,RELEASE
Shamela148096.txt,0.36517,raw_ShamelaY19
31370.json,0.34966,RAWrabicaShamAY2
Sham30K0033866,0.34823,RAWrabica020000
32592.json,0.34557,RAWrabicaShamAY2
0501IbnMakkiSiqilli.TathqifLisan.Sham19Y0016421-ara1,0.34407,RELEASE
Shamela031370.txt,0.34302,raw_ShamelaY19
10884.bok.json,0.3304,RAWrabicaSham19Y
10884.json,0.32977,RAWrabicaShamAY2
0540AbuMansurJawaliqi.TakmilaCalaDurratGhawass.Sham19Y0029604-ara1,0.28294,RELEASE
Shamela029604.txt,0.27547,raw_ShamelaY19
38972.json,0.26709,RAWrabicaShamAY3
7043.json,0.25208,RAWrabicaShamAY1
