unknown,TFIDF_cosine,libVar
38070.json,0.94578,RAWrabicaShamAY3
1304CabdHayyLaknawi.AhkamSiwak.ShamAY0035999-ara1,0.63939,RELEASE
35999.json,0.63323,RAWrabicaShamAY3
36718.json,0.60698,RAWrabicaShamAY3
0445AbuIshaqBarmaki.AslSunna.ShamAY0032966-ara1,0.59117,RELEASE
Sham30K0043846,0.58794,RAWrabica030000
0445AbuIshaqBarmaki.AslSunna.ShamAY0032966-ara1,0.57732,RELEASE
0497HasanIbnCabdMalik.Amali.ShamAY0038074-ara1,0.57516,RELEASE
0497HasanIbnCabdMalik.Amali.ShamAY0038074-ara1,0.56182,RELEASE
Shamela036999.txt,0.55742,raw_ShamelaY19
372.json,0.55479,RAWrabicaShamAY1
0612AbuMuhammadRuhawiHanbali.ArbacunCalaBuldan.ShamAY0038072-ara1,0.55473,RELEASE
0734IbnCaliTajDinFakihani.RiyadAfham.Sham19Y0017350-ara1,0.547,RELEASE
0643DiyaDinMuqaddasi.Juz.ShamAY0038056-ara1,0.54326,RELEASE
0724IbnCattar.CuddaFiSharhCumda.Sham19Y0014224-ara1,0.54303,RELEASE
0606IbnAthirMajdDin.MucjamJamic.Shamela0025800-ara1,0.54278,RELEASE
0511IbnNabhan.AhadithMuntaqah.ShamAY0038064-ara1,0.54249,RELEASE
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.5417,RELEASE
0665AbuShama.BacithCalaInkarBidac.JK000873-ara1,0.54021,RELEASE
23163.json,0.53995,RAWrabicaShamAY2
Shamela025800.txt,0.53988,raw_ShamelaY19
Shamela023163.txt,0.53902,raw_ShamelaY19
35964.json,0.53648,RAWrabicaShamAY3
25800.json,0.53541,RAWrabicaShamAY2
0633IbnHasanIbnDihyaKalbi.AyatBayyinat.ShamAY0033556-ara1,0.53425,RELEASE
Shamela037017.txt,0.53422,raw_ShamelaY19
6276.json,0.53412,RAWrabicaShamAY1
Shamela037016.txt,0.53367,raw_ShamelaY19
0729IbnMuhammadDiyaDinQurashi.AhadithWaHikayat.ShamAY0038109-ara1,0.53288,RELEASE
0386IbnCumarHarbi.Hadith.ShamAY0032958-ara1,0.53257,RELEASE
108.json,0.53217,RAWrabicaShamAY1
7375.json,0.53216,RAWrabicaShamAY1
106.json,0.5312,RAWrabicaShamAY1
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.Shamela0023163-ara1,0.53119,RELEASE
