unknown,TFIDF_cosine,libVar
34095.json,0.994,RAWrabicaShamAY2
0590IbnFirruhShatibi.HirzAmani.JK000450-ara1,0.98992,RELEASE
0590IbnFirruhShatibi.HirzAmani.Shamela0007754-ara1,0.98317,RELEASE
7754.json,0.9791,RAWrabicaShamAY1
36167.json,0.74381,RAWrabicaShamAY3
4848.automARkdown,0.63622,RAW_Ghbook
1461.json,0.55096,RAWrabicaShamAY1
29915.bok.json,0.54553,RAWrabicaSham19Y
Shamela029915.txt,0.54136,raw_ShamelaY19
7795.json,0.4753,RAWrabicaShamAY1
1562.json,0.44881,RAWrabicaShamAY1
Shamela095577.txt,0.44796,raw_ShamelaY19
1213.json,0.44299,RAWrabicaShamAY1
Shamela038075.txt,0.4416,raw_ShamelaY19
34102.json,0.43322,RAWrabicaShamAY2
5486.json,0.43201,RAWrabicaShamAY1
Shamela036990.txt,0.41498,raw_ShamelaY19
1569.json,0.41436,RAWrabicaShamAY1
369.json,0.41428,RAWrabicaShamAY1
95585.bok.json,0.41316,RAWrabicaSham19Y
Shamela095585.txt,0.41204,raw_ShamelaY19
36803.json,0.40622,RAWrabicaShamAY3
2762.automARkdown,0.39577,RAW_Ghbook
1106.html,0.39479,RAWrabicaRafed
1452.json,0.39212,RAWrabicaShamAY1
Shamela029596.txt,0.38775,raw_ShamelaY19
3090.html,0.37546,RAWrabicaRafed
3726.html,0.37539,RAWrabicaRafed
10010.json,0.36851,RAWrabicaShamAY1
10010.bok.json,0.36719,RAWrabicaSham19Y
2322.html,0.36679,RAWrabicaRafed
5548.json,0.36542,RAWrabicaShamAY1
36168.json,0.36538,RAWrabicaShamAY3
21769.json,0.36404,RAWrabicaShamAY2
3162.html,0.3612,RAWrabicaRafed
9986.json,0.35756,RAWrabicaShamAY1
9218.json,0.35705,RAW_ABLibrary
1068.json,0.35702,RAWrabicaShamAY1
Shamela029864.txt,0.35638,raw_ShamelaY19
9986.bok.json,0.35631,RAWrabicaSham19Y
1450.json,0.35567,RAWrabicaShamAY1
38986.json,0.35556,RAWrabicaShamAY3
37017.json,0.35388,RAWrabicaShamAY3
37227.json,0.35364,RAWrabicaShamAY3
35922.json,0.35314,RAWrabicaShamAY3
Shamela022391.txt,0.35304,raw_ShamelaY19
1234.html,0.35233,RAWrabicaRafed
9856.json,0.35078,RAWrabicaShamAY1
11436.json,0.35025,RAWrabicaShamAY2
37996.json,0.34993,RAWrabicaShamAY3
36536.json,0.34868,RAWrabicaShamAY3
22391.json,0.34835,RAWrabicaShamAY2
1996.html,0.34798,RAWrabicaRafed
34086.json,0.34771,RAWrabicaShamAY2
9979.json,0.34692,RAW_ABLibrary
0377IbnAhmadFarisi.HujjaLiQurraSabca.Shamela0035101-ara1,0.3468,RELEASE
001509.automARkdown,0.3462,RAW_Masaha
1168.json,0.34575,RAWrabicaShamAY1
8796.json,0.3457,RAW_ABLibrary
7311.json,0.34508,RAWrabicaShamAY1
36958.json,0.34467,RAWrabicaShamAY3
10930.bok.json,0.34448,RAWrabicaSham19Y
2173.html,0.34447,RAWrabicaRafed
8660.json,0.34415,RAWrabicaShamAY1
Shamela037615.txt,0.3441,raw_ShamelaY19
Shamela035101.txt,0.34406,raw_ShamelaY19
36879.json,0.34403,RAWrabicaShamAY3
0444AbuCamrDani.UrjuzaMunabbiha.ShamAY0036794-ara1,0.34385,RELEASE
8660.bok.json,0.34296,RAWrabicaSham19Y
Shamela150964.txt,0.34238,raw_ShamelaY19
9831.json,0.34233,RAWrabicaShamAY1
Shamela037680.txt,0.3418,raw_ShamelaY19
1366.html,0.34175,RAWrabicaRafed
9831.bok.json,0.34131,RAWrabicaSham19Y
10930.json,0.34099,RAWrabicaShamAY2
Sham30K0014247,0.34083,RAWrabica015000
36895.json,0.34066,RAWrabicaShamAY3
9787.json,0.34061,RAW_ABLibrary
36794.json,0.33983,RAWrabicaShamAY3
7749.json,0.33957,RAWrabicaShamAY1
2333.html,0.33933,RAWrabicaRafed
9219.json,0.33929,RAW_ABLibrary
Sham30K0038886,0.33909,RAWrabica025000
32214.json,0.33839,RAWrabicaShamAY2
10014.json,0.33811,RAWrabicaShamAY1
11243.bok.json,0.33778,RAWrabicaSham19Y
34684.json,0.33759,RAWrabicaShamAY3
1256.html,0.33659,RAWrabicaRafed
336.html,0.3363,RAWrabicaRafed
1315.html,0.33611,RAWrabicaRafed
3150.html,0.33593,RAWrabicaRafed
6940.json,0.33589,RAWrabicaShamAY1
Shamela097799.txt,0.33575,raw_ShamelaY19
1120.html,0.33561,RAWrabicaRafed
875.html,0.33554,RAWrabicaRafed
2849.html,0.3353,RAWrabicaRafed
3151.html,0.33528,RAWrabicaRafed
3727.html,0.33524,RAWrabicaRafed
0449AbuCalaMacarri.RisalatMalaika.Sham19Y0018276-ara1,0.33524,RELEASE
7030.json,0.33517,RAWrabicaShamAY1
8403.json,0.33506,RAW_ABLibrary
1797.html,0.33489,RAWrabicaRafed
3580.json,0.33447,RAWrabicaShamAY1
1851.html,0.33424,RAWrabicaRafed
23634.json,0.33411,RAWrabicaShamAY2
11243.json,0.33371,RAWrabicaShamAY2
3806.html,0.33364,RAWrabicaRafed
150964.bok.json,0.3336,RAWrabicaSham19Y
002513Vols.automARkdown,0.33359,RAW_Masaha
1527.json,0.33351,RAWrabicaShamAY1
004537.automARkdown,0.3334,RAW_Masaha
001443.automARkdown,0.33332,RAW_Masaha
9355.json,0.33294,RAW_ABLibrary
6975.json,0.3329,RAWrabicaShamAY1
36792.json,0.33254,RAWrabicaShamAY3
Shamela029729.txt,0.33237,raw_ShamelaY19
10929.json,0.33235,RAWrabicaShamAY2
