unknown,TFIDF_cosine,libVar
11820.bok.json,0.99997,RAWrabicaSham19Y
11820.json,0.99997,RAWrabicaShamAY2
34209.json,0.99947,RAWrabicaShamAY3
0593BurhanDinFarghaniMarghinani.HidayaFiSharhBidaya.JK000242-ara1,0.99943,RELEASE
0593BurhanDinFarghaniMarghinani.HidayaFiSharhBidaya.ShamAY0034209-ara1,0.9992,RELEASE
0593BurhanDinFarghaniMarghinani.HidayaFiSharhBidaya.Shamela0009403BK1-ara1,0.99309,RELEASE
0593BurhanDinFarghaniMarghinani.HidayaFiSharhBidaya.JK011690BK1-ara1,0.99185,RELEASE
0593BurhanDinFarghaniMarghinani.HidayaFiSharhBidaya.Shamela0000427BK1-ara1,0.97993,RELEASE
1066.json,0.88776,RAWrabicaShamAY1
0683IbnMahmudMajdDinMawsili.IkhtiyarLiTaclil.JK009404-ara1,0.88155,RELEASE
34205.json,0.87706,RAWrabicaShamAY3
0683IbnMahmudMajdDinMawsili.IkhtiyarLiTaclil.ShamAY0034205-ara1,0.87631,RELEASE
0743FakhrDinZaylaci.TabyinHaqaiq.Shamela0023023BK1-ara1,0.86033,RELEASE
0683IbnMahmudMajdDinMawsili.IkhtiyarLiTaclil.Shamela0001066-ara1,0.8505,RELEASE
0743FakhrDinZaylaci.TabyinHaqaiq.JK005200-ara1,0.84484,RELEASE
31804.json,0.83589,RAWrabicaShamAY2
34206.json,0.83528,RAWrabicaShamAY3
21496.json,0.81951,RAWrabicaShamAY2
0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,0.8173,RELEASE
32679.json,0.81713,RAWrabicaShamAY2
Shamela021744.txt,0.81325,raw_ShamelaY19
21744.json,0.81195,RAWrabicaShamAY2
9403.json,0.81075,RAWrabicaShamAY1
1078ShaykhiZadahDamadAfandi.MajmacAnhur.JK007130-ara1,0.81056,RELEASE
1078ShaykhiZadahDamadAfandi.MajmacAnhur.ShamAY0034212-ara1,0.80975,RELEASE
1078ShaykhiZadahDamadAfandi.MajmacAnhur.Shamela0021644-ara1,0.80967,RELEASE
Shamela021644.txt,0.80916,raw_ShamelaY19
Sham30K0033962,0.80916,RAWrabica020000
21644.json,0.8089,RAWrabicaShamAY2
34212.json,0.8088,RAWrabicaShamAY3
Shamela021496.txt,0.80782,raw_ShamelaY19
Shamela021596.txt,0.80433,raw_ShamelaY19
1298IbnTalibDimashqiMaydani.LubabFiSharhKitab.Shamela0021496-ara1,0.8037,RELEASE
0800IbnCaliYamaniZabidi.JawharaNayyira.JK011696-ara1,0.8027,RELEASE
0800IbnCaliYamaniZabidi.JawharaNayyira.Shamela0021596-ara1,0.80269,RELEASE
7691.json,0.8026,RAWrabicaShamAY1
21596.json,0.80244,RAWrabicaShamAY2
Sham30K0033965,0.80147,RAWrabica020000
Shamela037008.txt,0.80087,raw_ShamelaY19
0861IbnHumam.FathQadir.Shamela0021744-ara1,0.79923,RELEASE
33181.json,0.79894,RAWrabicaShamAY2
11811.json,0.7986,RAWrabicaShamAY2
1014MullaCaliQari.FathBabCinaya.ShamAY0033181-ara1,0.79839,RELEASE
381.json,0.7962,RAWrabicaShamAY1
13784.bok.json,0.79513,RAWrabicaSham19Y
