unknown,TFIDF_cosine,libVar
34338.json,0.99558,RAWrabicaShamAY3
Shamela037831.txt,0.91295,raw_ShamelaY19
1175.json,0.90765,RAWrabicaShamAY1
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.JK000829-ara1,0.90496,RELEASE
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.90479,RELEASE
Shamela021502.txt,0.90429,raw_ShamelaY19
0597IbnJawzi.SifatSafwa.ShamAY0033757-ara2,0.90415,RELEASE
0597IbnJawzi.SifatSafwa.Shamela0012031-ara1,0.904,RELEASE
0597IbnJawzi.SifatSafwa.JK000067-ara2,0.90376,RELEASE
21502.json,0.90346,RAWrabicaShamAY2
003104.automARkdown,0.90273,RAW_Masaha
Shamela098086.txt,0.90019,raw_ShamelaY19
Shamela026808.txt,0.89996,raw_ShamelaY19
26808.json,0.8983,RAWrabicaShamAY2
Shamela124910.txt,0.8982,raw_ShamelaY19
5567.json,0.89757,RAWrabicaShamAY1
17616.bok.json,0.89743,RAWrabicaSham19Y
Shamela021543.txt,0.8968,raw_ShamelaY19
32321.json,0.89627,RAWrabicaShamAY2
6848.json,0.89584,RAWrabicaShamAY1
0748Dhahabi.Kabair.Shamela0006848-ara1,0.89584,RELEASE
21543.json,0.89546,RAWrabicaShamAY2
0748Dhahabi.Kabair.JK000429-ara1,0.89514,RELEASE
Sham30K0002504,0.89456,RAWrabica005000
37299.json,0.89407,RAWrabicaShamAY3
37295.json,0.89373,RAWrabicaShamAY3
0656IbnCabdQawiMundhiri.MukhtasarSahihMuslim.Sham19Y0017616-ara1,0.89342,RELEASE
Shamela127656.txt,0.8923,raw_ShamelaY19
0656AbuCabbasAnsariQurtubi.IkhtisarSahihBukhari.Sham19Y0127656-ara1,0.89223,RELEASE
37393.json,0.89189,RAWrabicaShamAY3
Shamela023686.txt,0.89185,raw_ShamelaY19
Shamela096478.txt,0.89061,raw_ShamelaY19
12031.bok.json,0.89042,RAWrabicaSham19Y
12031.json,0.88956,RAWrabicaShamAY2
0676Nawawi.RiyadSalihin.Shia002208-ara2,0.88937,RELEASE
32542.json,0.88877,RAWrabicaShamAY2
0600CabdGhaniMuqaddasi.CumdatAhkam.Sham19Y0011194-ara1,0.8884,RELEASE
Shamela096453.txt,0.88825,raw_ShamelaY19
1364CamirIbnKHamisMaliki.GhayatMatlub.ShamIbadiyya0000459-ara1,0.88796,RELEASE
720.json,0.88619,RAWrabicaShamAY1
8197.json,0.88584,RAWrabicaShamAY1
Shamela018338.txt,0.88568,raw_ShamelaY19
003033.automARkdown,0.88383,RAW_Masaha
38863.json,0.88292,RAWrabicaShamAY3
7879.json,0.88252,RAW_ABLibrary
8528.json,0.8823,RAWrabicaShamAY1
Sham30K0008197,0.8822,RAWrabica010000
8528.bok.json,0.8822,RAWrabicaSham19Y
0597IbnJawzi.WafaBiAhwalMustafa.ShamAY0037387-ara1,0.88188,RELEASE
Shamela020638.txt,0.88073,raw_ShamelaY19
000489.automARkdown,0.88056,RAW_Masaha
Shamela122394.txt,0.88043,raw_ShamelaY19
