unknown,TFIDF_cosine,libVar
5907.json,0.99999,RAWrabicaShamAY1
0597IbnJawzi.TahqiqFiAhadithKhilaf.JK000221-ara1,0.99937,RELEASE
0597IbnJawzi.Mawducat.Shia003227Vols-ara1,0.92722,RELEASE
0597IbnJawzi.Mawducat.Shamela0000882-ara1,0.92687,RELEASE
882.json,0.92642,RAWrabicaShamAY1
8203.json,0.92404,RAWrabicaShamAY1
8203.bok.json,0.9237,RAWrabicaSham19Y
0643IbnHusaynIbnMuqirNajjar.Juz.Shamela0009398-ara1,0.92334,RELEASE
Sham30K0008203,0.92286,RAWrabica010000
0597IbnJawzi.Mawducat.ShamAY0034138-ara1,0.92143,RELEASE
34138.json,0.92119,RAWrabicaShamAY2
Shia003227Vols,0.91909,RAWrabica045000
9398.json,0.91081,RAWrabicaShamAY1
9398.bok.json,0.90939,RAWrabicaSham19Y
0597IbnJawzi.Mawducat.JK005007-ara1,0.90752,RELEASE
Sham30K0044065,0.90685,RAWrabica030000
Sham30K0033898,0.9068,RAWrabica020000
6870.json,0.89013,RAWrabicaShamAY1
6870.bok.json,0.88942,RAWrabicaSham19Y
0597IbnJawzi.DhammHawa.Shamela0006870-ara1,0.88861,RELEASE
0597IbnJawzi.DhammHawa.JK000003-ara1,0.88851,RELEASE
0807NurDinHaythami.MawaridZaman.Shamela0000901-ara1,0.88342,RELEASE
0807NurDinHaythami.MawaridZaman.JK000707-ara1,0.88339,RELEASE
901.json,0.88308,RAWrabicaShamAY1
13182.json,0.8826,RAWrabicaShamAY2
9595.bok.json,0.88115,RAWrabicaSham19Y
9595.json,0.88081,RAWrabicaShamAY1
Sham30K0038957,0.88008,RAWrabica025000
1401.json,0.88005,RAWrabicaShamAY1
1405.json,0.8792,RAWrabicaShamAY1
12749.json,0.87878,RAWrabicaShamAY2
30305.json,0.87653,RAWrabicaShamAY2
0600IbnCumarShaficiNaysaburi.ArbacunaMinMasanid.Shamela0009376-ara1,0.87637,RELEASE
13134.json,0.87622,RAWrabicaShamAY2
Shamela030305.txt,0.87602,raw_ShamelaY19
9397.json,0.87564,RAWrabicaShamAY1
Sham30K0002681,0.87504,RAWrabica005000
12748.json,0.8742,RAWrabicaShamAY2
9383.json,0.87382,RAWrabicaShamAY1
33550.json,0.8738,RAWrabicaShamAY2
Shamela026425.txt,0.87351,raw_ShamelaY19
35229.json,0.87302,RAWrabicaShamAY3
78.json,0.87279,RAWrabicaShamAY1
32959.json,0.87273,RAWrabicaShamAY2
0807NurDinHaythami.MawaridZaman.Shamela0098126-ara1,0.8726,RELEASE
13175.bok.json,0.87258,RAWrabicaSham19Y
Sham30K0033993,0.87246,RAWrabica020000
4003.bok.json,0.87239,RAWrabicaSham19Y
1198.json,0.87227,RAWrabicaShamAY1
1198.bok.json,0.87213,RAWrabicaSham19Y
Shamela098138.txt,0.87211,raw_ShamelaY19
32750.json,0.87195,RAWrabicaShamAY2
12546.json,0.87173,RAWrabicaShamAY2
4003.json,0.87171,RAWrabicaShamAY1
13175.json,0.87167,RAWrabicaShamAY2
13075.json,0.87149,RAWrabicaShamAY2
Shamela098126.txt,0.87109,raw_ShamelaY19
12546.bok.json,0.87078,RAWrabicaSham19Y
0748Dhahabi.Culuww.Shamela0006463-ara1,0.87069,RELEASE
0748Dhahabi.Culuww.JK001205-ara1,0.87048,RELEASE
8071.json,0.87022,RAWrabicaShamAY1
8210.json,0.87017,RAWrabicaShamAY1
6463.json,0.87007,RAWrabicaShamAY1
6062.json,0.86986,RAWrabicaShamAY1
0807NurDinHaythami.MawaridZaman.Shia002231Vols-ara1,0.86944,RELEASE
33959.json,0.86897,RAWrabicaShamAY2
38104.json,0.86896,RAWrabicaShamAY3
Shamela029857.txt,0.86862,raw_ShamelaY19
936.json,0.86849,RAW_ABLibrary
9376.json,0.86834,RAWrabicaShamAY1
0911Suyuti.LaaliMasnuca.JK005004-ara1,0.86824,RELEASE
0911Suyuti.LaaliMasnuca.Shamela0006062-ara1,0.86824,RELEASE
9561.json,0.86784,RAWrabicaShamAY1
0600CabdGhaniMuqaddasi.FadailShahrRamadan.Shamela0009561-ara1,0.86662,RELEASE
13115.json,0.86619,RAWrabicaShamAY2
9561.bok.json,0.86613,RAWrabicaSham19Y
1271.json,0.86593,RAWrabicaShamAY1
13039.json,0.86581,RAWrabicaShamAY2
0879IbnQutlubugha.MusnadCuqba.Shamela0030774-ara1,0.86521,RELEASE
32765.json,0.86468,RAWrabicaShamAY2
33908.json,0.86449,RAWrabicaShamAY2
13009.json,0.86371,RAWrabicaShamAY2
13115.bok.json,0.86353,RAWrabicaSham19Y
8477.json,0.86316,RAWrabicaShamAY1
38093.json,0.86278,RAWrabicaShamAY3
Shamela021485.txt,0.8624,raw_ShamelaY19
5995.json,0.86232,RAWrabicaShamAY1
1325.json,0.86223,RAWrabicaShamAY1
32800.json,0.86192,RAWrabicaShamAY2
Shamela026474.txt,0.86175,raw_ShamelaY19
Shamela030774.txt,0.86167,raw_ShamelaY19
1440.json,0.8616,RAWrabicaShamAY1
26542.json,0.8612,RAWrabicaShamAY2
38157.json,0.86109,RAWrabicaShamAY3
13152.json,0.86071,RAWrabicaShamAY2
21476.json,0.86065,RAWrabicaShamAY2
26514.json,0.86055,RAWrabicaShamAY2
002880Vols.automARkdown,0.86051,RAW_Masaha
21476.bok.json,0.86036,RAWrabicaSham19Y
13041.json,0.86008,RAWrabicaShamAY2
0774IbnKathir.JamicMasanid.Shamela0021809-ara1,0.86007,RELEASE
32784.json,0.85999,RAWrabicaShamAY2
13041.bok.json,0.8598,RAWrabicaSham19Y
Shamela021476.txt,0.8596,raw_ShamelaY19
38096.json,0.8595,RAWrabicaShamAY3
9391.json,0.85931,RAWrabicaShamAY1
34141.json,0.85929,RAWrabicaShamAY2
