unknown,TFIDF_cosine,libVar
31578.json,0.99998,RAWrabicaShamAY2
Shamela023635.txt,0.9998,raw_ShamelaY19
0606FakhrDinRazi.MafatihGhayb.Shia002579Vols-ara1,0.99891,RELEASE
0606FakhrDinRazi.MafatihGhayb.JK006478-ara1,0.99777,RELEASE
34044.json,0.9976,RAWrabicaShamAY2
0606FakhrDinRazi.MafatihGhayb.Tafsir01004-ara1,0.99668,RELEASE
002591Vols.automARkdown,0.99262,RAW_Masaha
Shia002579Vols,0.98329,RAWrabica040000
8326.json,0.85044,RAW_ABLibrary
3315.html,0.85014,RAWrabicaRafed
0606FakhrDinRazi.Mahsul.ShamAY0034194-ara1,0.84572,RELEASE
0606FakhrDinRazi.Mahsul.JK000153-ara1,0.84528,RELEASE
34194.json,0.84425,RAWrabicaShamAY3
2022.json,0.84321,RAWrabicaShamAY1
0606FakhrDinRazi.Mahsul.Shamela0002022-ara1,0.84279,RELEASE
0606FakhrDinRazi.Mahsul.Shamela0002022-ara1,0.84147,RELEASE
0606FakhrDinRazi.Mahsul.Shia002918Vols-ara1,0.84105,RELEASE
8614.json,0.8379,RAW_ABLibrary
3642.html,0.83669,RAWrabicaRafed
8573.json,0.83378,RAW_ABLibrary
8613.json,0.83264,RAW_ABLibrary
8452.json,0.8325,RAW_ABLibrary
3462.html,0.83226,RAWrabicaRafed
3641.html,0.82852,RAWrabicaRafed
0606FakhrDinRazi.MacalimUsulDin.JK001465-ara1,0.82798,RELEASE
0606FakhrDinRazi.MacalimUsulDin.Shamela0006372-ara1,0.82795,RELEASE
0606FakhrDinRazi.MacalimUsulDin.JK001465-ara1,0.82773,RELEASE
6372.json,0.82735,RAWrabicaShamAY1
6372.bok.json,0.82731,RAWrabicaSham19Y
0800IbnCadilHanbali.LubabFiCulumKitab.JK009266-ara1,0.82439,RELEASE
0800IbnCadilHanbali.LubabFiCulumKitab.JK009266-ara1,0.82421,RELEASE
9108.json,0.82096,RAWrabicaShamAY1
0800IbnCadilHanbali.LubabFiCulumKitab.Shamela0009108-ara1,0.81868,RELEASE
0756TaqiDinSubki.Fatawa.JK007121-ara1,0.81497,RELEASE
0756TaqiDinSubki.Fatawa.Shamela0011498-ara1,0.81293,RELEASE
0756TaqiDinSubki.Fatawa.Shamela0011498-ara1,0.81293,RELEASE
12003.bok.json,0.81277,RAWrabicaSham19Y
8660.json,0.81238,RAW_ABLibrary
11498.json,0.81214,RAWrabicaShamAY2
34433.json,0.81191,RAWrabicaShamAY3
0751IbnQayyimJawziyya.BadaicFawaid.Shamela0012003-ara1,0.81186,RELEASE
8657.json,0.81182,RAW_ABLibrary
0751IbnQayyimJawziyya.BadaicFawaid.ShamAY0034433-ara1,0.8118,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.JK000064-ara1,0.8117,RELEASE
34422.json,0.81141,RAWrabicaShamAY3
8402.json,0.81135,RAW_ABLibrary
0730NizamDinNaysaburi.GharaibQuran.Tafsir02022-ara1,0.81132,RELEASE
12003.json,0.81121,RAWrabicaShamAY2
2070.html,0.80875,RAWrabicaRafed
1083NasirIbrahimMuayyadi.IsbahCalaMisbah.Zaydiyya0000130-ara1,0.80814,RELEASE
0800IbnCadilHanbali.LubabFiCulumKitab.Tafsir02024-ara1,0.80801,RELEASE
Shamela022835.txt,0.80794,raw_ShamelaY19
3178.html,0.80791,RAWrabicaRafed
8668.json,0.80741,RAW_ABLibrary
8608.json,0.80718,RAW_ABLibrary
34055.json,0.80695,RAWrabicaShamAY2
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.80692,RELEASE
004743.automARkdown,0.80667,RAW_Masaha
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.80654,RELEASE
7038.json,0.80611,RAWrabicaShamAY1
3474.html,0.80591,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.80561,RELEASE
1200CabdNabiAhmadnakari.DusturCulama.Shamela0007038-ara1,0.80553,RELEASE
2679.html,0.80553,RAWrabicaRafed
0606FakhrDinRazi.AsasTaqdis.JK001259-ara1,0.80509,RELEASE
Shamela145168.txt,0.80499,raw_ShamelaY19
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.80492,RELEASE
0606FakhrDinRazi.AsasTaqdis.JK001259-ara1,0.80491,RELEASE
1200CabdNabiAhmadnakari.DusturCulama.Shamela0007038-ara1,0.80408,RELEASE
3632.html,0.80408,RAWrabicaRafed
8311.json,0.8034,RAW_ABLibrary
3616.html,0.80329,RAWrabicaRafed
38985.json,0.80301,RAWrabicaShamAY3
1200CabdNabiAhmadnakari.DusturCulama.JK009149-ara1,0.80292,RELEASE
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.80277,RELEASE
0645TilimsaniBurri.SharhMacalim.Sham19Y0145168-ara1,0.80276,RELEASE
0645TilimsaniBurri.SharhMacalim.Sham19Y0145168-ara1,0.80254,RELEASE
Shamela145410.txt,0.80243,raw_ShamelaY19
1746.html,0.80238,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.80236,RELEASE
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.80231,RELEASE
3312.html,0.80218,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.Tafsir07052-ara1,0.80216,RELEASE
Shamela037697.txt,0.80147,raw_ShamelaY19
3493.html,0.80098,RAWrabicaRafed
8647.json,0.80067,RAW_ABLibrary
0489IbnMuhammadSamcani.QawaticAdilla.JK001304-ara1,0.80065,RELEASE
0715SafiHindi.NihayatWusul.Sham19Y0016562-ara1,0.8,RELEASE
1083NasirIbrahimMuayyadi.IsbahCalaMisbah.Zaydiyya0000384-ara1,0.79996,RELEASE
16562.bok.json,0.79978,RAWrabicaSham19Y
000998Vols.automARkdown,0.7996,RAW_Masaha
3614.html,0.79954,RAWrabicaRafed
0715SafiHindi.NihayatWusul.Sham19Y0016562-ara1,0.7995,RELEASE
1083NasirIbrahimMuayyadi.IsbahCalaMisbah.Zaydiyya0000384-ara1,0.79932,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.Sham19Y0145410-ara1,0.7993,RELEASE
