unknown,TFIDF_cosine,libVar
0614IbnAhmadIbnKhumayrSabti.TanzihAnbiya.JK001264-ara1,0.99991,RELEASE
6470.json,0.99941,RAWrabicaShamAY1
1909.html,0.97075,RAWrabicaRafed
8837.json,0.86504,RAW_ABLibrary
1238.json,0.86227,RAWrabicaShamAY1
8411.json,0.86157,RAW_ABLibrary
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.86061,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.86051,RELEASE
3616.html,0.85948,RAWrabicaRafed
1406.html,0.85661,RAWrabicaRafed
3960.html,0.85597,RAWrabicaRafed
8589.json,0.85544,RAW_ABLibrary
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000975-ara1,0.85372,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.85357,RELEASE
8349.json,0.85349,RAW_ABLibrary
1746.html,0.85346,RAWrabicaRafed
33893.json,0.85294,RAWrabicaShamAY2
1480.json,0.85245,RAWrabicaShamAY1
0606FakhrDinRazi.CismatAnbiya.Shia003701-ara1,0.85243,RELEASE
Shamela038000.txt,0.85217,raw_ShamelaY19
Sham30K0002577,0.85202,RAWrabica005000
8412.json,0.85188,RAW_ABLibrary
38000.bok.json,0.85102,RAWrabicaSham19Y
11406.bok.json,0.84921,RAWrabicaSham19Y
8913.json,0.84909,RAW_ABLibrary
16235.automARkdown,0.849,RAW_Ghbook
0737IbnMuhammadIbnHajjFasi.Madkhal.JK007084-ara1,0.84877,RELEASE
3902.html,0.84869,RAWrabicaRafed
36083.json,0.84865,RAWrabicaShamAY3
0737IbnMuhammadIbnHajjFasi.Madkhal.ShamAY0034247-ara1,0.8486,RELEASE
3192.html,0.84854,RAWrabicaRafed
Shamela023631.txt,0.84851,raw_ShamelaY19
0737IbnMuhammadIbnHajjFasi.Madkhal.Shamela0011406-ara1,0.84851,RELEASE
3897.html,0.8482,RAWrabicaRafed
1357.html,0.84808,RAWrabicaRafed
8327.json,0.84808,RAW_ABLibrary
34247.json,0.84802,RAWrabicaShamAY3
11406.json,0.84796,RAWrabicaShamAY2
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.84782,RELEASE
3028.html,0.84755,RAWrabicaRafed
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.8475,RELEASE
1083NasirIbrahimMuayyadi.IsbahCalaMisbah.Zaydiyya0000384-ara1,0.84674,RELEASE
591.json,0.84656,RAWrabicaShamAY1
8613.json,0.84624,RAWrabicaShamAY1
8529.json,0.84613,RAW_ABLibrary
993.json,0.84594,RAW_ABLibrary
23631.json,0.84383,RAWrabicaShamAY2
Shamela036571.txt,0.84358,raw_ShamelaY19
3574.html,0.84355,RAWrabicaRafed
3191.html,0.84355,RAWrabicaRafed
1444.html,0.84349,RAWrabicaRafed
8789.json,0.84333,RAW_ABLibrary
3190.html,0.84323,RAWrabicaRafed
1987.html,0.84304,RAWrabicaRafed
3420.html,0.84239,RAWrabicaRafed
1228IbnSulaymanHalabiRihawi.NukhbatLaali.Shia004047-ara1,0.84196,RELEASE
3178.html,0.8419,RAWrabicaRafed
3493.html,0.84162,RAWrabicaRafed
913.json,0.84148,RAWrabicaShamAY1
7370.json,0.84116,RAWrabicaShamAY1
000016Vols.automARkdown,0.841,RAW_Masaha
3221.html,0.84084,RAWrabicaRafed
0656IbnAbiHadid.SharhNahjBalagha.JK009359-ara1,0.84028,RELEASE
8597.json,0.83996,RAW_ABLibrary
3914.html,0.83981,RAWrabicaRafed
8389.json,0.83979,RAW_ABLibrary
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.8396,RELEASE
1091MuhammadMuhsinFaydKashani.TafsirSafi.Shia002382Vols-ara1,0.83936,RELEASE
1447.html,0.83893,RAWrabicaRafed
003244.automARkdown,0.83889,RAW_Masaha
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010777-ara1,0.8387,RELEASE
1553.html,0.83868,RAWrabicaRafed
Shamela020643.txt,0.83855,raw_ShamelaY19
Shamela022842.txt,0.83849,raw_ShamelaY19
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.83845,RELEASE
1029QasimIbnMuhammadImam.Tahdhir.Zaydiyya0000330-ara1,0.8384,RELEASE
3798.html,0.83832,RAWrabicaRafed
1657.json,0.83826,RAWrabicaShamAY1
67.html,0.83815,RAWrabicaRafed
3496.html,0.83812,RAWrabicaRafed
000346.automARkdown,0.83807,RAW_Masaha
22842.bok.json,0.8379,RAWrabicaSham19Y
1244IbnHamadAlMucammar.MinhatQaribMujib.Shamela0010895-ara1,0.83779,RELEASE
9690.json,0.83771,RAWrabicaShamAY1
23579.json,0.8376,RAWrabicaShamAY2
0656IbnAbiHadid.SharhNahjBalagha.Shia002185Vols-ara1,0.83753,RELEASE
Shamela031076.txt,0.83743,raw_ShamelaY19
3713.html,0.83738,RAWrabicaRafed
473.json,0.83737,RAWrabicaShamAY1
3512.html,0.83728,RAWrabicaRafed
1029QasimIbnMuhammadImam.JawabMukhtar.Zaydiyya0000331-ara1,0.83723,RELEASE
1332IbnMuhammadJamalDinQasimi.MawcizatMuminin.Shamela0022842-ara1,0.83722,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.837,RELEASE
10895.json,0.83692,RAWrabicaShamAY2
8911.json,0.83675,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.MawcizatMuminin.JK001197-ara1,0.83674,RELEASE
Shamela022712.txt,0.83667,raw_ShamelaY19
0800IbnAbiHasanDaylami.AclamDin.Shia004021-ara1,0.83665,RELEASE
22842.json,0.83663,RAWrabicaShamAY2
Shamela023579.txt,0.83655,raw_ShamelaY19
0652IbnTalhaKamalDinNasibi.MatalibSaul.Shia003702-ara1,0.83648,RELEASE
0656IbnAbiHadid.SharhNahjBalagha.Zaydiyya0000145-ara1,0.83641,RELEASE
1029QasimIbnMuhammadImam.Majmuc.Zaydiyya0000079-ara1,0.83626,RELEASE
1102NurDinYusi.MuhadaratFiLugha.Shamela0000473-ara1,0.83622,RELEASE
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.83611,RELEASE
3437.html,0.83605,RAWrabicaRafed
Shamela022835.txt,0.83594,raw_ShamelaY19
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.JK000146-ara1,0.83592,RELEASE
8454.json,0.83577,RAW_ABLibrary
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.83575,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shia004503-ara1,0.83564,RELEASE
1083NasirIbrahimMuayyadi.IsbahCalaMisbah.Zaydiyya0000130-ara1,0.83553,RELEASE
1412SayyidTabatabai.TafsirMizan.Tafsir04056-ara1,0.83548,RELEASE
000474.automARkdown,0.83547,RAW_Masaha
3928.html,0.83537,RAWrabicaRafed
3448.html,0.83531,RAWrabicaRafed
0608IbnCutyaQudaciTurtushi.TahrirMaqal.Shamela0022712-ara1,0.83503,RELEASE
3220.html,0.83497,RAWrabicaRafed
0656IbnAbiHadid.SharhNahjBalagha.ShamAY0033785-ara1,0.83493,RELEASE
3700.html,0.83489,RAWrabicaRafed
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010549-ara1,0.83463,RELEASE
1019NurAllahTustari.SawarimMuhraqa.Shia001404-ara1,0.83459,RELEASE
000603.automARkdown,0.83456,RAW_Masaha
10432.json,0.83451,RAWrabicaShamAY1
8681.json,0.83431,RAW_ABLibrary
1793.html,0.83427,RAWrabicaRafed
8836.json,0.83412,RAW_ABLibrary
000051Vols.automARkdown,0.83397,RAW_Masaha
0728IbnTaymiyya.JamicMasail.Sham19Y0018124-ara1,0.83359,RELEASE
1440.html,0.83335,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.83335,RELEASE
0751IbnQayyimJawziyya.IghathatLahfan.Shamela0011688-ara1,0.83333,RELEASE
Shamela146418.txt,0.83327,raw_ShamelaY19
0728IbnTaymiyya.JamicMasail.Sham19Y0017835-ara1,0.83324,RELEASE
Shamela133367.txt,0.83322,raw_ShamelaY19
3218.html,0.83321,RAWrabicaRafed
3931.html,0.8332,RAWrabicaRafed
001662.automARkdown,0.83314,RAW_Masaha
8851.json,0.8331,RAW_ABLibrary
7433.json,0.83304,RAW_ABLibrary
11688.json,0.83296,RAWrabicaShamAY2
8514.json,0.83293,RAW_ABLibrary
34363.json,0.8329,RAWrabicaShamAY3
1435.html,0.8329,RAWrabicaRafed
1431MuhammadSayyidTantawi.TafsirWasit.Tafsir07057-ara1,0.83283,RELEASE
0733IbnJamacaBadrDinHamawi.IdahDalil.Shamela0006547-ara1,0.8327,RELEASE
34950.json,0.83269,RAWrabicaShamAY3
3200.html,0.83268,RAWrabicaRafed
1451.html,0.83263,RAWrabicaRafed
1641.json,0.83251,RAWrabicaShamAY1
6558.json,0.83238,RAWrabicaShamAY1
1412SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1,0.83236,RELEASE
470.json,0.83231,RAWrabicaShamAY1
1127IsmacilHaqqiBurusawi.RuhBayan.Tafsir03036-ara1,0.83225,RELEASE
1412SayyidTabatabai.TafsirMizan.Zaydiyya0000282-ara1,0.83221,RELEASE
002859.automARkdown,0.83218,RAW_Masaha
1340CaliBahrani.ManarHuda.Shia004525-ara1,0.83204,RELEASE
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.83202,RELEASE
6547.json,0.83201,RAWrabicaShamAY1
8352.json,0.83201,RAWrabicaShamAY1
001917.automARkdown,0.83191,RAW_Masaha
35366.json,0.83186,RAWrabicaShamAY3
5299.automARkdown,0.83185,RAW_Ghbook
Shamela021688.txt,0.83176,raw_ShamelaY19
Sham30K0038973,0.83171,RAWrabica025000
1104IbnHasanHurrCamili.Ithnacashariyya.Shia004028-ara1,0.83147,RELEASE
1449.html,0.83139,RAWrabicaRafed
8392.json,0.83137,RAW_ABLibrary
Shia002905Vols,0.83135,RAWrabica045000
32444.json,0.83134,RAWrabicaShamAY2
2679.html,0.83127,RAWrabicaRafed
9065.json,0.83127,RAWrabicaShamAY1
3676.html,0.83121,RAWrabicaRafed
12304.json,0.83115,RAWrabicaShamAY2
3896.html,0.83113,RAWrabicaRafed
Shamela098087.txt,0.83098,raw_ShamelaY19
1354RashidRida.Manar.Tafsir02103-ara1,0.83096,RELEASE
1342MahmudShukriAlusi.MukhtasarTuhfaIthnaCashariyya.Shamela0036091-ara1,0.83091,RELEASE
1202.json,0.83085,RAWrabicaShamAY1
8513.json,0.8308,RAW_ABLibrary
1022.html,0.83063,RAWrabicaRafed
1568.html,0.8306,RAWrabicaRafed
8391.json,0.83057,RAW_ABLibrary
0956IbnMuhammadHalabiHanafi.NicmatDharica.JK001017-ara1,0.83045,RELEASE
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.83037,RELEASE
0956IbnMuhammadHalabiHanafi.NicmatDharica.Shamela0006558-ara1,0.83037,RELEASE
1446.html,0.83033,RAWrabicaRafed
0727MuzhiriZaydani.Mafatih.Sham19Y0016976-ara1,0.83033,RELEASE
1299MuhammadCulayshMaliki.FathCali.Shamela0021688-ara1,0.83029,RELEASE
3907.html,0.83028,RAWrabicaRafed
0689AhmadIbnCabdRahmanIbnQudama.MukhtasarMinhajQasidin.Shamela0098087-ara1,0.83026,RELEASE
63.html,0.83017,RAWrabicaRafed
31600.json,0.83009,RAWrabicaShamAY2
862.html,0.83004,RAWrabicaRafed
Shamela023599.txt,0.83003,raw_ShamelaY19
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.83,RELEASE
1434.html,0.82997,RAWrabicaRafed
3959.html,0.82996,RAWrabicaRafed
37747.json,0.82989,RAWrabicaShamAY3
Shamela036091.txt,0.82978,raw_ShamelaY19
1376MuhammadHajwiThacalibi.FikrSami.Shamela0010013-ara1,0.82977,RELEASE
3197.html,0.82972,RAWrabicaRafed
37973.json,0.82956,RAWrabicaShamAY3
8823.json,0.82953,RAW_ABLibrary
001755.automARkdown,0.8294,RAW_Masaha
21688.json,0.82938,RAWrabicaShamAY2
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0008352-ara1,0.82936,RELEASE
Shamela023590.txt,0.82931,raw_ShamelaY19
0728IbnTaymiyya.JamicMasail.Sham19Y0013652-ara1,0.8293,RELEASE
Sham30K0008352,0.82924,RAWrabica010000
Shamela122257.txt,0.82924,raw_ShamelaY19
34055.json,0.82919,RAWrabicaShamAY2
0728IbnTaymiyya.JamicMasail.Sham19Y0016953-ara1,0.82915,RELEASE
35204.json,0.8291,RAWrabicaShamAY3
7773.json,0.82909,RAW_ABLibrary
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.82906,RELEASE
0726CallamaHilli.NahjHaqq.Shia004020-ara1,0.82902,RELEASE
22835.json,0.82897,RAWrabicaShamAY2
110.html,0.82894,RAWrabicaRafed
3908.html,0.82859,RAWrabicaRafed
3537.html,0.82844,RAWrabicaRafed
1433.html,0.82832,RAWrabicaRafed
0743SharafDinTibi.SharhMishkat.Sham19Y0122257-ara1,0.82817,RELEASE
12378.automARkdown,0.82815,RAW_Ghbook
Shamela096616.txt,0.82808,raw_ShamelaY19
1436.html,0.828,RAWrabicaRafed
0836FaqihYusuf.ThamaratYanica.Zaydiyya0000274-ara1,0.828,RELEASE
2653.html,0.82795,RAWrabicaRafed
1127IsmacilHaqqiBurusawi.RuhBayan.Shamela0023612-ara1,0.82791,RELEASE
000147.automARkdown,0.82789,RAW_Masaha
15643.automARkdown,0.82787,RAW_Ghbook
0728IbnTaymiyya.JamicMasail.Shamela0022797-ara1,0.82772,RELEASE
23612.bok.json,0.82771,RAWrabicaSham19Y
1581.html,0.82765,RAWrabicaRafed
35699.json,0.82747,RAWrabicaShamAY3
Shamela023582.txt,0.82746,raw_ShamelaY19
3189.html,0.82737,RAWrabicaRafed
10541.json,0.82721,RAWrabicaShamAY1
3179.html,0.82712,RAWrabicaRafed
23590.bok.json,0.8271,RAWrabicaSham19Y
001263.automARkdown,0.82708,RAW_Masaha
Shamela021735.txt,0.82705,raw_ShamelaY19
1660.html,0.82703,RAWrabicaRafed
Shamela036111.txt,0.82698,raw_ShamelaY19
1090KhamisShiqsi.MinhajTalibin.ShamIbadiyya0000185-ara1,0.82687,RELEASE
6376.json,0.82684,RAWrabicaShamAY1
31697.json,0.82665,RAWrabicaShamAY2
1125IbnGhanimAzhariNafrawi.FawakihDawani.JK000238-ara1,0.82658,RELEASE
23612.json,0.82646,RAWrabicaShamAY2
0728IbnTaymiyya.JamicMasail.Sham19Y0018128-ara1,0.82646,RELEASE
001859Vols.automARkdown,0.82642,RAW_Masaha
Shamela021720.txt,0.82639,raw_ShamelaY19
685.html,0.82636,RAWrabicaRafed
1394.html,0.82636,RAWrabicaRafed
1437.html,0.82635,RAWrabicaRafed
35719.json,0.8262,RAWrabicaShamAY3
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.82616,RELEASE
23590.json,0.82615,RAWrabicaShamAY2
0790IbnMusaGharnatiShatibi.Ictisam.JK000967-ara1,0.82609,RELEASE
Shamela023612.txt,0.82608,raw_ShamelaY19
11730.bok.json,0.82602,RAWrabicaSham19Y
1448.html,0.82598,RAWrabicaRafed
0896AbuHamidMaqdisi.BadhlNasaih.Sham19Y0036111-ara1,0.82588,RELEASE
Shamela037458.txt,0.82575,raw_ShamelaY19
441.json,0.82574,RAWrabicaShamAY1
1922.json,0.82574,RAWrabicaShamAY1
2961.html,0.82562,RAWrabicaRafed
3970.html,0.82561,RAWrabicaRafed
12034.bok.json,0.82561,RAWrabicaSham19Y
33785.json,0.82537,RAWrabicaShamAY2
1439.html,0.82534,RAWrabicaRafed
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.82532,RELEASE
335.html,0.82523,RAWrabicaRafed
32089.json,0.82522,RAWrabicaShamAY2
1803.html,0.82517,RAWrabicaRafed
7691.json,0.82511,RAW_ABLibrary
3538.html,0.82511,RAWrabicaRafed
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Tafsir01005-ara1,0.825,RELEASE
11730.json,0.82496,RAWrabicaShamAY2
2035.json,0.82488,RAWrabicaShamAY1
Shamela023595.txt,0.82487,raw_ShamelaY19
3615.html,0.82486,RAWrabicaRafed
32011.json,0.82468,RAWrabicaShamAY2
35976.json,0.82467,RAWrabicaShamAY3
15623.automARkdown,0.82466,RAW_Ghbook
3485.html,0.82456,RAWrabicaRafed
12034.json,0.82453,RAWrabicaShamAY2
0728IbnTaymiyya.TalkhisIstighatha.ShamAY0034402-ara1,0.82453,RELEASE
0728IbnTaymiyya.TalkhisIstighatha.ShamAY0034352-ara1,0.8245,RELEASE
23595.json,0.82449,RAWrabicaShamAY2
660.json,0.82446,RAWrabicaShamAY1
34352.json,0.82445,RAWrabicaShamAY3
55.json,0.82434,RAWrabicaShamAY1
0751IbnQayyimJawziyya.IghathatLahfan.ShamAY0034412-ara1,0.82433,RELEASE
0974IbnHajarHaytami.FatawaHadithiyya.Shamela0001922-ara1,0.82432,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.Shamela0011730-ara1,0.82431,RELEASE
1302.html,0.82417,RAWrabicaRafed
Shia002514Vols,0.82416,RAWrabica040000
0728IbnTaymiyya.RafcMalam.ShamAY0034383-ara1,0.82414,RELEASE
34182.json,0.82412,RAWrabicaShamAY2
1307Qannawji.FathBayan.Shamela0037458-ara1,0.82412,RELEASE
3146.html,0.8241,RAWrabicaRafed
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000146-ara1,0.82399,RELEASE
21720.bok.json,0.82398,RAWrabicaSham19Y
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.82389,RELEASE
34412.json,0.82387,RAWrabicaShamAY3
34371.json,0.82379,RAWrabicaShamAY3
2710.automARkdown,0.82366,RAW_Ghbook
Sham30K0033813,0.8236,RAWrabica020000
002351.automARkdown,0.82336,RAW_Masaha
8910.json,0.82297,RAW_ABLibrary
7914.automARkdown,0.82288,RAW_Ghbook
0825IbnNurDin.TaysirBayan.Sham19Y0014827-ara1,0.82282,RELEASE
1755.html,0.82281,RAWrabicaRafed
1664.html,0.82272,RAWrabicaRafed
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,0.82272,RELEASE
8590.json,0.82268,RAW_ABLibrary
8686.json,0.82264,RAW_ABLibrary
