unknown,TFIDF_cosine,libVar
6986.json,0.99997,RAWrabicaShamAY1
0616MuhibbDinCukbari.Lubab.JK001423-ara1,0.99995,RELEASE
16350.automARkdown,0.94112,RAW_Ghbook
2815.html,0.9367,RAWrabicaRafed
0616MuhibbDinCukbari.TibyanFiIcrabQuran.Sham19Y0013786-ara1,0.89468,RELEASE
31791.json,0.89261,RAWrabicaShamAY2
2629.html,0.85039,RAWrabicaRafed
7003.json,0.84392,RAWrabicaShamAY1
38977.json,0.8347,RAWrabicaShamAY3
38958.json,0.8347,RAWrabicaShamAY3
34671.json,0.83012,RAWrabicaShamAY3
613.json,0.82896,RAWrabicaShamAY1
16344.automARkdown,0.82475,RAW_Ghbook
Sham30K0034066,0.8196,RAWrabica020000
2782.html,0.81809,RAWrabicaRafed
34700.json,0.81673,RAWrabicaShamAY3
1913.html,0.81341,RAWrabicaRafed
0751IbnQayyimJawziyya.BadaicFawaid.ShamAY0034433-ara1,0.81041,RELEASE
7502.json,0.8093,RAWrabicaShamAY1
0751IbnQayyimJawziyya.BadaicFawaid.JK000064-ara1,0.80917,RELEASE
12003.bok.json,0.80895,RAWrabicaSham19Y
0751IbnQayyimJawziyya.BadaicFawaid.Shamela0012003-ara1,0.80891,RELEASE
34433.json,0.80771,RAWrabicaShamAY3
34422.json,0.80712,RAWrabicaShamAY3
32582.json,0.80684,RAWrabicaShamAY2
1878.html,0.80676,RAWrabicaRafed
2006.html,0.80653,RAWrabicaRafed
12003.json,0.80627,RAWrabicaShamAY2
003068Vols.automARkdown,0.80509,RAW_Masaha
1842.html,0.80469,RAWrabicaRafed
16339.automARkdown,0.80308,RAW_Ghbook
16307.automARkdown,0.80287,RAW_Ghbook
7362.bok.json,0.79894,RAWrabicaSham19Y
0686IbnNazim.SharhAlfiyya.Sham19Y0018115-ara1,0.79891,RELEASE
7362.json,0.79883,RAWrabicaShamAY1
18115.bok.json,0.7985,RAWrabicaSham19Y
1844.html,0.7985,RAWrabicaRafed
0761JamalDinIbnHisham.SharhQatrNada.JK000007-ara1,0.79616,RELEASE
32585.json,0.79612,RAWrabicaShamAY2
16322.automARkdown,0.79611,RAW_Ghbook
32697.json,0.79602,RAWrabicaShamAY2
6970.json,0.79573,RAWrabicaShamAY1
38988.json,0.7952,RAWrabicaShamAY3
6972.json,0.79486,RAWrabicaShamAY1
0761JamalDinIbnHisham.SharhQatrNada.Shamela0006970-ara1,0.79477,RELEASE
1976.html,0.79442,RAWrabicaRafed
0761JamalDinIbnHisham.MughniLabib.Shamela0006972-ara1,0.79402,RELEASE
0761JamalDinIbnHisham.MughniLabib.JK001131-ara1,0.79401,RELEASE
