unknown,TFIDF_cosine,libVar
0620IbnQudamaMaqdisi.Mughni.JK000154-ara1,0.99825,RELEASE
34266.json,0.99809,RAWrabicaShamAY3
0620IbnQudamaMaqdisi.Mughni.ShamAY0034266-ara1,0.99744,RELEASE
8463.json,0.99491,RAWrabicaShamAY1
0620IbnQudamaMaqdisi.Mughni.Shamela0008463-ara1,0.99483,RELEASE
Sham30K0008463,0.99423,RAWrabica010000
Shamela0008463,0.97746,RAWrabica035000
0682CabdRahmanIbnQudama.SharhKabir.Shia001010Vols-ara1,0.94136,RELEASE
0682CabdRahmanIbnQudama.SharhKabir.JK011153-ara1,0.94014,RELEASE
1153.json,0.93965,RAWrabicaShamAY1
0682CabdRahmanIbnQudama.SharhKabir.Shamela0001153-ara1,0.93858,RELEASE
Shamela019188.txt,0.93536,raw_ShamelaY19
0682CabdRahmanIbnQudama.SharhKabir.ShamAY0001153-ara1,0.93481,RELEASE
0682CabdRahmanIbnQudama.SharhKabir.Sham19Y0019188-ara1,0.93474,RELEASE
0728IbnTaymiyya.SharhCumdatFiqh.Sham19Y0014500-ara1,0.90111,RELEASE
0728IbnTaymiyya.SharhCumdatFiqh.Shamela0010810-ara1,0.90103,RELEASE
0728IbnTaymiyya.SharhCumdatFiqh.JK000386-ara1,0.90054,RELEASE
32293.json,0.89929,RAWrabicaShamAY2
0620IbnQudamaMaqdisi.KafiFiFiqh.JK000254-ara1,0.87374,RELEASE
0620IbnQudamaMaqdisi.KafiFiFiqh.ShamAY0034259-ara1,0.87248,RELEASE
Shamela021731.txt,0.87213,raw_ShamelaY19
0620IbnQudamaMaqdisi.KafiFiFiqh.Shamela0021731-ara1,0.87153,RELEASE
34259.json,0.87143,RAWrabicaShamAY3
21731.json,0.86981,RAWrabicaShamAY2
32355.json,0.86508,RAWrabicaShamAY2
1014MullaCaliQari.FathBabCinaya.ShamAY0033181-ara1,0.85686,RELEASE
33181.json,0.85555,RAWrabicaShamAY2
Shamela021744.txt,0.8555,raw_ShamelaY19
21744.json,0.85462,RAWrabicaShamAY2
6157.json,0.84623,RAWrabicaShamAY1
0884AbuIshaqIbnMuflih.MubdicFiSharhMuqnic.Shamela0021619BK2-ara1,0.84337,RELEASE
0861IbnHumam.SharhFathQadir.JK000299-ara1,0.84327,RELEASE
Sham30K0033997,0.84285,RAWrabica020000
0861IbnHumam.FathQadir.Shamela0021744-ara1,0.84193,RELEASE
0772ShamsDinHanbaliZarqashi.SharhCalaMukhtasarKhiraqi.Shamela0021743-ara1,0.84171,RELEASE
Shamela021619.txt,0.84168,raw_ShamelaY19
34265.json,0.8416,RAWrabicaShamAY3
576.json,0.84143,RAWrabicaShamAY1
Shamela021743.txt,0.84053,raw_ShamelaY19
Shamela036194.txt,0.8405,raw_ShamelaY19
21743.json,0.84018,RAWrabicaShamAY2
21619.json,0.84016,RAWrabicaShamAY2
0743FakhrDinZaylaci.TabyinHaqaiq.JK005200-ara1,0.83975,RELEASE
0808MuhammadDamiri.NajmWahhaj.Sham19Y0013783-ara1,0.8397,RELEASE
32345.json,0.83957,RAWrabicaShamAY2
0884AbuIshaqIbnMuflih.MubdicFiSharhMuqnic.JK000787BK2-ara1,0.83889,RELEASE
