unknown,TFIDF_cosine,libVar
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.JK000149-ara1,0.99981,RELEASE
34186.json,0.99977,RAWrabicaShamAY2
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.Shamela0010801-ara1,0.99727,RELEASE
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.Shia002924Vols-ara1,0.99578,RELEASE
10801.bok.json,0.98943,RAWrabicaSham19Y
10801.json,0.98936,RAWrabicaShamAY2
Shia002924Vols,0.95395,RAWrabica045000
004768Vols.automARkdown,0.88723,RAW_Masaha
8315.json,0.87534,RAW_ABLibrary
0756TaqiDinSubki.Ibhaj.JK000180-ara1,0.86867,RELEASE
0756TaqiDinSubki.Ibhaj.Shamela0011727-ara1,0.86843,RELEASE
18274.bok.json,0.86582,RAWrabicaSham19Y
3377.html,0.86569,RAWrabicaRafed
0874IbnImamKamiliyya.TaysirWusul.Sham19Y0018274-ara1,0.86514,RELEASE
38984.json,0.86512,RAWrabicaShamAY3
11727.json,0.86321,RAWrabicaShamAY2
0715SafiHindi.NihayatWusul.Sham19Y0016562-ara1,0.86321,RELEASE
16562.bok.json,0.86289,RAWrabicaSham19Y
004331.automARkdown,0.86221,RAW_Masaha
2022.json,0.86191,RAWrabicaShamAY1
003767.automARkdown,0.86164,RAW_Masaha
5459.json,0.86156,RAWrabicaShamAY1
34180.json,0.8613,RAWrabicaShamAY2
32587.json,0.8612,RAWrabicaShamAY2
0606FakhrDinRazi.Mahsul.Shamela0002022-ara1,0.861,RELEASE
0606FakhrDinRazi.Mahsul.Shia002918Vols-ara1,0.86087,RELEASE
004330.automARkdown,0.86061,RAW_Masaha
1250Shawkani.IrshadFuhul.JK000152-ara1,0.85948,RELEASE
1250Shawkani.IrshadFuhul.Shamela0011437-ara1,0.85924,RELEASE
1250Shawkani.IrshadFuhul.ShamAY0034184-ara1,0.85893,RELEASE
Shamela145168.txt,0.85885,raw_ShamelaY19
34184.json,0.85884,RAWrabicaShamAY2
0645TilimsaniBurri.SharhMacalim.Sham19Y0145168-ara1,0.85767,RELEASE
1250Shawkani.DarariMudia.Zaydiyya0000266-ara1,0.85754,RELEASE
0606FakhrDinRazi.Mahsul.ShamAY0034194-ara1,0.85683,RELEASE
34196.json,0.85683,RAWrabicaShamAY3
8522.json,0.85669,RAW_ABLibrary
0790IbnMusaGharnatiShatibi.Muwafaqat.JK000279-ara1,0.85651,RELEASE
0606FakhrDinRazi.Mahsul.JK000153-ara1,0.85625,RELEASE
0790IbnMusaGharnatiShatibi.Muwafaqat.ShamAY0034196-ara1,0.85621,RELEASE
Shamela021813.txt,0.85597,raw_ShamelaY19
3474.html,0.85529,RAWrabicaRafed
34194.json,0.85524,RAWrabicaShamAY3
0684ShihabDinQarafi.SharhTanqih.Shamela0021813-ara1,0.85508,RELEASE
1011IbnShahidThani.MacalimDin.Shia002755-ara1,0.85484,RELEASE
31974.json,0.8543,RAWrabicaShamAY2
2679.html,0.85419,RAWrabicaRafed
0684ShihabDinQarafi.NafaisUsul.Sham19Y0014280-ara1,0.85383,RELEASE
8458.json,0.85323,RAW_ABLibrary
21813.json,0.85278,RAWrabicaShamAY2
Shamela122142.txt,0.85252,raw_ShamelaY19
3481.html,0.8518,RAWrabicaRafed
002643Vols.automARkdown,0.85104,RAW_Masaha
003137Vols.automARkdown,0.851,RAW_Masaha
0794BadrDinZarkashi.TashnifMasamic.Sham19Y0122142-ara1,0.85085,RELEASE
31691.json,0.84996,RAWrabicaShamAY2
3660.html,0.84955,RAWrabicaRafed
0972IbnAhmadIbnNajjarHanbali.SharhKawkabMunir.JK009286-ara1,0.84769,RELEASE
