unknown,TFIDF_cosine,libVar
32545.json,0.99962,RAWrabicaShamAY2
3562.html,0.79611,RAWrabicaRafed
0449AbuCalaMacarri.RisalatMalaika.Sham19Y0018276-ara1,0.78525,RELEASE
38986.json,0.7818,RAWrabicaShamAY3
0337IbnIshaqZajjaji.IshtiqaqAsmaAllah.Sham19Y0014275-ara1,0.77702,RELEASE
14275.bok.json,0.77644,RAWrabicaSham19Y
31971.json,0.7723,RAWrabicaShamAY2
0625IbnCabdHaqqYafurani.Iqtidab.Sham19Y0016494-ara1,0.77194,RELEASE
0392IbnJinniMawsili.Munsif.Shamela0010545-ara1,0.77129,RELEASE
0625IbnCabdHaqqYafurani.Iqtidab.Sham19Y0016494-ara1,0.7708,RELEASE
32513.json,0.7674,RAWrabicaShamAY2
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0.76727,RELEASE
0510CawtabiSuhari.Ibana.Sham19Y0017879-ara1,0.76601,RELEASE
0392IbnJinniMawsili.MuhtasabFiTabyin.Shamela0008660-ara1,0.76225,RELEASE
32581.json,0.76116,RAWrabicaShamAY2
10545.json,0.76081,RAWrabicaShamAY1
0711IbnManzurIfriqi.LisanCarab.Shamela0001687-ara1,0.75947,RELEASE
0711IbnManzurIfriqi.LisanCarab.Shia003936Vols-ara1,0.75931,RELEASE
32670.json,0.75924,RAWrabicaShamAY2
0711IbnManzurIfriqi.LisanCarab.Shamela0001687-ara1,0.75854,RELEASE
0711IbnManzurIfriqi.LisanCarab.ShamAY0034695-ara1,0.75845,RELEASE
0540AbuMansurJawaliqi.SharhAdabKatib.JK010646-ara1,0.75799,RELEASE
1687.bok.json,0.75784,RAWrabicaSham19Y
12817.json,0.75742,RAWrabicaShamAY2
1687.json,0.75601,RAWrabicaShamAY1
1587.json,0.75552,RAWrabicaShamAY1
1854.html,0.75469,RAWrabicaRafed
1069ShihabDinKhafaji.SharhDurratGhawwas.Sham19Y0029600-ara1,0.7541,RELEASE
1069ShihabDinKhafaji.SharhDurratGhawwas.Sham19Y0029600-ara1,0.75351,RELEASE
3564.html,0.75206,RAWrabicaRafed
1093CabdQadirBaghdadi.KhizanatAdab.ShamAY0033782-ara1,0.75091,RELEASE
34695.json,0.75029,RAWrabicaShamAY3
Shamela029600.txt,0.74964,raw_ShamelaY19
1093CabdQadirBaghdadi.KhizanatAdab.Shamela0012732-ara1,0.74937,RELEASE
1093CabdQadirBaghdadi.KhizanatAdab.JK007143-ara1,0.74933,RELEASE
1093CabdQadirBaghdadi.KhizanatAdab.Shia004649Vols-ara1,0.74927,RELEASE
1093CabdQadirBaghdadi.KhizanatAdab.Shia004649Vols-ara1,0.74926,RELEASE
7322.automARkdown,0.749,RAW_Ghbook
38970.json,0.74871,RAWrabicaShamAY3
0600IbnCabdAllahQaysi.IdahShawahid.Shamela0009250-ara1,0.74642,RELEASE
0600IbnCabdAllahQaysi.IdahShawahid.Shamela0009250-ara1,0.74526,RELEASE
0392IbnJinniMawsili.SirrSinacatIcrab.Shamela0012017-ara1,0.74472,RELEASE
33782.json,0.74434,RAWrabicaShamAY2
12732.json,0.74407,RAWrabicaShamAY2
9250.json,0.74351,RAWrabicaShamAY1
8660.bok.json,0.74306,RAWrabicaSham19Y
2883.html,0.74276,RAWrabicaRafed
002554Vols.automARkdown,0.74266,RAW_Masaha
8660.json,0.74236,RAWrabicaShamAY1
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Tafsir01005-ara1,0.74235,RELEASE
2069.html,0.74224,RAWrabicaRafed
0643IbnYacish.SharhMufassal.Sham19Y0013301-ara1,0.74222,RELEASE
003068Vols.automARkdown,0.74209,RAW_Masaha
0643IbnYacish.SharhMufassal.Sham19Y0013301-ara1,0.7415,RELEASE
000150Vols.automARkdown,0.74148,RAW_Masaha
003682Vols.automARkdown,0.74137,RAW_Masaha
0338AbuJacfarNahhas.CumdatKuttab.Shamela0026803-ara1,0.74119,RELEASE
1849.html,0.73936,RAWrabicaRafed
0377IbnAhmadFarisi.MasailHalabiyyat.Sham19Y0018265-ara1,0.73802,RELEASE
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.7379,RELEASE
Shamela026803.txt,0.73752,raw_ShamelaY19
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.73705,RELEASE
34702.json,0.73691,RAWrabicaShamAY3
0421IbnMuhammadMarzuqi.AmaliMarzuqi.Shamela0000722-ara1,0.73679,RELEASE
0516IbnCaliHariri.DurratGhawwas.JK001016-ara1,0.73674,RELEASE
Shia003936Vols,0.73674,RAWrabica045000
0377IbnAhmadFarisi.HujjaLiQurraSabca.Shamela0035101-ara1,0.73671,RELEASE
0911Suyuti.SharhSunanNasai.Shia001837Vols-ara1,0.73659,RELEASE
26803.json,0.73649,RAWrabicaShamAY2
003703Vols.automARkdown,0.73637,RAW_Masaha
6920.json,0.73637,RAWrabicaShamAY1
0276IbnQutaybaDinawari.AdabKatib.Shamela0026349-ara1,0.73616,RELEASE
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.73612,RELEASE
0330IbnCuzayrSijistani.Ishtiqaq.ShamAY0036737-ara1,0.73601,RELEASE
360.json,0.736,RAWrabicaShamAY1
0722.bok.json,0.73583,RAWrabicaSham19Y
