unknown,TFIDF_cosine,libVar
30003.json,0.99664,RAWrabicaShamAY2
Shamela030003.txt,0.99382,raw_ShamelaY19
0680IbnSabuni.AhadithMuntaqatArbacun.ShamAY0032746-ara1,0.91414,RELEASE
32746.json,0.91398,RAWrabicaShamAY2
0680IbnSabuni.AhadithMuntaqatArbacun.ShamAY0032746-ara1,0.9137,RELEASE
0854IbnDiyaMakki.Juz.Shamela0030306-ara1,0.9133,RELEASE
0854IbnDiyaMakki.Juz.Shamela0030306-ara1,0.91208,RELEASE
Shamela030306.txt,0.90714,raw_ShamelaY19
0705SharafDinDimyatti.ArbacunaAbdal.Shamela0010447-ara1,0.90696,RELEASE
10447.json,0.90613,RAWrabicaShamAY1
0705SharafDinDimyatti.ArbacunaAbdal.Shamela0010447-ara1,0.90599,RELEASE
30306.json,0.90403,RAWrabicaShamAY2
30306.bok.json,0.90348,RAWrabicaSham19Y
0507IbnQaysarani.AhadithMia.ShamAY0038135-ara1,0.90338,RELEASE
38135.json,0.90336,RAWrabicaShamAY3
0600CabdGhaniMuqaddasi.NihayatMurad.Shamela0038202-ara1,0.90288,RELEASE
Shamela038202.txt,0.90185,raw_ShamelaY19
0600CabdGhaniMuqaddasi.NihayatMurad.Shamela0038202-ara1,0.90161,RELEASE
1384.json,0.90111,RAWrabicaShamAY1
0600CabdGhaniMuqaddasi.MisbahFiCuyunSihah.Shamela0030657-ara1,0.9009,RELEASE
Shamela030657.txt,0.90046,raw_ShamelaY19
0620IbnQudamaMaqdisi.BulghatTalibHathith.Shamela0011417-ara1,0.90035,RELEASE
0643DiyaDinMuqaddasi.BulghatTalibHathith.Shamela0030294-ara1,0.90013,RELEASE
0620IbnQudamaMaqdisi.BulghatTalibHathith.Shamela0011417-ara1,0.89978,RELEASE
0600CabdGhaniMuqaddasi.MisbahFiCuyunSihah.Shamela0030657-ara1,0.89976,RELEASE
0643DiyaDinMuqaddasi.BulghatTalibHathith.Shamela0030294-ara1,0.89951,RELEASE
11417.json,0.89906,RAWrabicaShamAY2
32842.json,0.89863,RAWrabicaShamAY2
0510AbuBakrShirazi.MacaliSihah.ShamAY0032842-ara1,0.89737,RELEASE
Shamela030294.txt,0.89529,raw_ShamelaY19
