unknown,TFIDF_cosine,libVar
Shamela030242.txt,0.99902,raw_ShamelaY19
30242.json,0.9934,RAWrabicaShamAY2
0911Suyuti.FadlThughrIskandariyya.Shamela0011797-ara1,0.93865,RELEASE
0911Suyuti.FadlThughrIskandariyya.Shamela0011797-ara1,0.93438,RELEASE
11797.bok.json,0.92983,RAWrabicaSham19Y
11797.json,0.92773,RAWrabicaShamAY2
98.json,0.84046,RAW_ABLibrary
1304.json,0.83971,RAWrabicaShamAY1
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.83844,RELEASE
1405.json,0.83768,RAWrabicaShamAY1
38163.json,0.83322,RAWrabicaShamAY3
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.83253,RELEASE
38096.json,0.83219,RAWrabicaShamAY3
38104.json,0.83207,RAWrabicaShamAY3
9595.bok.json,0.83107,RAWrabicaSham19Y
9595.json,0.83095,RAWrabicaShamAY1
Sham30K0039018,0.83031,RAWrabica025000
78.json,0.83015,RAWrabicaShamAY1
Shamela026425.txt,0.83,raw_ShamelaY19
Sham30K0038957,0.82966,RAWrabica025000
13051.json,0.82958,RAWrabicaShamAY2
1401.json,0.82948,RAWrabicaShamAY1
13075.json,0.82859,RAWrabicaShamAY2
0301AbuBakrFaryabi.Qadar.Shamela0011333-ara1,0.82837,RELEASE
1198.json,0.82786,RAWrabicaShamAY1
1198.bok.json,0.8278,RAWrabicaSham19Y
0327AbuBakrKharaiti.IctilalQulub.JK011273-ara1,0.82773,RELEASE
0281IbnAbiDunya.IstinacMacruf.Shamela0006022-ara1,0.82711,RELEASE
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.82647,RELEASE
1406.json,0.82609,RAWrabicaShamAY1
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.82566,RELEASE
38157.json,0.82538,RAWrabicaShamAY3
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.8253,RELEASE
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.82508,RELEASE
21670.bok.json,0.82503,RAWrabicaSham19Y
38093.json,0.82467,RAWrabicaShamAY3
Sham30K0008266,0.82427,RAWrabica010000
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.8242,RELEASE
Shamela021670.txt,0.82412,raw_ShamelaY19
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.82412,RELEASE
38035.json,0.82407,RAWrabicaShamAY3
0327AbuBakrKharaiti.FadilatShukr.Shamela0013140-ara1,0.82394,RELEASE
0281IbnAbiDunya.Cuqubat.Shamela0008266-ara1,0.82336,RELEASE
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.82332,RELEASE
Shia001922,0.82329,RAWrabica040000
38092.json,0.82321,RAWrabicaShamAY3
1719.json,0.823,RAWrabicaShamAY1
13140.bok.json,0.82292,RAWrabicaSham19Y
0369AbuShaykhIsbahani.Cuzma.Shamela0013043-ara1,0.82291,RELEASE
0277IbnSufyanFasawi.Mashyakha.Shamela0021670-ara1,0.82287,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.82287,RELEASE
13009.json,0.82282,RAWrabicaShamAY2
0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1,0.82264,RELEASE
8266.json,0.82256,RAWrabicaShamAY1
32959.json,0.8221,RAWrabicaShamAY2
33935.json,0.82199,RAWrabicaShamAY2
12749.json,0.82198,RAWrabicaShamAY2
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.82188,RELEASE
13043.json,0.82187,RAWrabicaShamAY2
13039.json,0.82172,RAWrabicaShamAY2
38113.json,0.82144,RAWrabicaShamAY3
21670.json,0.82137,RAWrabicaShamAY2
33939.json,0.82098,RAWrabicaShamAY2
13187.json,0.82029,RAWrabicaShamAY2
13013.json,0.82024,RAWrabicaShamAY2
0387IbnBattaCukbari.IbanaKubra.Shamela0008206-ara1,0.82008,RELEASE
0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1,0.82004,RELEASE
0444AbuCamrDani.SunanWarida.Shamela0013034-ara1,0.81984,RELEASE
38071.json,0.81982,RAWrabicaShamAY3
13140.json,0.81965,RAWrabicaShamAY2
13034.bok.json,0.81929,RAWrabicaSham19Y
4003.json,0.81906,RAWrabicaShamAY1
0341AbuHasanIbnMaqabiri.Hadith.ShamAY0032800-ara1,0.81897,RELEASE
4003.bok.json,0.81892,RAWrabicaSham19Y
931.json,0.8189,RAW_ABLibrary
13175.bok.json,0.81882,RAWrabicaSham19Y
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.81864,RELEASE
6899.json,0.81801,RAWrabicaShamAY1
Shamela021485.txt,0.8177,raw_ShamelaY19
29991.bok.json,0.81766,RAWrabicaSham19Y
0807NurDinHaythami.MaqsadAli.Shamela0021570-ara1,0.81765,RELEASE
32750.json,0.81757,RAWrabicaShamAY2
21570.bok.json,0.81732,RAWrabicaSham19Y
21485.bok.json,0.81731,RAWrabicaSham19Y
35229.json,0.81711,RAWrabicaShamAY3
Shamela098138.txt,0.81703,raw_ShamelaY19
Shamela021570.txt,0.81687,raw_ShamelaY19
0807NurDinHaythami.MaqsadAli.Shamela0021570-ara1,0.81624,RELEASE
31641.json,0.81611,RAWrabicaShamAY2
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.81607,RELEASE
Shamela029857.txt,0.81597,raw_ShamelaY19
0807NurDinHaythami.BughyatBahith.ShamAY0033985-ara1,0.81595,RELEASE
33576.json,0.81586,RAWrabicaShamAY2
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.81582,RELEASE
12991.bok.json,0.81565,RAWrabicaSham19Y
33985.json,0.81544,RAWrabicaShamAY2
13099.json,0.81536,RAWrabicaShamAY2
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.81532,RELEASE
13034.json,0.81522,RAWrabicaShamAY2
0302AbuMuhammadAshyabBaghdadi.Juz.Shamela0029702-ara1,0.81508,RELEASE
21476.bok.json,0.81499,RAWrabicaSham19Y
38139.json,0.81486,RAWrabicaShamAY3
0471IbnCaliBalkhi.Wakhshiyyat.Shamela0029991-ara1,0.8148,RELEASE
32800.json,0.81479,RAWrabicaShamAY2
38057.json,0.81469,RAWrabicaShamAY3
Shamela021476.txt,0.81465,raw_ShamelaY19
29991.json,0.81445,RAWrabicaShamAY2
13175.json,0.81433,RAWrabicaShamAY2
26564.bok.json,0.81424,RAWrabicaSham19Y
33908.json,0.81387,RAWrabicaShamAY2
21570.json,0.81383,RAWrabicaShamAY2
21485.json,0.81363,RAWrabicaShamAY2
Shamela029991.txt,0.81362,raw_ShamelaY19
Sham30K0008241,0.8136,RAWrabica010000
Sham30K0033906,0.81358,RAWrabica020000
Shamela026564.txt,0.81357,raw_ShamelaY19
38091.json,0.81321,RAWrabicaShamAY3
38094.json,0.8132,RAWrabicaShamAY3
13035.json,0.81311,RAWrabicaShamAY2
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.8131,RELEASE
0458Bayhaqi.FadailAwqat.JK000024-ara1,0.81303,RELEASE
9383.json,0.81285,RAWrabicaShamAY1
0281IbnAbiDunya.MudaratNas.Shamela0013152-ara1,0.81261,RELEASE
13035.bok.json,0.81256,RAWrabicaSham19Y
0281IbnAbiDunya.QasrAmal.JK009174-ara1,0.81252,RELEASE
38129.json,0.81227,RAWrabicaShamAY3
0360AbuBakrAjurri.Sharica.Shamela0013035-ara1,0.81211,RELEASE
12991.json,0.81205,RAWrabicaShamAY2
21476.json,0.81172,RAWrabicaShamAY2
26564.json,0.8116,RAWrabicaShamAY2
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.81157,RELEASE
8241.json,0.81138,RAWrabicaShamAY1
13134.json,0.81123,RAWrabicaShamAY2
