unknown,TFIDF_cosine,libVar
29464.json,0.99855,RAWrabicaShamAY2
Shamela029464.txt,0.9954,raw_ShamelaY19
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.86922,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.86913,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.86623,RELEASE
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.861,RELEASE
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.86037,RELEASE
30327.json,0.85989,RAWrabicaShamAY2
Shamela030327.txt,0.85937,raw_ShamelaY19
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.85731,RELEASE
Shamela026726.txt,0.85706,raw_ShamelaY19
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.85687,RELEASE
2982.html,0.85619,RAWrabicaRafed
26726.json,0.85595,RAWrabicaShamAY2
34668.json,0.85188,RAWrabicaShamAY3
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.85123,RELEASE
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.85028,RELEASE
Shamela122397.txt,0.85005,raw_ShamelaY19
11036.bok.json,0.84958,RAWrabicaSham19Y
0562Samcani.Ansab.Shamela0012317-ara1,0.84838,RELEASE
9584.bok.json,0.84812,RAWrabicaSham19Y
11036.json,0.84787,RAWrabicaShamAY2
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.84784,RELEASE
Shia003430Vols,0.84767,RAWrabica045000
34667.json,0.84738,RAWrabicaShamAY3
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.84724,RELEASE
9584.json,0.84695,RAWrabicaShamAY1
Shamela026487.txt,0.8465,raw_ShamelaY19
Sham30K0033963,0.8462,RAWrabica020000
0742Mizzi.TahdhibKamal.JK000144-ara1,0.84616,RELEASE
5797.bok.json,0.84529,RAWrabicaSham19Y
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,0.84516,RELEASE
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,0.8451,RELEASE
26487.json,0.84476,RAWrabicaShamAY2
0629IbnNuqta.TakmilatIkmal.JK000618-ara1,0.84472,RELEASE
5797.json,0.84442,RAWrabicaShamAY1
0806IbnHusaynZaynDinCiraqi.TarhTarthib.JK007117-ara1,0.84413,RELEASE
26857.json,0.84366,RAWrabicaShamAY2
Shamela026857.txt,0.84316,raw_ShamelaY19
0748IbnDimyati.Mustafad.Shia003310-ara1,0.84242,RELEASE
0748IbnDimyati.Mustafad.Shamela0023764BK4-ara1,0.84195,RELEASE
0748IbnDimyati.Mustafad.Shamela0023764BK4-ara1,0.84194,RELEASE
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.84193,RELEASE
2890.html,0.84188,RAWrabicaRafed
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.84186,RELEASE
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.84157,RELEASE
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.84145,RELEASE
1135.json,0.84079,RAWrabicaShamAY1
5728.bok.json,0.84078,RAWrabicaSham19Y
0571IbnCasakir.ArbacunaBuldaniyya.Shia002174-ara1,0.84029,RELEASE
30646.json,0.84007,RAWrabicaShamAY2
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.83883,RELEASE
0576AbuTahirSilafi.Mashyakha.JK000649-ara1,0.83867,RELEASE
5728.json,0.83852,RAWrabicaShamAY1
0775IbnAbiWafa.JawahirMudiya.JK000806-ara1,0.83829,RELEASE
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.8382,RELEASE
2904.html,0.83785,RAWrabicaRafed
0775IbnAbiWafa.JawahirMudiya.JK000806-ara1,0.83777,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.8373,RELEASE
2330.html,0.83705,RAWrabicaRafed
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.83697,RELEASE
Shamela030646.txt,0.83653,raw_ShamelaY19
2718.html,0.83575,RAWrabicaRafed
2902.html,0.8346,RAWrabicaRafed
30620.json,0.83435,RAWrabicaShamAY2
0599IbnYahyaDabbi.BughyatMultamis.Shamela0000728-ara1,0.83425,RELEASE
0642IbnNajjar.DhaylTarikhBaghdad.ShamAY0038202-ara1,0.83422,RELEASE
0641Sarifini.Muntakhab.Shamela0012528-ara1,0.83397,RELEASE
0641Sarifini.Muntakhab.Shamela0012528-ara1,0.83394,RELEASE
0599IbnYahyaDabbi.BughyatMultamis.Shamela0000728-ara1,0.83383,RELEASE
0728.bok.json,0.83372,RAWrabicaSham19Y
2139.html,0.83355,RAWrabicaRafed
0642IbnNajjar.DhaylTarikhBaghdad.Shia003236Vols-ara1,0.83353,RELEASE
0748IbnDimyati.Mustafad.JK009162-ara1,0.83352,RELEASE
0642IbnNajjar.DhaylTarikhBaghdad.Shamela0023764BK3-ara1,0.83345,RELEASE
2893.html,0.83326,RAWrabicaRafed
2981.html,0.83325,RAWrabicaRafed
0637IbnDubaythi.DhaylTarikhBaghdad.ShamAY0034569-ara1,0.83318,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030620-ara1,0.83297,RELEASE
728.json,0.83268,RAWrabicaShamAY1
0650RashidDinDimashqi.MashyakhaBaghdadiyya.Shamela0009389-ara1,0.83233,RELEASE
Shamela030620.txt,0.83232,raw_ShamelaY19
0650RashidDinDimashqi.MashyakhaBaghdadiyya.Shamela0009389-ara1,0.83217,RELEASE
0680IbnSabuni.TakmilatIkmalIkmal.JK000884-ara1,0.83213,RELEASE
0637IbnDubaythi.DhaylTarikhBaghdad.ShamAY0034569-ara1,0.8321,RELEASE
0775IbnAbiWafa.JawahirMudiya.JK009262-ara1,0.83198,RELEASE
0637IbnDubaythi.DhaylTarikhBaghdad.Sham30K0001970-ara1,0.83194,RELEASE
12528.json,0.83175,RAWrabicaShamAY2
2138.html,0.83174,RAWrabicaRafed
30257.bok.json,0.83172,RAWrabicaSham19Y
0642IbnNajjar.DhaylTarikhBaghdad.Shamela0023764BK3-ara1,0.83129,RELEASE
12317.json,0.83121,RAWrabicaShamAY2
0680IbnSabuni.TakmilatIkmalIkmal.Shamela0021107-ara1,0.83104,RELEASE
0680IbnSabuni.TakmilatIkmalIkmal.Shamela0021107-ara1,0.8309,RELEASE
0441IbnCaliSuri.FawaidMuntaqat.Shia002100-ara1,0.83067,RELEASE
0488IbnFutuhHumaydi.JadhwatMuqtabis.Shamela0005742-ara1,0.83059,RELEASE
2323.html,0.83018,RAWrabicaRafed
34569.json,0.82992,RAWrabicaShamAY3
2137.html,0.82955,RAWrabicaRafed
30594.json,0.82953,RAWrabicaShamAY2
5742.json,0.82947,RAWrabicaShamAY1
30257.json,0.82944,RAWrabicaShamAY2
Shamela021107.txt,0.82902,raw_ShamelaY19
0641Sarifini.Muntakhab.JK001172-ara1,0.829,RELEASE
Shamela020870.txt,0.82891,raw_ShamelaY19
9389.json,0.8288,RAWrabicaShamAY1
21107.json,0.82838,RAWrabicaShamAY2
0748Dhahabi.MacrifaQurraKibar.Shamela0008349-ara2,0.82837,RELEASE
812.json,0.82822,RAW_ABLibrary
0775IbnAbiWafa.JawahirMudiya.Shamela0006725-ara1,0.82765,RELEASE
813.json,0.82745,RAW_ABLibrary
0799IbnFarhun.DibajMudhahhab.JK000174-ara1,0.82745,RELEASE
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.82742,RELEASE
33699.json,0.82728,RAWrabicaShamAY2
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030594-ara1,0.82703,RELEASE
2900.html,0.82701,RAWrabicaRafed
0871IbnFahdMakki.LahzAlhaz.Shamela0007313-ara1,0.82696,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030257-ara1,0.82687,RELEASE
Shamela030594.txt,0.82679,raw_ShamelaY19
6725.json,0.82666,RAWrabicaShamAY1
2892.html,0.82663,RAWrabicaRafed
26428.json,0.82587,RAWrabicaShamAY2
Shamela030257.txt,0.82545,raw_ShamelaY19
0662RashidAttar.NuzhatNazir.Shamela0026428-ara1,0.82544,RELEASE
811.json,0.82542,RAW_ABLibrary
34014.json,0.82522,RAWrabicaShamAY2
39268.bok.json,0.82492,RAWrabicaSham19Y
26471.bok.json,0.82488,RAWrabicaSham19Y
2311.html,0.82468,RAWrabicaRafed
38014.json,0.82435,RAWrabicaShamAY3
0662RashidAttar.NuzhatNazir.Shamela0026428-ara1,0.82432,RELEASE
2959.html,0.82404,RAWrabicaRafed
2980.html,0.82399,RAWrabicaRafed
Shamela026428.txt,0.82387,raw_ShamelaY19
2894.html,0.8237,RAWrabicaRafed
Shamela026490.txt,0.82358,raw_ShamelaY19
Shamela123666.txt,0.82319,raw_ShamelaY19
0748Dhahabi.TadhkiratHuffaz.JK000532-ara1,0.82291,RELEASE
5794.json,0.82273,RAWrabicaShamAY1
26471.json,0.82262,RAWrabicaShamAY2
0458Bayhaqi.MadkhalIlaCilmSunan.Sham19Y0039268-ara1,0.82249,RELEASE
2410.html,0.82237,RAWrabicaRafed
0748Dhahabi.TadhkiratHuffaz.JK000532-ara1,0.82231,RELEASE
0642IbnNajjar.DhaylTarikhBaghdad.JK009150-ara1,0.82219,RELEASE
122397.bok.json,0.82201,RAWrabicaSham19Y
0617RadiDinTusi.Arbacuna.Shamela0026490-ara1,0.82186,RELEASE
Shamela039268.txt,0.82153,raw_ShamelaY19
0617RadiDinTusi.Arbacuna.Shamela0026490-ara1,0.82145,RELEASE
30606.json,0.82143,RAWrabicaShamAY2
2366.html,0.82097,RAWrabicaRafed
004118.automARkdown,0.82096,RAW_Masaha
0656IbnCabdQawiMundhiri.TakmilaLiWafayatNaqala.ShamAY0034660-ara1,0.82078,RELEASE
0871IbnFahdMakki.LahzAlhaz.Shia003348-ara1,0.82072,RELEASE
31728.json,0.82035,RAWrabicaShamAY2
38202.json,0.82029,RAWrabicaShamAY3
0695IbnMuhammadHusayni.SilatTakmilaLiWafayatNaqala.ShamAY0034633-ara1,0.82028,RELEASE
0656IbnCabdQawiMundhiri.TakmilaLiWafayatNaqala.ShamAY0034660-ara1,0.81981,RELEASE
30644.bok.json,0.81968,RAWrabicaSham19Y
