unknown,TFIDF_cosine,libVar
001021.automARkdown,0.99891,RAW_Masaha
231.html,0.96607,RAWrabicaRafed
10359.automARkdown,0.95292,RAW_Ghbook
001075.automARkdown,0.84881,RAW_Masaha
0460ShaykhTusi.MisbahMutahajjad.Shia000042-ara1,0.83956,RELEASE
000710Vols.automARkdown,0.83837,RAW_Masaha
0905IbnCaliTaqiDinKafcami.Misbah.Shia001399-ara1,0.81921,RELEASE
0905IbnCaliTaqiDinKafcami.Misbah.Shia001399-ara1,0.81884,RELEASE
001057.automARkdown,0.81715,RAW_Masaha
2612.automARkdown,0.81379,RAW_Ghbook
7722.json,0.81287,RAW_ABLibrary
8068.automARkdown,0.80888,RAW_Ghbook
80.html,0.80818,RAWrabicaRafed
001072.automARkdown,0.79454,RAW_Masaha
7935.json,0.79438,RAW_ABLibrary
7907.json,0.79145,RAW_ABLibrary
001041.automARkdown,0.78987,RAW_Masaha
001012Vols.automARkdown,0.78876,RAW_Masaha
0664IbnTawus.IqbalAcmal.Shia001362Vols-ara1,0.78723,RELEASE
0664IbnTawus.IqbalAcmal.Shia001362Vols-ara1,0.78691,RELEASE
1111Majlisi.BiharAnwar.Shia001432VolsC-ara1,0.78267,RELEASE
1111Majlisi.BiharAnwar.Shia001432VolsC-ara1,0.78255,RELEASE
001286.automARkdown,0.78243,RAW_Masaha
9341.json,0.78206,RAW_ABLibrary
794.json,0.78018,RAW_ABLibrary
786.json,0.77936,RAW_ABLibrary
8705.json,0.77667,RAW_ABLibrary
785.json,0.77524,RAW_ABLibrary
1111Majlisi.BiharAnwar.Zaydiyya0000202C-ara1,0.77444,RELEASE
781.json,0.77411,RAW_ABLibrary
1398.html,0.77276,RAWrabicaRafed
9862.automARkdown,0.7726,RAW_Ghbook
9866.automARkdown,0.7726,RAW_Ghbook
9865.automARkdown,0.77259,RAW_Ghbook
9863.automARkdown,0.77259,RAW_Ghbook
9864.automARkdown,0.77259,RAW_Ghbook
1304.html,0.76927,RAWrabicaRafed
1507.html,0.76767,RAWrabicaRafed
939VolsC.automARkdown,0.76734,RAW_Ghbook
1171.html,0.76528,RAWrabicaRafed
7707.json,0.75967,RAW_ABLibrary
1450Anonymous.TuhfatWalhan.Zaydiyya0000233-ara1,0.75962,RELEASE
0705IbnYusufHilli.CudadQawiyya.Shia003711-ara1,0.75915,RELEASE
000701.automARkdown,0.759,RAW_Masaha
0705IbnYusufHilli.CudadQawiyya.Shia003711-ara1,0.75866,RELEASE
1450Anonymous.TuhfatWalhan.Zaydiyya0000233-ara1,0.75863,RELEASE
001211.automARkdown,0.75762,RAW_Masaha
1167.html,0.75693,RAWrabicaRafed
1031BahaDinCamili.MiftahFalah.Shia000210-ara1,0.75662,RELEASE
1031BahaDinCamili.MiftahFalah.Shia000210-ara1,0.75642,RELEASE
0793IbrahimIbnMahdi.WasilaIlaRahman.Zaydiyya0000371-ara1,0.75082,RELEASE
0793IbrahimIbnMahdi.WasilaIlaRahman.Zaydiyya0000371-ara1,0.75059,RELEASE
Shamela036529.txt,0.73609,raw_ShamelaY19
000989.automARkdown,0.73001,RAW_Masaha
7133.automARkdown,0.72921,RAW_Ghbook
001024.automARkdown,0.72885,RAW_Masaha
332.json,0.72782,RAWrabicaShamAY1
36529.bok.json,0.72775,RAWrabicaSham19Y
0413ShaykhMufid.Muqnica.Shia000011-ara1,0.72775,RELEASE
1345IbnMuhsinKashani.SahifaHadiya.Shia003759-ara1,0.72763,RELEASE
1345IbnMuhsinKashani.SahifaHadiya.Shia003759-ara1,0.72702,RELEASE
Shamela034562.txt,0.72636,raw_ShamelaY19
1144.json,0.72612,RAWrabicaShamAY1
1155.html,0.72569,RAWrabicaRafed
0122ZaydIbnCali.MansikHajj.Zaydiyya0000065-ara1,0.72512,RELEASE
10648.automARkdown,0.72438,RAW_Ghbook
7112.automARkdown,0.72365,RAW_Ghbook
7808.json,0.72327,RAW_ABLibrary
000691.automARkdown,0.71877,RAW_Masaha
0909IbnCabdHadi.AdabDuca.ShamAY0033728-ara1,0.71801,RELEASE
0909IbnCabdHadi.AdabDuca.ShamAY0033728-ara1,0.71685,RELEASE
9859.automARkdown,0.71477,RAW_Ghbook
9858.automARkdown,0.71475,RAW_Ghbook
0597IbnJawzi.TadhkiraFiWacz.JK000074-ara1,0.71474,RELEASE
0597IbnJawzi.TadhkiraFiWacz.Shamela0006858-ara1,0.71465,RELEASE
9856.automARkdown,0.71463,RAW_Ghbook
0597IbnJawzi.TadhkiraFiWacz.JK000074-ara1,0.71461,RELEASE
33728.json,0.7146,RAWrabicaShamAY2
34813.json,0.71356,RAWrabicaShamAY3
9861.automARkdown,0.71346,RAW_Ghbook
9860.automARkdown,0.71337,RAW_Ghbook
6858.json,0.71337,RAWrabicaShamAY1
7737.json,0.71291,RAW_ABLibrary
32096.json,0.70919,RAWrabicaShamAY2
2443.automARkdown,0.70889,RAW_Ghbook
001028.automARkdown,0.7081,RAW_Masaha
482.json,0.708,RAWrabicaShamAY1
7373.json,0.70689,RAWrabicaShamAY1
0386AbuTalibMakki.QutQulub.Shamela0000482-ara1,0.7058,RELEASE
Shamela037755.txt,0.70287,raw_ShamelaY19
1171.json,0.70285,RAWrabicaShamAY1
7480.json,0.70225,RAWrabicaShamAY1
0664IbnTawus.JamalUsbuc.Shia001372-ara1,0.70123,RELEASE
0664IbnTawus.JamalUsbuc.Shia001372-ara1,0.70108,RELEASE
11258.automARkdown,0.70106,RAW_Ghbook
35001.json,0.7009,RAWrabicaShamAY3
001016.automARkdown,0.69974,RAW_Masaha
0664IbnTawus.MujtanaMinDucaMujtaba.Shia001369-ara1,0.69677,RELEASE
0664IbnTawus.MujtanaMinDucaMujtaba.Shia001369-ara1,0.69627,RELEASE
8791.json,0.6914,RAW_ABLibrary
0800IbnAbiHasanDaylami.AclamDin.Shia004021-ara1,0.69126,RELEASE
Shamela021518.txt,0.69053,raw_ShamelaY19
Shamela030921.txt,0.68989,raw_ShamelaY19
7433.json,0.68979,RAW_ABLibrary
1359CabbasQummi.MafatihJinan.Zaydiyya0000236-ara1,0.68966,RELEASE
855.json,0.68954,RAWrabicaShamAY1
8590.json,0.68953,RAW_ABLibrary
Shamela037421.txt,0.68922,raw_ShamelaY19
1359CabbasQummi.MafatihJinan.Zaydiyya0000236-ara1,0.68915,RELEASE
0800IbnAbiHasanDaylami.AclamDin.Shia004021-ara1,0.68903,RELEASE
6560.automARkdown,0.68809,RAW_Ghbook
34999.json,0.68765,RAWrabicaShamAY3
Shamela020854.txt,0.68726,raw_ShamelaY19
120.json,0.687,RAWrabicaShamAY1
001917.automARkdown,0.68661,RAW_Masaha
34928.json,0.68623,RAWrabicaShamAY3
34969.json,0.68583,RAWrabicaShamAY3
Sham30K0039037,0.68575,RAWrabica025000
1343HasanIbnYahyaQasimi.NurSatic.Zaydiyya0000031-ara1,0.6854,RELEASE
33076.json,0.68504,RAWrabicaShamAY2
1343HasanIbnYahyaQasimi.NurSatic.Zaydiyya0000031-ara1,0.68494,RELEASE
001107.automARkdown,0.68441,RAW_Masaha
21518.json,0.68439,RAWrabicaShamAY2
0664IbnTawus.AmanMinAkhtarAsfar.Shia001365-ara1,0.68434,RELEASE
7741.json,0.68383,RAWrabicaShamAY1
3988.html,0.68309,RAWrabicaRafed
0664IbnTawus.AmanMinAkhtarAsfar.Shia001365-ara1,0.68292,RELEASE
Shamela037531.txt,0.68287,raw_ShamelaY19
33116.json,0.68274,RAWrabicaShamAY2
Shamela037823.txt,0.68271,raw_ShamelaY19
Sham30K0039033,0.68269,RAWrabica025000
8910.json,0.68258,RAW_ABLibrary
7741.bok.json,0.68246,RAWrabicaSham19Y
1173.json,0.68233,RAWrabicaShamAY1
900.json,0.68226,RAWrabicaShamAY1
790.json,0.68204,RAW_ABLibrary
20854.json,0.68141,RAWrabicaShamAY2
Shia003711,0.68138,RAWrabica045000
37823.bok.json,0.68124,RAWrabicaSham19Y
905.json,0.68076,RAWrabicaShamAY1
8776.json,0.68065,RAW_ABLibrary
0298HadiIlaHaqqYahya.Majmuc.Zaydiyya0000076-ara1,0.68062,RELEASE
13002.automARkdown,0.6806,RAW_Ghbook
34998.json,0.68006,RAWrabicaShamAY3
3577.html,0.67992,RAWrabicaRafed
3990.html,0.67992,RAWrabicaRafed
7494.json,0.67968,RAW_ABLibrary
2505.automARkdown,0.67964,RAW_Ghbook
12729.json,0.67962,RAWrabicaShamAY2
6369.automARkdown,0.67959,RAW_Ghbook
423.json,0.67954,RAWrabicaShamAY1
7721.bok.json,0.67945,RAWrabicaSham19Y
35000.json,0.67916,RAWrabicaShamAY3
902.json,0.67915,RAWrabicaShamAY1
695.json,0.67912,RAWrabicaShamAY1
771.json,0.67892,RAW_ABLibrary
004065.automARkdown,0.67869,RAW_Masaha
7708.bok.json,0.67857,RAWrabicaSham19Y
8845.json,0.67823,RAW_ABLibrary
1796.html,0.67742,RAWrabicaRafed
10262.json,0.67692,RAWrabicaShamAY1
5309.automARkdown,0.67669,RAW_Ghbook
Shamela115133.txt,0.67665,raw_ShamelaY19
30921.json,0.67663,RAWrabicaShamAY2
13721.automARkdown,0.67644,RAW_Ghbook
8751.json,0.67628,RAW_ABLibrary
8747.json,0.67601,RAW_ABLibrary
0246QasimRassi.Majmuc.Zaydiyya0000075-ara1,0.676,RELEASE
3759.html,0.67586,RAWrabicaRafed
0850ShihabDinIbshihi.Mustatraf.Shamela0023802-ara1,0.67577,RELEASE
0400IbnCaliHarrani.TuhafCuqul.Shia001153-ara1,0.67571,RELEASE
31656.json,0.67523,RAWrabicaShamAY2
1450SalahIbnAhmadFulayta.MansikHajj.Zaydiyya0000375-ara1,0.67521,RELEASE
0383IbnCabbasKhwarizmi.MufidCulum.Shamela0010262-ara1,0.67511,RELEASE
Shamela023802.txt,0.67505,raw_ShamelaY19
1450SalahIbnAhmadFulayta.MansikHajj.Zaydiyya0000375-ara1,0.67494,RELEASE
8454.json,0.67462,RAW_ABLibrary
001025.automARkdown,0.67453,RAW_Masaha
1677.html,0.67443,RAWrabicaRafed
524.html,0.67433,RAWrabicaRafed
000565.automARkdown,0.67422,RAW_Masaha
38793.json,0.67414,RAWrabicaShamAY3
0850ShihabDinIbshihi.Mustatraf.ShamAY0033781-ara1,0.6738,RELEASE
8789.json,0.67379,RAW_ABLibrary
23802.json,0.6736,RAWrabicaShamAY2
16328.automARkdown,0.67342,RAW_Ghbook
8783.json,0.67322,RAW_ABLibrary
0850ShihabDinIbshihi.Mustatraf.JK001336-ara1,0.67316,RELEASE
34861.json,0.67316,RAWrabicaShamAY3
10944.automARkdown,0.673,RAW_Ghbook
8913.json,0.67294,RAW_ABLibrary
0610MuhammadIbnMashhadi.Mazar.Shia001357-ara1,0.67289,RELEASE
1660.html,0.67288,RAWrabicaRafed
8798.json,0.6727,RAW_ABLibrary
000688.automARkdown,0.67258,RAW_Masaha
8555.json,0.67232,RAWrabicaShamAY1
