unknown,TFIDF_cosine,libVar
001922.automARkdown,0.99659,RAW_Masaha
002335.automARkdown,0.96218,RAW_Masaha
6685.automARkdown,0.93439,RAW_Ghbook
Shia003470,0.83777,RAWrabica045000
7791.json,0.83599,RAW_ABLibrary
33953.json,0.83467,RAWrabicaShamAY2
7790.json,0.83364,RAW_ABLibrary
0228IbnHammadKhuzaci.Fitan.Shia003470-ara1,0.83243,RELEASE
2776.html,0.82596,RAWrabicaRafed
13047.bok.json,0.82561,RAWrabicaSham19Y
13047.json,0.82377,RAWrabicaShamAY2
002367.automARkdown,0.82361,RAW_Masaha
2775.html,0.82224,RAWrabicaRafed
0774IbnKathir.NihayaFiFitan.JK009265-ara1,0.8165,RELEASE
0774IbnKathir.TafsirQuran.Shamela0008473-ara1,0.816,RELEASE
11818.json,0.81559,RAWrabicaShamAY2
0774IbnKathir.NihayaFiFitan.Shamela0011818-ara1,0.81532,RELEASE
0774IbnKathir.TafsirQuran.ShamAY0034045-ara5,0.81513,RELEASE
0774IbnKathir.TafsirQuran.Shamela0008473-ara1,0.81498,RELEASE
004066.automARkdown,0.81466,RAW_Masaha
1719.json,0.8146,RAWrabicaShamAY1
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.81432,RELEASE
0774IbnKathir.NihayaFiFitan.Shamela0011818-ara1,0.8141,RELEASE
149015.bok.json,0.81407,RAWrabicaSham19Y
002984.automARkdown,0.81363,RAW_Masaha
0380IbnIbrahimNucmani.Ghayba.Zaydiyya0000198-ara1,0.81137,RELEASE
33758.json,0.81084,RAWrabicaShamAY2
Sham30K0034086,0.80932,RAWrabica020000
004050Vols.automARkdown,0.80825,RAW_Masaha
0381IbnBabawayh.CilalSharaic.Shia001140Vols-ara1,0.80706,RELEASE
16363.automARkdown,0.80699,RAW_Ghbook
7609.json,0.80686,RAW_ABLibrary
0321AbuJacfarTahawi.SharhMushkilAthar.Shamela0022547-ara1,0.80602,RELEASE
002070.automARkdown,0.8058,RAW_Masaha
0911Suyuti.DibajCalaMuslim.Shia001831Vols-ara1,0.80546,RELEASE
Shamela022547.txt,0.80508,raw_ShamelaY19
882.json,0.80469,RAW_ABLibrary
0911Suyuti.DibajCalaMuslim.Shia001831Vols-ara1,0.80447,RELEASE
22547.json,0.80445,RAWrabicaShamAY2
7608.json,0.80413,RAW_ABLibrary
1161.json,0.80198,RAWrabicaShamAY1
Shamela149015.txt,0.80138,raw_ShamelaY19
13091.json,0.80088,RAWrabicaShamAY2
0628IbnQattanFasi.BayanWahm.Shamela0005923-ara1,0.80044,RELEASE
5923.json,0.80039,RAWrabicaShamAY1
0628IbnQattanFasi.BayanWahm.Shamela0005923-ara1,0.79914,RELEASE
0774IbnKathir.Bidaya.Sham30K0004445-ara1,0.79913,RELEASE
0774IbnKathir.Bidaya.Shamela0004445-ara1,0.79868,RELEASE
Shamela151099.txt,0.7986,raw_ShamelaY19
4445.json,0.79858,RAWrabicaShamAY1
3409.html,0.79792,RAWrabicaRafed
5597.bok.json,0.7974,RAWrabicaSham19Y
32551.json,0.79715,RAWrabicaShamAY2
5597.json,0.79696,RAWrabicaShamAY1
0774IbnKathir.Bidaya.Sham30K0023708-ara4,0.79642,RELEASE
0774IbnKathir.Bidaya.Shamela0004445-ara1,0.79635,RELEASE
0774IbnKathir.Bidaya.Sham30K0041451-ara1,0.79602,RELEASE
0774IbnKathir.Bidaya.Shamela0023708-ara4,0.7958,RELEASE
0774IbnKathir.Bidaya.Shia003593Vols-ara2,0.79544,RELEASE
0774IbnKathir.Bidaya.Shamela0008376-ara2,0.79506,RELEASE
Shamela023708.txt,0.79494,raw_ShamelaY19
