unknown,TFIDF_cosine,libVar
33729.json,0.99962,RAWrabicaShamAY2
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shia002616Vols-ara1,0.94807,RELEASE
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shia002616Vols-ara1,0.94773,RELEASE
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shamela0020855-ara1,0.94708,RELEASE
Shamela020855.txt,0.94411,raw_ShamelaY19
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.JK000160-ara1,0.94274,RELEASE
495.json,0.94152,RAWrabicaShamAY1
1404.json,0.92764,RAWrabicaShamAY1
0885BurhanDinBiqaci.MasacidNazar.Shamela0001404-ara1,0.92721,RELEASE
0885BurhanDinBiqaci.MasacidNazar.Shamela0001404-ara1,0.92699,RELEASE
10463.json,0.921,RAWrabicaShamAY1
0795IbnRajabHanbali.RawaicTafsir.Shamela0010463-ara1,0.9207,RELEASE
0795IbnRajabHanbali.RawaicTafsir.Shamela0010463-ara1,0.91982,RELEASE
Shia002616Vols,0.90736,RAWrabica040000
0774IbnKathir.FadailQuran.Shamela0022800-ara1,0.90562,RELEASE
0619IbnCabdWahidGhafiqi.LamahatAnwar.ShamAY0034080-ara1,0.90491,RELEASE
0774IbnKathir.FadailQuran.Shamela0022800-ara1,0.90488,RELEASE
Shamela022800.txt,0.90414,raw_ShamelaY19
0619IbnCabdWahidGhafiqi.LamahatAnwar.ShamAY0034080-ara1,0.90373,RELEASE
34080.json,0.90353,RAWrabicaShamAY2
Shamela021502.txt,0.90198,raw_ShamelaY19
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.JK000829-ara1,0.90067,RELEASE
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.90058,RELEASE
21502.json,0.89958,RAWrabicaShamAY2
32250.json,0.89953,RAWrabicaShamAY2
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.89935,RELEASE
Shamela147666.txt,0.89671,raw_ShamelaY19
Shamela038099.txt,0.89537,raw_ShamelaY19
0774IbnKathir.TafsirQuran.ShamAY0034045-ara5,0.89521,RELEASE
Shamela037048.txt,0.89371,raw_ShamelaY19
Shamela023604.txt,0.89282,raw_ShamelaY19
0774IbnKathir.TafsirQuran.Shamela0023604-ara4,0.89216,RELEASE
112.json,0.89154,RAWrabicaShamAY1
0774IbnKathir.TafsirQuran.JK000161-ara2,0.89119,RELEASE
0774IbnKathir.TafsirQuran.Shia002658Vols-ara6,0.89116,RELEASE
Shamela037325.txt,0.89085,raw_ShamelaY19
36641.json,0.89057,RAWrabicaShamAY3
0633IbnHasanIbnDihyaKalbi.AyatBayyinat.ShamAY0033556-ara1,0.88932,RELEASE
Shamela037009.txt,0.88893,raw_ShamelaY19
1450Maghrawi.MawsucatMawaqifSalaf.Shamela0037325-ara1,0.88869,RELEASE
104.json,0.88837,RAWrabicaShamAY1
1450Maghrawi.MawsucatMawaqifSalaf.Shamela0037325-ara1,0.88812,RELEASE
33556.json,0.8881,RAWrabicaShamAY2
0633IbnHasanIbnDihyaKalbi.AyatBayyinat.ShamAY0033556-ara1,0.88802,RELEASE
13084.json,0.88787,RAWrabicaShamAY2
37435.json,0.88754,RAWrabicaShamAY3
13084.bok.json,0.88749,RAWrabicaSham19Y
0774IbnKathir.TafsirQuran.ShamAY0034063-ara3,0.88697,RELEASE
