unknown,TFIDF_cosine,libVar
0676Nawawi.DaqaiqMinhaj.JK001014-ara1,0.99984,RELEASE
6134.json,0.99977,RAWrabicaShamAY1
Shamela127671.txt,0.56035,raw_ShamelaY19
0826IbnCiraqi.TahrirFatawa.Sham19Y0127671-ara1,0.56011,RELEASE
32441.json,0.52317,RAWrabicaShamAY2
7043.json,0.5078,RAWrabicaShamAY1
0676Nawawi.TahrirAlfaz.JK000168-ara1,0.50714,RELEASE
0676Nawawi.TahrirAlfaz.Shamela0007043-ara1,0.50711,RELEASE
Shamela021843.txt,0.498,raw_ShamelaY19
21843.json,0.49365,RAWrabicaShamAY2
1069ShihabDinQalyubi.HashiyataQalyubiWaCumayra.Shamela0021843-ara1,0.48332,RELEASE
3565.bok.json,0.48264,RAWrabicaSham19Y
3565.json,0.48182,RAWrabicaShamAY1
35971.json,0.48002,RAWrabicaShamAY3
0709IbnAbiFathShamsDinBacli.MatlacCalaAbwabMuqnic.Shamela0011809-ara1,0.47503,RELEASE
1004ShamsDinRamli.NihayatMuhtaj.Shamela0003565-ara1,0.46882,RELEASE
11809.json,0.46718,RAWrabicaShamAY2
34210.json,0.46718,RAWrabicaShamAY3
1069IbnAhmadShihabDinQalyubi.Hashiyatan.JK007141-ara1,0.4658,RELEASE
1231IbnMuhammadHanafiTahtawi.HashiyaCalaMaraqi.ShamAY0034210-ara1,0.46473,RELEASE
1231IbnMuhammadHanafiTahtawi.HashiyaCalaMaraqi.JK000219-ara1,0.46458,RELEASE
11993.json,0.46201,RAWrabicaShamAY2
1231IbnMuhammadHanafiTahtawi.HashiyaCalaMaraqi.Shamela0011993-ara1,0.46122,RELEASE
Shamela132962.txt,0.45599,raw_ShamelaY19
Shamela020561.txt,0.45581,raw_ShamelaY19
1221IbnMuhammadBujayrimiMisri.TuhfatHabib.JK009248-ara1,0.45354,RELEASE
Shamela032195.txt,0.45288,raw_ShamelaY19
0874BadrDinIbnQadiShuhba.BidayatMuhtaj.Sham19Y0132962-ara1,0.45288,RELEASE
1277.html,0.45283,RAWrabicaRafed
Sham30K0034001,0.4525,RAWrabica020000
0804IbnMulaqqin.CujalatMuhtaj.Sham19Y0020561-ara1,0.45227,RELEASE
0977KhatibShirbini.MughniMuhtaj.Shia000873Vols-ara1,0.45184,RELEASE
11444.json,0.45163,RAWrabicaShamAY2
34250.json,0.45161,RAWrabicaShamAY3
34207.json,0.45114,RAWrabicaShamAY3
Shamela021599.txt,0.45062,raw_ShamelaY19
38980.json,0.45047,RAWrabicaShamAY3
Sham30K0033961,0.45014,RAWrabica020000
Sham30K0033977,0.44993,RAWrabica020000
1252IbnCabidinDimashqi.RaddMuhtar.JK000170-ara1,0.44985,RELEASE
132962.bok.json,0.4497,RAWrabicaSham19Y
21599.bok.json,0.44924,RAWrabicaSham19Y
0977KhatibShirbini.MughniMuhtaj.Shamela0011444BK2-ara1,0.4491,RELEASE
1252IbnCabidinDimashqi.RaddMuhtar.Shia000990Vols-ara1,0.44867,RELEASE
1232MuhammadSanbawiAmir.DawShumuc.Sham19Y0032195-ara1,0.4484,RELEASE
1221IbnMuhammadBujayrimiMisri.TajridLiNafcCabid.JK000208-ara1,0.44836,RELEASE
001157.automARkdown,0.44779,RAW_Masaha
21599.json,0.44764,RAWrabicaShamAY2
Shamela021613.txt,0.44754,raw_ShamelaY19
1221IbnMuhammadBujayrimiMisri.TuhfatHabib.ShamAY0034250-ara1,0.44747,RELEASE
Shamela147313.txt,0.44695,raw_ShamelaY19
522.json,0.44535,RAWrabicaShamAY1
21613.json,0.44445,RAWrabicaShamAY2
Shamela021603.txt,0.44429,raw_ShamelaY19
1138IbnCabdHadiNurDinSindi.HashiyaCalaNasai.Shamela0000522-ara1,0.44407,RELEASE
1138IbnCabdHadiNurDinSindi.HashiyaCalaNasai.JK000554-ara1,0.44403,RELEASE
Shia002565Vols,0.44395,RAWrabica040000
0805BahramDamiri.TahbirMukhtasar.Sham19Y0147313-ara1,0.44357,RELEASE
