unknown,TFIDF_cosine,libVar
13577.bok.json,0.85993,RAWrabicaSham19Y
32380.json,0.85854,RAWrabicaShamAY2
0710IbnRifca.Kifaya.Sham19Y0014325-ara1,0.85181,RELEASE
31834.json,0.84894,RAWrabicaShamAY2
0623AbuQasimRafici.SharhKabir.Sham19Y0013577-ara1,0.83276,RELEASE
0623AbuQasimRafici.SharhKabir.Shia000829Vols-ara1,0.83203,RELEASE
0623AbuQasimRafici.SharhKabir.JK011142-ara1,0.83118,RELEASE
1142.bok.json,0.83067,RAWrabicaSham19Y
0623AbuQasimRafici.SharhKabir.Shamela0001142-ara1,0.83062,RELEASE
1142.json,0.82951,RAWrabicaShamAY1
Shamela021744.txt,0.81912,raw_ShamelaY19
21744.json,0.81828,RAWrabicaShamAY2
0808MuhammadDamiri.NajmWahhaj.Sham19Y0013783-ara1,0.81405,RELEASE
17885.bok.json,0.81304,RAWrabicaSham19Y
32365.json,0.81152,RAWrabicaShamAY2
31789.json,0.81038,RAWrabicaShamAY2
0861IbnHumam.SharhFathQadir.JK000299-ara1,0.81027,RELEASE
Shamela021721.txt,0.81017,raw_ShamelaY19
21721.json,0.80693,RAWrabicaShamAY2
0620IbnQudamaMaqdisi.Mughni.ShamAY0034266-ara1,0.80655,RELEASE
0861IbnHumam.FathQadir.Shamela0021744-ara1,0.80631,RELEASE
0620IbnQudamaMaqdisi.Mughni.JK000154-ara1,0.8058,RELEASE
0620IbnQudamaMaqdisi.Mughni.Shia000998Vols-ara1,0.80578,RELEASE
Shamela037590.txt,0.80505,raw_ShamelaY19
34266.json,0.80427,RAWrabicaShamAY3
37590.bok.json,0.80411,RAWrabicaSham19Y
0620IbnQudamaMaqdisi.Mughni.Shamela0008463-ara1,0.8035,RELEASE
8463.json,0.80339,RAWrabicaShamAY1
1101.json,0.80265,RAWrabicaShamAY1
0977KhatibShirbini.MughniMuhtaj.Shamela0011444BK2-ara1,0.80253,RELEASE
0676Nawawi.Majmuc.Shia000841Vols-ara1,0.80118,RELEASE
Sham30K0008463,0.80078,RAWrabica010000
0676Nawawi.Majmuc.Shamela0002186-ara1,0.80076,RELEASE
0977KhatibShirbini.MughniMuhtaj.Shia000873Vols-ara1,0.79895,RELEASE
11444.json,0.79793,RAWrabicaShamAY2
34251.json,0.79537,RAWrabicaShamAY3
32345.json,0.79217,RAWrabicaShamAY2
Shamela0008463,0.79061,RAWrabica035000
0977KhatibShirbini.MughniMuhtaj.ShamAY0034254-ara1,0.7877,RELEASE
0977KhatibShirbini.MughniMuhtaj.JK000888-ara1,0.78732,RELEASE
2186.json,0.78512,RAWrabicaShamAY1
34254.json,0.78303,RAWrabicaShamAY3
0829TaqiDinDimashqiHisni.KifayatAkhyar.Shamela0006140-ara1,0.78257,RELEASE
0829TaqiDinDimashqiHisni.KifayatAkhyar.JK000119-ara1,0.78216,RELEASE
6140.json,0.78186,RAWrabicaShamAY1
32450.json,0.7811,RAWrabicaShamAY2
0954HattabRucayniMaghribi.MawahibJalil.Shia000906Vols-ara1,0.78076,RELEASE
0954HattabRucayniMaghribi.MawahibJalil.Shamela0000569-ara1,0.78044,RELEASE
11468.json,0.78019,RAWrabicaShamAY2
0884AbuIshaqIbnMuflih.MubdicFiSharhMuqnic.Shamela0021619BK2-ara1,0.78002,RELEASE
9403.json,0.77919,RAWrabicaShamAY1
Shamela021619.txt,0.77898,raw_ShamelaY19
569.json,0.7788,RAWrabicaShamAY1
0954HattabRucayniMaghribi.MawahibJalil.ShamAY0034227-ara1,0.77878,RELEASE
0974IbnHajarHaytami.FatawaKubra.JK007074-ara1,0.77824,RELEASE
0954HattabRucayniMaghribi.MawahibJalil.JK000281-ara1,0.77789,RELEASE
0884AbuIshaqIbnMuflih.MubdicFiSharhMuqnic.JK000787BK2-ara1,0.77742,RELEASE
Sham30K0033962,0.77682,RAWrabica020000
Shamela021525.txt,0.77679,raw_ShamelaY19
0728IbnTaymiyya.FatawaKubra.JK001414-ara1,0.77658,RELEASE
0643IbnSalahShahrazuri.SharhMushkilWajiz.Sham19Y0021525-ara1,0.77629,RELEASE
Sham30K0033990,0.77622,RAWrabica020000
21619.json,0.77622,RAWrabicaShamAY2
34227.json,0.7759,RAWrabicaShamAY3
Shamela146126.txt,0.77508,raw_ShamelaY19
Shamela021628.txt,0.77482,raw_ShamelaY19
34265.json,0.77438,RAWrabicaShamAY3
0974IbnHajarHaytami.FatawaKubra.Shamela0021628-ara1,0.77401,RELEASE
Shamela019188.txt,0.77381,raw_ShamelaY19
0682CabdRahmanIbnQudama.SharhKabir.Sham19Y0019188-ara1,0.77322,RELEASE
21628.json,0.77204,RAWrabicaShamAY2
Shamela036194.txt,0.77172,raw_ShamelaY19
0786IbnMuhammadBabarti.CinayaSharhHidaya.Shamela0009403BK2-ara1,0.77155,RELEASE
001525Vols.automARkdown,0.77123,RAW_Masaha
0726CallamaHilli.MuntahaMatlab.Shia000107Vols-ara1,0.77101,RELEASE
0786IbnMuhammadBabarti.CinayaSharhHidaya.JK011690BK2-ara1,0.77075,RELEASE
001185Vols.automARkdown,0.77029,RAW_Masaha
