unknown,TFIDF_cosine,libVar
0678IbnAhmadCizzDinMuqaddasi.KashfAsrar.Shamela0031379-ara1,0.99963,RELEASE
31379.json,0.99459,RAWrabicaShamAY2
Shamela031379.txt,0.98861,raw_ShamelaY19
1031BahaDinCamili.Kashkul.JK009365-ara1,0.63512,RELEASE
1031BahaDinCamili.Kashkul.Shamela0001571-ara1,0.63474,RELEASE
1571.json,0.63185,RAWrabicaShamAY1
1343MustafaManfaluti.Nazarat.Shamela0011400-ara1,0.62937,RELEASE
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.62702,RELEASE
11400.json,0.62382,RAWrabicaShamAY2
622.json,0.62347,RAWrabicaShamAY1
8737.json,0.6229,RAW_ABLibrary
8430.json,0.62221,RAW_ABLibrary
Shamela037345.txt,0.62212,raw_ShamelaY19
0854IbnCarabshah.FakihatKhulafa.Shamela0012726-ara1,0.62154,RELEASE
0597IbnJawzi.SaydKhatir.JK010547-ara1,0.62137,RELEASE
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.61987,RELEASE
10518.json,0.61864,RAWrabicaShamAY1
1323MuhammadCabduh.RisalatTawhid.ShamAY0033867-ara1,0.61692,RELEASE
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.61618,RELEASE
1323MuhammadCabduh.RisalatTawhid.JK001276-ara1,0.61616,RELEASE
12726.json,0.616,RAWrabicaShamAY2
8753.json,0.61558,RAW_ABLibrary
1111MuhammadAminMuhibbi.NafahatRayhana.Shamela0000579-ara1,0.61539,RELEASE
1111MuhammadAminMuhibbi.NafahatRayhana.JK009296-ara1,0.61527,RELEASE
37720.json,0.61416,RAWrabicaShamAY3
Shamela021505.txt,0.61414,raw_ShamelaY19
6392.json,0.61402,RAWrabicaShamAY1
0764Safadi.NusratThair.Shamela0000514-ara1,0.61392,RELEASE
0764Safadi.NusratThair.JK010514-ara1,0.61391,RELEASE
21505.json,0.61285,RAWrabicaShamAY2
0514.bok.json,0.61251,RAWrabicaSham19Y
579.json,0.61248,RAWrabicaShamAY1
0776LisanDinIbnKhatib.KatibaKamina.Shamela0001027-ara1,0.61207,RELEASE
33867.json,0.61202,RAWrabicaShamAY2
1184CisamDinCumari.RawdNadir.Sham19Y0013226-ara1,0.61174,RELEASE
514.json,0.61156,RAWrabicaShamAY1
0776IbnAbiHajalaShihabDinMaghribi.DiwanSababa.JK010580-ara1,0.60975,RELEASE
0776IbnAbiHajalaShihabDinMaghribi.DiwanSababa.Shamela0000580-ara1,0.60972,RELEASE
1356MustafaSadiqRafici.Masakin.Shamela0005418-ara1,0.60871,RELEASE
10428.json,0.60807,RAWrabicaShamAY1
35857.json,0.60776,RAWrabicaShamAY3
0637IbnAthirDiyaDin.MathalSair.Shamela0023794-ara2,0.60752,RELEASE
34503.json,0.60717,RAWrabicaShamAY3
580.json,0.60691,RAWrabicaShamAY1
5418.json,0.60654,RAWrabicaShamAY1
1069ShihabDinKhafaji.RayhanatAlibba.JK010792-ara1,0.60612,RELEASE
1069ShihabDinKhafaji.RayhanatAlibba.Shamela0001522-ara1,0.60611,RELEASE
8818.json,0.60565,RAW_ABLibrary
1268.json,0.60543,RAWrabicaShamAY1
0854IbnCarabshah.MarzubanNamah.Shamela0008305-ara1,0.60536,RELEASE
1119IbnMacsum.SulafaCasr.ShamAY0034642-ara1,0.60457,RELEASE
Shamela038155.txt,0.60397,raw_ShamelaY19
0637IbnAthirDiyaDin.MathalSair.JK000980-ara2,0.6039,RELEASE
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.60384,RELEASE
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.60357,RELEASE
9194.json,0.60335,RAW_ABLibrary
1119IbnMacsum.SulafaCasr.JK010298-ara1,0.60327,RELEASE
1119IbnMacsum.SulafaCasr.Shamela0000298-ara1,0.60318,RELEASE
1522.json,0.60314,RAWrabicaShamAY1
1356MustafaSadiqRafici.IcjazQuran.Shamela0008506-ara1,0.60268,RELEASE
23794.json,0.60265,RAWrabicaShamAY2
Shamela023794.txt,0.60241,raw_ShamelaY19
Sham30K0033827,0.60216,RAWrabica020000
35859.json,0.60205,RAWrabicaShamAY3
004131.automARkdown,0.60175,RAW_Masaha
8305.bok.json,0.60171,RAWrabicaSham19Y
5683.bok.json,0.60148,RAWrabicaSham19Y
8757.json,0.60145,RAW_ABLibrary
464.json,0.60141,RAWrabicaShamAY1
17665.bok.json,0.60126,RAWrabicaSham19Y
8506.json,0.60109,RAWrabicaShamAY1
12856.json,0.601,RAWrabicaShamAY2
Shamela096180.txt,0.601,raw_ShamelaY19
12028.json,0.60074,RAWrabicaShamAY2
8305.json,0.60063,RAWrabicaShamAY1
Shamela095660.txt,0.60053,raw_ShamelaY19
Shamela123663.txt,0.60039,raw_ShamelaY19
5683.json,0.60032,RAWrabicaShamAY1
5351.json,0.60031,RAWrabicaShamAY1
0597CimadDinKatibIsfahani.KharidatQasr.Shamela0012815Vols-ara2,0.60009,RELEASE
Shamela073348.txt,0.60004,raw_ShamelaY19
298.json,0.59983,RAWrabicaShamAY1
0854IbnCarabshah.FakihatKhulafa.JK010770-ara1,0.59981,RELEASE
1356MustafaSadiqRafici.WahyQalam.Shamela0011755-ara1,0.59968,RELEASE
1572.json,0.5993,RAWrabicaShamAY1
1270ShihabDinAlusi.GharaibIghtirab.Shamela0000475-ara1,0.5993,RELEASE
1270ShihabDinAlusi.GharaibIghtirab.JK010475-ara1,0.59928,RELEASE
34642.json,0.5992,RAWrabicaShamAY3
12541.json,0.59895,RAWrabicaShamAY2
002972Vols.automARkdown,0.59876,RAW_Masaha
32332.json,0.59871,RAWrabicaShamAY2
1589.json,0.59862,RAWrabicaShamAY1
32184.json,0.59785,RAWrabicaShamAY2
7401.json,0.5977,RAW_ABLibrary
31975.json,0.59761,RAWrabicaShamAY2
Sham30K0033844,0.59755,RAWrabica020000
0692IbnCisaBahaDinIrbili.TadhkiraFakhriyya.Shamela0000724-ara1,0.59727,RELEASE
8760.json,0.59726,RAW_ABLibrary
0692IbnCisaBahaDinIrbili.TadhkiraFakhriyya.JK010724-ara1,0.59724,RELEASE
2679.html,0.59684,RAWrabicaRafed
475.json,0.59668,RAWrabicaShamAY1
1070MuhammadKibrit.JawahirThamina.ShamAY0038440-ara1,0.59663,RELEASE
Shamela020986.txt,0.59637,raw_ShamelaY19
8593.json,0.59612,RAW_ABLibrary
3457.html,0.59608,RAWrabicaRafed
33772.json,0.59595,RAWrabicaShamAY2
10551.json,0.59591,RAWrabicaShamAY1
1253IbnMuhammadAnsariShirwani.NafhatYaman.Shamela0035888-ara1,0.59591,RELEASE
10501.bok.json,0.59586,RAWrabicaSham19Y
8751.json,0.59586,RAW_ABLibrary
0984BadrDinGhazzi.MatalicBadriya.Shamela0037060-ara1,0.59558,RELEASE
7402.json,0.59544,RAW_ABLibrary
1250Shawkani.AdabTalab.Shamela0006854-ara1,0.59542,RELEASE
1250Shawkani.AdabTalab.JK006955-ara1,0.59541,RELEASE
23775.json,0.59533,RAWrabicaShamAY2
361.html,0.59493,RAWrabicaRafed
1290CabdGhaffarAkhras.Diwan.JK007640-ara1,0.59484,RELEASE
1290CabdGhaffarAkhras.Diwan.ShamAY0037954-ara1,0.59479,RELEASE
33746.json,0.59467,RAWrabicaShamAY2
10501.json,0.59451,RAWrabicaShamAY1
8910.json,0.5945,RAW_ABLibrary
21510.bok.json,0.59409,RAWrabicaSham19Y
724.json,0.59402,RAWrabicaShamAY1
Sham30K0008305,0.59395,RAWrabica010000
0685IbnSacidMaghribi.Muqtataf.Shamela0009100-ara1,0.59384,RELEASE
6854.json,0.59381,RAWrabicaShamAY1
38891.json,0.59368,RAWrabicaShamAY3
32247.json,0.59363,RAWrabicaShamAY2
Shamela023775.txt,0.59348,raw_ShamelaY19
365.html,0.59341,RAWrabicaRafed
1008DawudAntaki.TazyinAswaq.Shamela0000630-ara1,0.59325,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.59311,RELEASE
1008DawudAntaki.TazyinAswaq.JK009233-ara1,0.59306,RELEASE
12815.json,0.59304,RAWrabicaShamAY2
563.json,0.59302,RAWrabicaShamAY1
443.json,0.59289,RAWrabicaShamAY1
0597IbnJawzi.TadhkiraFiWacz.JK000074-ara1,0.59258,RELEASE
3150.html,0.59246,RAWrabicaRafed
8789.json,0.59243,RAW_ABLibrary
0597IbnJawzi.TadhkiraFiWacz.Shamela0006858-ara1,0.59238,RELEASE
2347.html,0.59229,RAWrabicaRafed
3616.html,0.59197,RAWrabicaRafed
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,0.59196,RELEASE
