unknown,TFIDF_cosine,libVar
0681IbnKhallikan.WafayatAcyan.JK001318-ara1,0.99278,RELEASE
0681IbnKhallikan.WafayatAcyan.Shia003505Vols-ara1,0.98704,RELEASE
1000.json,0.97856,RAWrabicaShamAY1
1307Qannawji.TajMukallal.Sham19Y0017349-ara1,0.87804,RELEASE
1307Qannawji.TajMukallal.Sham19Y0017349-ara1,0.87775,RELEASE
32275.json,0.8764,RAWrabicaShamAY2
0646IbnQifti.InbahRuwat.Shamela0010525-ara1,0.85151,RELEASE
0646IbnQifti.InbahRuwat.Shamela0010525-ara1,0.85132,RELEASE
Shia003505Vols,0.84995,RAWrabica045000
0764Safadi.WafiBiWafayat.Sham30K0006677-ara1,0.84569,RELEASE
0764Safadi.WafiBiWafayat.Shia003564Vols-ara1,0.84322,RELEASE
0764Safadi.WafiBiWafayat.Sham30K0045089-ara1,0.84307,RELEASE
0764Safadi.WafiBiWafayat.JK003609-ara1,0.84299,RELEASE
0764Safadi.WafiBiWafayat.Shamela0006677-ara1,0.84293,RELEASE
0764Safadi.WafiBiWafayat.Sham30K0033390-ara2,0.84287,RELEASE
0764Safadi.WafiBiWafayat.JK003609-ara1,0.84262,RELEASE
32241.json,0.84086,RAWrabicaShamAY2
38166.json,0.83946,RAWrabicaShamAY3
1359CabbasQummi.Kuna.Shia003764Vols-ara1,0.83646,RELEASE
1111MuhammadAminMuhibbi.KhulasatAthar.JK003502-ara1,0.83641,RELEASE
1359CabbasQummi.Kuna.Shia003764Vols-ara1,0.83634,RELEASE
6678.bok.json,0.83414,RAWrabicaSham19Y
1111MuhammadAminMuhibbi.KhulasatAthar.Shamela0006678-ara1,0.83403,RELEASE
1111MuhammadAminMuhibbi.KhulasatAthar.JK003502-ara1,0.83387,RELEASE
0764Safadi.NaktHimyan.Shamela0028182-ara1,0.83375,RELEASE
0764Safadi.NaktHimyan.JK010550-ara1,0.8336,RELEASE
