unknown,TFIDF_cosine,libVar
0685IbnSacidMaghribi.Jughrafiya.Shamela0000463-ara1,0.99999,RELEASE
463.json,0.99997,RAWrabicaShamAY1
9028.json,0.70609,RAW_ABLibrary
2296.html,0.706,RAWrabicaRafed
003961.automARkdown,0.70458,RAW_Masaha
0732AbuFida.TaqwimBuldan.ShamDhahabiyya0056999-ara1,0.70287,RELEASE
11104.automARkdown,0.69897,RAW_Ghbook
004656.automARkdown,0.57824,RAW_Masaha
8939.json,0.57059,RAW_ABLibrary
2187.html,0.56667,RAWrabicaRafed
11087.automARkdown,0.55508,RAW_Ghbook
11568.json,0.48893,RAWrabicaShamAY2
11787.json,0.4887,RAWrabicaShamAY2
8918.json,0.47638,RAW_ABLibrary
1916.html,0.47104,RAWrabicaRafed
004478.automARkdown,0.46935,RAW_Masaha
004380.automARkdown,0.46812,RAW_Masaha
12320.json,0.46701,RAWrabicaShamAY2
0808IbnKhaldun.Tarikh.Shamela0012320-ara1,0.46517,RELEASE
3298.json,0.46397,RAWrabicaShamAY1
0808IbnKhaldun.Tarikh.Zaydiyya0000152-ara1,0.46374,RELEASE
0808IbnKhaldun.Tarikh.Shia003607Vols-ara1,0.46371,RELEASE
0808IbnKhaldun.Tarikh.JK000420-ara1,0.4637,RELEASE
0852SirajDinIbnWardi.KharidatCajaib.Shamela0003298-ara1,0.46238,RELEASE
33819.json,0.46207,RAWrabicaShamAY2
9164.json,0.45973,RAW_ABLibrary
2485.html,0.45962,RAWrabicaRafed
Sham30K0033832,0.45762,RAWrabica020000
2213.html,0.45612,RAWrabicaRafed
9042.json,0.45565,RAW_ABLibrary
9129.json,0.45459,RAW_ABLibrary
004089Vols.automARkdown,0.45255,RAW_Masaha
004351Vols.automARkdown,0.4448,RAW_Masaha
2319.html,0.44409,RAWrabicaRafed
9233.json,0.44387,RAW_ABLibrary
Shia003607Vols,0.44323,RAWrabica045000
0845Maqrizi.Mawaciz.Shamela0011566-ara1,0.44213,RELEASE
11566.json,0.44079,RAWrabicaShamAY2
Sham30K0034134,0.435,RAWrabica020000
9034.json,0.43461,RAW_ABLibrary
1228MahmudMaqdishSafaqsi.NuzhatAnzar.Sham19Y0017048-ara1,0.43298,RELEASE
004471Vols.automARkdown,0.43165,RAW_Masaha
8933.json,0.43078,RAW_ABLibrary
2458.html,0.43075,RAWrabicaRafed
3786.html,0.42868,RAWrabicaRafed
11780.bok.json,0.42773,RAWrabicaSham19Y
004570.automARkdown,0.42756,RAW_Masaha
004394.automARkdown,0.42729,RAW_Masaha
0749IbnFadlAllahCumari.MasalikAbsar.JK010407-ara1,0.42727,RELEASE
11780.json,0.426,RAWrabicaShamAY2
0900AbuCabdAllahHimyari.RawdMictar.JK009398-ara1,0.42475,RELEASE
004113.automARkdown,0.42356,RAW_Masaha
11684.bok.json,0.42144,RAWrabicaSham19Y
9203.json,0.42052,RAW_ABLibrary
0600KatibMarrakushi.Istibsar.Shamela0011684-ara1,0.42042,RELEASE
11684.json,0.41966,RAWrabicaShamAY2
0733Nuwayri.NihayatArab.JK009238-ara1,0.41829,RELEASE
0733Nuwayri.NihayatArab.Zaydiyya0000261-ara1,0.41784,RELEASE
0900AbuCabdAllahHimyari.RawdMictar.Shamela0001043-ara1,0.41781,RELEASE
9132.json,0.4174,RAW_ABLibrary
2448.html,0.41598,RAWrabicaRafed
2303.html,0.41297,RAWrabicaRafed
Shamela023718.txt,0.41202,raw_ShamelaY19
1344.json,0.41135,RAWrabicaShamAY1
Shia003491Vols,0.41102,RAWrabica045000
1043.json,0.4103,RAWrabicaShamAY1
0900AbuCabdAllahHimyari.RawdMictar.Shamela0001344-ara1,0.41027,RELEASE
0900AbuCabdAllahHimyari.RawdMictar.JK009397-ara1,0.40978,RELEASE
1043.bok.json,0.40955,RAWrabicaSham19Y
003070Vols.automARkdown,0.40815,RAW_Masaha
23718.json,0.40806,RAWrabicaShamAY2
004655.automARkdown,0.4067,RAW_Masaha
Sham30K0034098,0.40531,RAWrabica020000
Sham30K0002701,0.40427,RAWrabica005000
259.json,0.40419,RAWrabicaShamAY1
2538.html,0.40402,RAWrabicaRafed
0733Nuwayri.NihayatArab.Shamela0010283-ara1,0.40307,RELEASE
Sham30K0034110,0.40305,RAWrabica020000
9293.json,0.40295,RAW_ABLibrary
004846.automARkdown,0.40226,RAW_Masaha
349.html,0.40147,RAWrabicaRafed
1346LuisShikhuYasuci.MajaniAdab.Sham19Y0000259-ara1,0.40019,RELEASE
11680.json,0.40014,RAWrabicaShamAY2
9201.json,0.39862,RAW_ABLibrary
004490.automARkdown,0.39784,RAW_Masaha
Shamela023644.txt,0.39755,raw_ShamelaY19
8917.json,0.39722,RAW_ABLibrary
9205.json,0.39696,RAW_ABLibrary
004128.automARkdown,0.396,RAW_Masaha
10283.json,0.39438,RAWrabicaShamAY1
38953.json,0.39432,RAWrabicaShamAY3
33789.json,0.39429,RAWrabicaShamAY2
429.json,0.39417,RAWrabicaShamAY1
9631.json,0.39398,RAWrabicaShamAY1
0654SibtIbnJawzi.MiratZaman.SHAM19Y23644-ara1,0.3931,RELEASE
003951Vols.automARkdown,0.39235,RAW_Masaha
0682ZakariyaQazwini.AtharBilad.JK010459-ara1,0.39182,RELEASE
0682ZakariyaQazwini.AtharBilad.Shamela0009631-ara1,0.3918,RELEASE
0733Nuwayri.NihayatArab.Sham30K0005176-ara1,0.39145,RELEASE
0733Nuwayri.NihayatArab.ShamAY0033789-ara1,0.39128,RELEASE
2619.html,0.39065,RAWrabicaRafed
1054.html,0.39059,RAWrabicaRafed
10809.bok.json,0.39023,RAWrabicaSham19Y
1450YusufHadi.HududCalam.Shamela0010809-ara1,0.38999,RELEASE
Shia003484,0.38953,RAWrabica045000
10809.json,0.3888,RAWrabicaShamAY2
6707.bok.json,0.38864,RAWrabicaSham19Y
6707.json,0.38808,RAWrabicaShamAY1
Shamela023735.txt,0.38802,raw_ShamelaY19
004484.automARkdown,0.38747,RAW_Masaha
2274.html,0.38709,RAWrabicaRafed
9032.json,0.38656,RAW_ABLibrary
9023.json,0.38601,RAW_ABLibrary
9097.json,0.38598,RAW_ABLibrary
Shamela037345.txt,0.38575,raw_ShamelaY19
23849.json,0.38554,RAWrabicaShamAY2
1745.html,0.38552,RAWrabicaRafed
004844.automARkdown,0.38536,RAW_Masaha
9136.json,0.38531,RAW_ABLibrary
622.json,0.3849,RAWrabicaShamAY1
23735.bok.json,0.38481,RAWrabicaSham19Y
004831.automARkdown,0.38397,RAW_Masaha
004475.automARkdown,0.38366,RAW_Masaha
0626YaqutHamawi.MucjamBuldan.Shia003435Vols-ara1,0.38364,RELEASE
Shamela023849.txt,0.38348,raw_ShamelaY19
8919.json,0.38323,RAW_ABLibrary
002942Vols.automARkdown,0.38273,RAW_Masaha
752.json,0.38262,RAW_ABLibrary
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.38261,RELEASE
23735.json,0.3825,RAWrabicaShamAY2
9088.json,0.382,RAW_ABLibrary
Sham30K0033852,0.38163,RAWrabica020000
1002.json,0.38145,RAWrabicaShamAY1
Shamela023696.txt,0.38123,raw_ShamelaY19
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1,0.38099,RELEASE
0733Nuwayri.NihayatArab.Sham30K0010283-ara1,0.38097,RELEASE
9109.json,0.37975,RAW_ABLibrary
3770.html,0.37974,RAWrabicaRafed
11767.json,0.37965,RAWrabicaShamAY2
9204.json,0.37962,RAW_ABLibrary
8620.json,0.37917,RAWrabicaShamAY1
003715.automARkdown,0.37904,RAW_Masaha
2399.html,0.37902,RAWrabicaRafed
7454.json,0.379,RAWrabicaShamAY1
17048.bok.json,0.37898,RAWrabicaSham19Y
2321.html,0.37891,RAWrabicaRafed
8620.bok.json,0.37887,RAWrabicaSham19Y
0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1,0.37832,RELEASE
9041.json,0.37787,RAW_ABLibrary
32217.json,0.37746,RAWrabicaShamAY2
2385.html,0.37662,RAWrabicaRafed
9092.json,0.37593,RAW_ABLibrary
11685.bok.json,0.37581,RAWrabicaSham19Y
2358.html,0.37563,RAWrabicaRafed
9074.json,0.37496,RAW_ABLibrary
9188.json,0.3741,RAW_ABLibrary
11685.json,0.37397,RAWrabicaShamAY2
9297.json,0.3738,RAW_ABLibrary
9068.json,0.37344,RAW_ABLibrary
1041Maqqari.NafhTib.Shamela0001002-ara1,0.37335,RELEASE
9122.json,0.37333,RAW_ABLibrary
9024.json,0.37324,RAW_ABLibrary
2398.html,0.37322,RAWrabicaRafed
Shia003435Vols,0.37311,RAWrabica045000
2185.html,0.37309,RAWrabicaRafed
23696.json,0.37253,RAWrabicaShamAY2
004382.automARkdown,0.37252,RAW_Masaha
2786.html,0.37249,RAWrabicaRafed
0749IbnFadlAllahCumari.MasalikAbsar.Shamela0011790-ara1,0.37219,RELEASE
Shamela0008620,0.37186,RAWrabica035000
004092.automARkdown,0.37185,RAW_Masaha
10791.json,0.37163,RAWrabicaShamAY2
11269.json,0.37154,RAWrabicaShamAY2
004551.automARkdown,0.37081,RAW_Masaha
004385.automARkdown,0.37051,RAW_Masaha
004574.automARkdown,0.37043,RAW_Masaha
9288.json,0.37021,RAW_ABLibrary
2273.html,0.37001,RAWrabicaRafed
2460.html,0.36902,RAWrabicaRafed
9076.json,0.368,RAW_ABLibrary
9180.json,0.36727,RAW_ABLibrary
004170.automARkdown,0.36699,RAW_Masaha
9165.json,0.36694,RAW_ABLibrary
2494.html,0.3669,RAWrabicaRafed
2286.html,0.36617,RAWrabicaRafed
9070.json,0.36607,RAW_ABLibrary
004572.automARkdown,0.36595,RAW_Masaha
