unknown,TFIDF_cosine,libVar
0686RadiDinAstarabadhi.SharhRadiCalaKafiya.ShamAY0034696-ara3,0.99961,RELEASE
0686RadiDinAstarabadhi.SharhRadiCalaKafiya.Shia003928Vols-ara1,0.99934,RELEASE
34696.json,0.99906,RAWrabicaShamAY3
34703.json,0.97521,RAWrabicaShamAY3
1797.html,0.9752,RAWrabicaRafed
Shia003928Vols,0.90054,RAWrabica045000
0837JamalDinSancani.BurudDafiya.ShamAY0037087-ara1,0.84881,RELEASE
0837JamalDinSancani.BurudDafiya.ShamAY0037087-ara1,0.84735,RELEASE
1800.html,0.83734,RAWrabicaRafed
0911Suyuti.HamcHawamic.JK006705-ara1,0.83619,RELEASE
2815.html,0.83569,RAWrabicaRafed
6975.json,0.83472,RAWrabicaShamAY1
0911Suyuti.HamcHawamic.Shamela0006975-ara1,0.83445,RELEASE
0911Suyuti.HamcHawamic.JK006705-ara1,0.83443,RELEASE
0581AbuQasimSuhayli.NataijFikrFiNahw.Shamela0000613-ara1,0.8337,RELEASE
613.json,0.83284,RAWrabicaShamAY1
0827BadrDinDamaminiMakhzumi.TacliqFaraid.Sham19Y0020985-ara1,0.83283,RELEASE
Shamela020985.txt,0.83114,raw_ShamelaY19
0827BadrDinDamaminiMakhzumi.TacliqFaraid.Sham19Y0020985-ara1,0.83112,RELEASE
1824.html,0.83072,RAWrabicaRafed
0646IbnCumarIbnHajibKurdi.NajmThaqib.Zaydiyya0000370-ara1,0.82961,RELEASE
38966.json,0.8285,RAWrabicaShamAY3
0646IbnCumarIbnHajibKurdi.NajmThaqib.Zaydiyya0000370-ara1,0.82806,RELEASE
0567IbnKhashshabBaghdadi.Murtajal.Sham19Y0018262-ara1,0.82729,RELEASE
003068Vols.automARkdown,0.82476,RAW_Masaha
0745AbuHayyanGharnati.TadhyilTashil.Sham19Y0017116-ara1,0.82436,RELEASE
2277.html,0.8239,RAWrabicaRafed
38958.json,0.82294,RAWrabicaShamAY3
38977.json,0.82294,RAWrabicaShamAY3
0745AbuHayyanGharnati.TadhyilTashil.Sham19Y0017116-ara1,0.82281,RELEASE
32515.json,0.82005,RAWrabicaShamAY2
1799.html,0.82,RAWrabicaRafed
1952.html,0.8135,RAWrabicaRafed
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.8124,RELEASE
16322.automARkdown,0.81228,RAW_Ghbook
7037.json,0.81169,RAWrabicaShamAY1
7037.bok.json,0.81153,RAWrabicaSham19Y
1094IbnMusaKaffawi.Kulliyat.Shamela0007037-ara1,0.81104,RELEASE
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.811,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.ShamAY0034433-ara1,0.80902,RELEASE
2629.html,0.80753,RAWrabicaRafed
12003.bok.json,0.80734,RAWrabicaSham19Y
2006.html,0.8071,RAWrabicaRafed
0751IbnQayyimJawziyya.BadaicFawaid.Shamela0012003-ara1,0.80687,RELEASE
0790IbnMusaGharnatiShatibi.SharhAlfiyyatIbnMalik.Sham19Y0020562-ara1,0.80681,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.JK000064-ara1,0.80662,RELEASE
34433.json,0.80647,RAWrabicaShamAY3
34422.json,0.80612,RAWrabicaShamAY3
Shamela020562.txt,0.80576,raw_ShamelaY19
12003.json,0.80511,RAWrabicaShamAY2
0790IbnMusaGharnatiShatibi.SharhAlfiyyatIbnMalik.Sham19Y0020562-ara1,0.80401,RELEASE
0643IbnYacish.SharhMufassal.Sham19Y0013301-ara1,0.80292,RELEASE
2058.html,0.80233,RAWrabicaRafed
0643IbnYacish.SharhMufassal.Sham19Y0013301-ara1,0.80208,RELEASE
2576.html,0.80126,RAWrabicaRafed
15579.automARkdown,0.80041,RAW_Ghbook
2615.html,0.7991,RAWrabicaRafed
0672IbnMalikJayyaniTai.SharhTashilFawaid.Sham19Y0013257-ara1,0.79896,RELEASE
0672IbnMalikJayyaniTai.SharhTashilFawaid.Sham19Y0013257-ara1,0.79773,RELEASE
2284.html,0.79706,RAWrabicaRafed
37045.json,0.79561,RAWrabicaShamAY3
1878.html,0.79548,RAWrabicaRafed
0686IbnNazim.SharhAlfiyya.Sham19Y0018115-ara1,0.79506,RELEASE
0900IbnMuhammadNurDinAshmuni.SharhCalaAlfiyyatMalik.Shamela0011742-ara1,0.79448,RELEASE
0686IbnNazim.SharhAlfiyya.Sham19Y0018115-ara1,0.79439,RELEASE
0377IbnAhmadFarisi.MasailHalabiyyat.Sham19Y0018265-ara1,0.79397,RELEASE
1844.html,0.79394,RAWrabicaRafed
31770.json,0.79377,RAWrabicaShamAY2
2089.html,0.79375,RAWrabicaRafed
0686RadiDinAstarabadhi.SharhShafiyaIbnHajib.Shia003932Vols-ara1,0.79357,RELEASE
18115.bok.json,0.79324,RAWrabicaSham19Y
0900IbnMuhammadNurDinAshmuni.SharhCalaAlfiyyatMalik.Shamela0011742-ara1,0.79322,RELEASE
Shamela019236.txt,0.79234,raw_ShamelaY19
2016.html,0.79196,RAWrabicaRafed
0950ShaykhZadah.SharhQawacidIcrab.Sham19Y0019236-ara1,0.79189,RELEASE
0672IbnMalikJayyaniTai.SharhKafiya.Shamela0012024-ara1,0.79176,RELEASE
8402.json,0.79147,RAW_ABLibrary
32585.json,0.79109,RAWrabicaShamAY2
0377IbnAhmadFarisi.MasailCaskariyyat.Sham19Y0018267-ara1,0.79067,RELEASE
0950ShaykhZadah.SharhQawacidIcrab.Sham19Y0019236-ara1,0.79059,RELEASE
0686RadiDinAstarabadhi.SharhShafiyaIbnHajib.Shia003932Vols-ara1,0.79051,RELEASE
0686RadiDinAstarabadhi.SharhShafiyaIbnHajib.Shamela0021567-ara1,0.79033,RELEASE
32697.json,0.78995,RAWrabicaShamAY2
2782.html,0.78995,RAWrabicaRafed
0672IbnMalikJayyaniTai.SharhKafiya.Shamela0012024-ara1,0.78992,RELEASE
37995.json,0.78983,RAWrabicaShamAY3
Shamela021567.txt,0.78973,raw_ShamelaY19
Shamela145410.txt,0.78963,raw_ShamelaY19
0751IbnQayyimJawziyya.BadaicFawaid.Sham19Y0145410-ara1,0.78846,RELEASE
10641.json,0.78816,RAWrabicaShamAY1
0905IbnCabdAllahWaqqadAzhari.SharhTasrih.Shamela0009985-ara1,0.78814,RELEASE
0616MuhibbDinCukbari.TibyanFiIcrabQuran.Sham19Y0013786-ara1,0.78795,RELEASE
1842.html,0.78777,RAWrabicaRafed
0761JamalDinIbnHisham.MughniLabib.Shia003952Vols-ara1,0.78742,RELEASE
2157.html,0.78716,RAWrabicaRafed
0761JamalDinIbnHisham.SharhQatrNada.JK000007-ara1,0.78707,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.Sham19Y0145410-ara1,0.78694,RELEASE
7362.bok.json,0.78688,RAWrabicaSham19Y
7362.json,0.78684,RAWrabicaShamAY1
0761JamalDinIbnHisham.MughniLabib.Shia003952Vols-ara1,0.78629,RELEASE
0905IbnCabdAllahWaqqadAzhari.SharhTasrih.Shamela0009985-ara1,0.78596,RELEASE
2087.html,0.78596,RAWrabicaRafed
0761JamalDinIbnHisham.SharhQatrNada.JK000007-ara1,0.78579,RELEASE
6972.json,0.78574,RAWrabicaShamAY1
0531IbnMuhammadJurjaniHusayni.HashiyaCalaKashshaf.Shia002351-ara1,0.78567,RELEASE
31791.json,0.78544,RAWrabicaShamAY2
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.78543,RELEASE
Shamela029555.txt,0.78507,raw_ShamelaY19
32698.json,0.78491,RAWrabicaShamAY2
0761JamalDinIbnHisham.MughniLabib.JK001131-ara1,0.78477,RELEASE
1913.html,0.78472,RAWrabicaRafed
6970.json,0.78468,RAWrabicaShamAY1
0761JamalDinIbnHisham.MughniLabib.Shamela0006972-ara1,0.78465,RELEASE
0761JamalDinIbnHisham.SharhQatrNada.Shamela0006970-ara1,0.78465,RELEASE
0332IbnWalladTamimi.Intisar.Sham19Y0029555-ara1,0.78464,RELEASE
15659.automARkdown,0.78413,RAW_Ghbook
2070.html,0.7834,RAWrabicaRafed
0458IbnSidaMursi.IcrabQuran.ShamAY0036821-ara1,0.78292,RELEASE
1849.html,0.78264,RAWrabicaRafed
