unknown,TFIDF_cosine,libVar
001017.automARkdown,0.97082,RAW_Masaha
0600QutbdinBayhaqiKaydari.IdahShica.Shia004622-ara1,0.88406,RELEASE
0600QutbdinBayhaqiKaydari.IdahShica.Shia004622-ara1,0.88354,RELEASE
0460ShaykhTusi.Nihaya.Shia000041-ara1,0.87105,RELEASE
001010.automARkdown,0.87099,RAW_Masaha
000953.automARkdown,0.87051,RAW_Masaha
000622.automARkdown,0.86776,RAW_Masaha
0510AbuKhattabKalwadhani.Hidaya.Sham19Y0026094-ara1,0.85962,RELEASE
Shamela026094.txt,0.85898,raw_ShamelaY19
1293.html,0.85852,RAWrabicaRafed
000722Vols.automARkdown,0.85434,RAW_Masaha
0560IbnCaliIbnHamzaTusi.Wasila.Shia000046-ara1,0.85233,RELEASE
0463IbnCabdBarr.KafiFiFiqh.Shamela0007367-ara1,0.85129,RELEASE
0676IbnHasanMuhaqqiqHilli.SharaicIslam.Shia000163VolsBK1-ara1,0.85127,RELEASE
000982.automARkdown,0.85076,RAW_Masaha
7367.json,0.85075,RAWrabicaShamAY1
0481IbnBarrajTarabulusi.Muhadhdhib.Shia000043Vols-ara1,0.85071,RELEASE
0329IbnBabawayh.FiqhRida.Shia000002-ara1,0.84808,RELEASE
34246.json,0.84803,RAWrabicaShamAY3
9666.json,0.84716,RAW_ABLibrary
1269.html,0.84689,RAWrabicaRafed
1276.html,0.84486,RAWrabicaRafed
0605IbnAscadMuradi.Muhadhdhab.Zaydiyya0000071-ara1,0.84473,RELEASE
0605IbnAscadMuradi.Muhadhdhab.Zaydiyya0000071-ara1,0.84467,RELEASE
004950Vols.automARkdown,0.84409,RAW_Masaha
1125IbnGhanimAzhariNafrawi.FawakihDawani.ShamAY0034228-ara1,0.8436,RELEASE
34228.json,0.84104,RAWrabicaShamAY3
Shia002157,0.83811,RAWrabica040000
0424AbuTalibYahyaHaruni.Tahrir.Zaydiyya0000232-ara1,0.83029,RELEASE
000627.automARkdown,0.82998,RAW_Masaha
0428AbuCaliHashimi.IrshadIlaSabilRashad.Sham19Y0013571-ara1,0.82918,RELEASE
000713.automARkdown,0.82903,RAW_Masaha
001030Vols.automARkdown,0.82812,RAW_Masaha
0726CallamaHilli.IrshadAdhhan.Shia000182VolsBK1-ara1,0.82789,RELEASE
000598Vols.automARkdown,0.82742,RAW_Masaha
11373.bok.json,0.8265,RAWrabicaSham19Y
31845.json,0.82647,RAWrabicaShamAY2
000989.automARkdown,0.82645,RAW_Masaha
0676IbnHasanMuhaqqiqHilli.SharaicIslam.Zaydiyya0000244-ara1,0.82473,RELEASE
0726CallamaHilli.QawacidAhkam.Shia000134VolsBK1-ara1,0.82464,RELEASE
0676IbnHasanMuhaqqiqHilli.SharaicIslam.Shia000057Vols-ara1,0.82454,RELEASE
0676IbnHasanMuhaqqiqHilli.SharaicIslam.Shia000057Vols-ara1,0.82434,RELEASE
11373.json,0.82427,RAWrabicaShamAY2
001112Vols.automARkdown,0.8241,RAW_Masaha
0386IbnAbiZaydQayrawani.Risala.Shia000903-ara1,0.82375,RELEASE
0726CallamaHilli.QawacidAhkam.Shia000134VolsBK1-ara1,0.82363,RELEASE
