unknown,TFIDF_cosine,libVar
001044Vols.automARkdown,0.99814,RAW_Masaha
1326.html,0.9265,RAWrabicaRafed
001058Vols.automARkdown,0.85092,RAW_Masaha
0770IbnCallamaHilli.IdahFawaid.Shia000111Vols-ara1,0.83749,RELEASE
0770IbnCallamaHilli.IdahFawaid.Shia000111Vols-ara1,0.83605,RELEASE
001065Vols.automARkdown,0.83413,RAW_Masaha
783.json,0.82978,RAW_ABLibrary
001112Vols.automARkdown,0.82938,RAW_Masaha
0841JamalDinIbnFahdHilli.MuhadhdhabBaric.Shia000126Vols-ara1,0.82749,RELEASE
001080Vols.automARkdown,0.82659,RAW_Masaha
0841JamalDinIbnFahdHilli.MuhadhdhabBaric.Shia000126Vols-ara1,0.82521,RELEASE
784.json,0.82025,RAW_ABLibrary
780.json,0.8195,RAW_ABLibrary
001026Vols.automARkdown,0.81399,RAW_Masaha
2847.html,0.8118,RAWrabicaRafed
001269Vols.automARkdown,0.81178,RAW_Masaha
001423Vols.automARkdown,0.80992,RAW_Masaha
001390Vols.automARkdown,0.80847,RAW_Masaha
0676IbnHasanMuhaqqiqHilli.MuctabarFiSharhMukhtasar.Shia000055Vols-ara1,0.80812,RELEASE
2832.html,0.8076,RAWrabicaRafed
0676IbnHasanMuhaqqiqHilli.MuctabarFiSharhMukhtasar.Shia000055Vols-ara1,0.80735,RELEASE
001520.automARkdown,0.80606,RAW_Masaha
775.json,0.80377,RAW_ABLibrary
774.json,0.80358,RAW_ABLibrary
1159.html,0.80334,RAWrabicaRafed
001116Vols.automARkdown,0.80139,RAW_Masaha
1262.html,0.79903,RAWrabicaRafed
001146.automARkdown,0.79859,RAW_Masaha
2722.html,0.7975,RAWrabicaRafed
779.json,0.79719,RAW_ABLibrary
2845.html,0.79639,RAWrabicaRafed
2831.html,0.79594,RAWrabicaRafed
001185Vols.automARkdown,0.79326,RAW_Masaha
1490.html,0.79221,RAWrabicaRafed
1031BahaDinCamili.HablMatin.Shia000207-ara1,0.79184,RELEASE
1031BahaDinCamili.HablMatin.Shia000207-ara1,0.79072,RELEASE
001208.automARkdown,0.78999,RAW_Masaha
001009.automARkdown,0.78997,RAW_Masaha
1164.html,0.78994,RAWrabicaRafed
001540.automARkdown,0.7897,RAW_Masaha
1414.html,0.7892,RAWrabicaRafed
1391.html,0.78908,RAWrabicaRafed
1037.html,0.78862,RAWrabicaRafed
9633.json,0.78694,RAW_ABLibrary
1009MuhammadCamili.MadarikAhkam.Shia000196Vols-ara1,0.78685,RELEASE
1327.html,0.78613,RAWrabicaRafed
9771.json,0.78548,RAW_ABLibrary
1009MuhammadCamili.MadarikAhkam.Shia000196Vols-ara1,0.78545,RELEASE
2829.html,0.78536,RAWrabicaRafed
569.html,0.78499,RAWrabicaRafed
755.json,0.7848,RAW_ABLibrary
001140.automARkdown,0.78478,RAW_Masaha
0726CallamaHilli.MuntahaMatlab.Shia000107Vols-ara1,0.78476,RELEASE
0726CallamaHilli.MuntahaMatlab.Shia000107Vols-ara1,0.78475,RELEASE
2827.html,0.78431,RAWrabicaRafed
1036.html,0.78362,RAWrabicaRafed
005061Vols.automARkdown,0.78359,RAW_Masaha
758.json,0.78161,RAW_ABLibrary
001299Vols.automARkdown,0.78119,RAW_Masaha
2870.html,0.78108,RAWrabicaRafed
1418.html,0.78074,RAWrabicaRafed
000828Vols.automARkdown,0.78006,RAW_Masaha
1034.html,0.7799,RAWrabicaRafed
2995.html,0.77967,RAWrabicaRafed
1231MirzaAbuQasimQummi.ManahijAhkam.Shia000296-ara1,0.77947,RELEASE
001084Vols.automARkdown,0.77804,RAW_Masaha
9364.json,0.77785,RAW_ABLibrary
993.json,0.77761,RAW_ABLibrary
1231MirzaAbuQasimQummi.ManahijAhkam.Shia000296-ara1,0.77737,RELEASE
003498.automARkdown,0.77683,RAW_Masaha
1329MuhammadKazimAkhundKhurasani.LamacatNayyira.Shia000399-ara1,0.77674,RELEASE
1149.html,0.77647,RAWrabicaRafed
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.77614,RELEASE
1816.html,0.77542,RAWrabicaRafed
576.html,0.77538,RAWrabicaRafed
001209Vols.automARkdown,0.77532,RAW_Masaha
6721.automARkdown,0.77512,RAW_Ghbook
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.77489,RELEASE
1329MuhammadKazimAkhundKhurasani.LamacatNayyira.Shia000399-ara1,0.7746,RELEASE
001106.automARkdown,0.77447,RAW_Masaha
1032.html,0.77429,RAWrabicaRafed
001121Vols.automARkdown,0.77351,RAW_Masaha
001227Vols.automARkdown,0.77325,RAW_Masaha
001442.automARkdown,0.77244,RAW_Masaha
0911Suyuti.HawiLiFatawi.Shamela0021723-ara1,0.77244,RELEASE
001582.automARkdown,0.77225,RAW_Masaha
9349.json,0.77196,RAW_ABLibrary
001102Vols.automARkdown,0.77182,RAW_Masaha
0911Suyuti.HawiLiFatawi.Shamela0021723-ara1,0.77182,RELEASE
1112.html,0.77161,RAWrabicaRafed
001398Vols.automARkdown,0.77148,RAW_Masaha
1051IbnYunusBuhutiHanbali.MinahShafiyat.Sham19Y0006538-ara1,0.77121,RELEASE
1110.html,0.77118,RAWrabicaRafed
Shamela021723.txt,0.77111,raw_ShamelaY19
001272Vols.automARkdown,0.77092,RAW_Masaha
0911Suyuti.HawiLiFatawi.JK009241-ara1,0.77088,RELEASE
1384.html,0.77043,RAWrabicaRafed
7431.json,0.77003,RAW_ABLibrary
1051IbnYunusBuhutiHanbali.MinahShafiyat.Sham19Y0006538-ara1,0.76926,RELEASE
21723.json,0.76894,RAWrabicaShamAY2
001291Vols.automARkdown,0.76878,RAW_Masaha
9329.json,0.76869,RAW_ABLibrary
1281MurtadaAnsari.Salat.Shia000368Vols-ara1,0.7685,RELEASE
1363.html,0.76839,RAWrabicaRafed
3241.html,0.76717,RAWrabicaRafed
1553.html,0.76711,RAWrabicaRafed
1406.html,0.76704,RAWrabicaRafed
782.json,0.767,RAW_ABLibrary
2826.html,0.76691,RAWrabicaRafed
9338.json,0.76688,RAW_ABLibrary
1281MurtadaAnsari.Salat.Shia000368Vols-ara1,0.76686,RELEASE
001449Vols.automARkdown,0.76655,RAW_Masaha
0984WalidBahaiCamili.WusulAkhyar.Shia001403-ara1,0.76626,RELEASE
1066.html,0.76547,RAWrabicaRafed
8347.json,0.76528,RAW_ABLibrary
1009MuhammadCamili.NihayatMaram.Shia000204Vols-ara1,0.7651,RELEASE
991.json,0.76506,RAW_ABLibrary
0984WalidBahaiCamili.WusulAkhyar.Shia001403-ara1,0.76486,RELEASE
567.html,0.76483,RAWrabicaRafed
1030.html,0.76475,RAWrabicaRafed
1145.html,0.7646,RAWrabicaRafed
1251.html,0.7646,RAWrabicaRafed
2767.html,0.76421,RAWrabicaRafed
001525Vols.automARkdown,0.76415,RAW_Masaha
2825.html,0.76414,RAWrabicaRafed
1009MuhammadCamili.NihayatMaram.Shia000204Vols-ara1,0.76408,RELEASE
0879IbnQutlubugha.MajmucRasail.Sham19Y0016817-ara1,0.76363,RELEASE
2698.html,0.76352,RAWrabicaRafed
1352.html,0.76325,RAWrabicaRafed
1041MuhammadBaqirDamadAstarabadi.RawashihSamawiyya.Shia001414-ara1,0.76321,RELEASE
9398.json,0.76311,RAW_ABLibrary
Shamela037550.txt,0.76249,raw_ShamelaY19
001171Vols.automARkdown,0.76235,RAW_Masaha
519.html,0.76225,RAWrabicaRafed
992.json,0.76215,RAW_ABLibrary
34351.json,0.76212,RAWrabicaShamAY3
0861IbnHumam.SharhFathQadir.JK000299-ara1,0.7621,RELEASE
1041MuhammadBaqirDamadAstarabadi.RawashihSamawiyya.Shia001414-ara1,0.76194,RELEASE
0879IbnQutlubugha.MajmucRasail.Sham19Y0016817-ara1,0.76185,RELEASE
0861IbnHumam.SharhFathQadir.JK000299-ara1,0.76183,RELEASE
005108Vols.automARkdown,0.76181,RAW_Masaha
37663.json,0.76146,RAWrabicaShamAY3
001431Vols.automARkdown,0.76092,RAW_Masaha
Shamela021744.txt,0.76085,raw_ShamelaY19
0616IbnShash.CiqdJawahir.Sham19Y0014594-ara1,0.76058,RELEASE
0786ShahidAwwal.Dhikra.Shia000121Vols-ara1,0.76048,RELEASE
9971.automARkdown,0.76038,RAW_Ghbook
2996.html,0.76034,RAWrabicaRafed
003595.automARkdown,0.76008,RAW_Masaha
0424AbuTalibYahyaHaruni.Tahrir.Zaydiyya0000232-ara1,0.75973,RELEASE
0616IbnShash.CiqdJawahir.Sham19Y0014594-ara1,0.7597,RELEASE
8371.json,0.75953,RAW_ABLibrary
1584.html,0.7595,RAWrabicaRafed
1264.html,0.75949,RAWrabicaRafed
1014MullaCaliQari.FathBabCinaya.ShamAY0033181-ara1,0.75925,RELEASE
1014MullaCaliQari.FathBabCinaya.ShamAY0033181-ara1,0.75922,RELEASE
0734IbnCaliTajDinFakihani.RiyadAfham.Sham19Y0017350-ara1,0.75918,RELEASE
8513.json,0.75918,RAW_ABLibrary
000814Vols.automARkdown,0.75916,RAW_Masaha
001453Vols.automARkdown,0.75896,RAW_Masaha
776.json,0.7589,RAW_ABLibrary
0573IbnHibatAllahQutbDinRawandi.FiqhQuran.Shia002369Vols-ara1,0.75883,RELEASE
546.html,0.75883,RAWrabicaRafed
0786ShahidAwwal.Dhikra.Shia000121Vols-ara1,0.75867,RELEASE
1011.html,0.75856,RAWrabicaRafed
14594.bok.json,0.75855,RAWrabicaSham19Y
1540.html,0.75853,RAWrabicaRafed
757.json,0.75837,RAW_ABLibrary
21744.json,0.75833,RAWrabicaShamAY2
0734IbnCaliTajDinFakihani.RiyadAfham.Sham19Y0017350-ara1,0.75828,RELEASE
3183.html,0.75802,RAWrabicaRafed
541.html,0.75766,RAWrabicaRafed
1902.html,0.75759,RAWrabicaRafed
1141.html,0.75736,RAWrabicaRafed
556.html,0.75729,RAWrabicaRafed
568.html,0.75728,RAWrabicaRafed
9345.json,0.75703,RAW_ABLibrary
0855BadrDinCayni.BinayaSharhHidaya.Shamela0000427BK2-ara1,0.75675,RELEASE
001168.automARkdown,0.75656,RAW_Masaha
0855BadrDinCayni.BinayaSharhHidaya.Shamela0000427BK2-ara1,0.75656,RELEASE
001130Vols.automARkdown,0.75645,RAW_Masaha
1288.html,0.75642,RAWrabicaRafed
1186YusufBahraniMuhaqqiq.HadaiqNadira.Shia000234Vols-ara1,0.75642,RELEASE
1028.html,0.75607,RAWrabicaRafed
1014MullaCaliQari.Rasail.ShamAY0036182-ara1,0.756,RELEASE
004682.automARkdown,0.75599,RAW_Masaha
001445.automARkdown,0.75599,RAW_Masaha
000274Vols.automARkdown,0.75598,RAW_Masaha
1323.html,0.75595,RAWrabicaRafed
004902Vols.automARkdown,0.75584,RAW_Masaha
32019.json,0.75583,RAWrabicaShamAY2
1120CaliKhanMadani.RiyadSalihin.Shia001544Vols-ara1,0.75581,RELEASE
994.json,0.75542,RAW_ABLibrary
923.json,0.75531,RAW_ABLibrary
001267.automARkdown,0.75522,RAW_Masaha
33181.json,0.75515,RAWrabicaShamAY2
15435.automARkdown,0.7551,RAW_Ghbook
1014MullaCaliQari.Rasail.ShamAY0036182-ara1,0.75506,RELEASE
1325.html,0.75505,RAWrabicaRafed
1339ShaykhSharicaIsbahani.QawlSurah.Shia001561-ara1,0.75497,RELEASE
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.75491,RELEASE
2876.html,0.7549,RAWrabicaRafed
1120CaliKhanMadani.RiyadSalihin.Shia001544Vols-ara1,0.75479,RELEASE
001443.automARkdown,0.75477,RAW_Masaha
32244.json,0.75472,RAWrabicaShamAY2
1186YusufBahraniMuhaqqiq.HadaiqNadira.Shia000234Vols-ara1,0.75455,RELEASE
2442Vols.automARkdown,0.75453,RAW_Ghbook
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.75445,RELEASE
3573.html,0.75433,RAWrabicaRafed
96844.bok.json,0.75422,RAWrabicaSham19Y
427.json,0.75422,RAWrabicaShamAY1
2006.json,0.75418,RAWrabicaShamAY1
3300.html,0.75398,RAWrabicaRafed
1339ShaykhSharicaIsbahani.QawlSurah.Shia001561-ara1,0.75388,RELEASE
8517.json,0.75362,RAW_ABLibrary
0804IbnMulaqqin.MuqnicFiCulumHadith.JK000996-ara1,0.75346,RELEASE
1250Shawkani.NaylAwtar.Shia001060Vols-ara1,0.75344,RELEASE
001264.automARkdown,0.75343,RAW_Masaha
Shamela096844.txt,0.75339,raw_ShamelaY19
8893.json,0.75336,RAW_ABLibrary
0911Suyuti.SharhSunanNasai.Shia001837Vols-ara1,0.75317,RELEASE
3686.html,0.7531,RAWrabicaRafed
1896.html,0.75302,RAWrabicaRafed
0804IbnMulaqqin.MuqnicFiCulumHadith.Shamela0005976-ara1,0.753,RELEASE
0954HattabRucayniMaghribi.MawahibJalil.Shamela0000569-ara1,0.75299,RELEASE
0804IbnMulaqqin.MuqnicFiCulumHadith.JK000996-ara1,0.75292,RELEASE
5976.bok.json,0.75287,RAWrabicaSham19Y
1022.html,0.7528,RAWrabicaRafed
000987.automARkdown,0.75272,RAW_Masaha
7902.json,0.75265,RAW_ABLibrary
575.html,0.75255,RAWrabicaRafed
5976.json,0.75254,RAWrabicaShamAY1
31785.json,0.75247,RAWrabicaShamAY2
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1,0.75245,RELEASE
8439.json,0.75227,RAW_ABLibrary
1137IbnHasanBahaDinIsbahani.KashfLitham.Shia000231Vols-ara1,0.75227,RELEASE
565.html,0.75219,RAWrabicaRafed
1281MurtadaAnsari.Salat.Shia000370-ara1,0.7521,RELEASE
1026.html,0.75206,RAWrabicaRafed
12080.automARkdown,0.75205,RAW_Ghbook
360.json,0.75189,RAWrabicaShamAY1
1024.html,0.75188,RAWrabicaRafed
1806.html,0.75187,RAWrabicaRafed
0794BadrDinZarkashi.IclamSajid.Sham19Y0014452-ara1,0.75172,RELEASE
569.json,0.75172,RAWrabicaShamAY1
0726CallamaHilli.QawacidAhkam.Shia000134VolsBK1-ara1,0.7517,RELEASE
9606.json,0.75159,RAW_ABLibrary
1823.html,0.75152,RAWrabicaRafed
0329IbnBabawayh.FiqhRida.Shia000002-ara1,0.75141,RELEASE
0794BadrDinZarkashi.IclamSajid.Sham19Y0014452-ara1,0.7514,RELEASE
10766.automARkdown,0.75139,RAW_Ghbook
001941.automARkdown,0.75132,RAW_Masaha
3713.html,0.75124,RAWrabicaRafed
3237.html,0.75122,RAWrabicaRafed
9666.json,0.75119,RAW_ABLibrary
1091MuhammadMuhsinFaydKashani.UsulAsila.Shia002758-ara1,0.75115,RELEASE
0808MuhammadDamiri.NajmWahhaj.Sham19Y0013783-ara1,0.7511,RELEASE
0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,0.75108,RELEASE
8890.json,0.751,RAW_ABLibrary
3896.html,0.75098,RAWrabicaRafed
001796Vols.automARkdown,0.75097,RAW_Masaha
768.json,0.75094,RAW_ABLibrary
8412.json,0.75089,RAW_ABLibrary
0954HattabRucayniMaghribi.MawahibJalil.Shia000906Vols-ara1,0.75087,RELEASE
0911Suyuti.SharhSunanNasai.Shamela0000360-ara1,0.75084,RELEASE
0861IbnHumam.FathQadir.Shamela0021744-ara1,0.75081,RELEASE
9751.json,0.75076,RAW_ABLibrary
0911Suyuti.SharhSunanNasai.JK000553-ara1,0.75068,RELEASE
0689IbnSacidYahyaHilli.NuzhatNazir.Shia000062-ara1,0.75062,RELEASE
10541.json,0.7506,RAWrabicaShamAY1
0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,0.75047,RELEASE
14452.bok.json,0.75041,RAWrabicaSham19Y
0808MuhammadDamiri.NajmWahhaj.Sham19Y0013783-ara1,0.7504,RELEASE
001464Vols.automARkdown,0.7504,RAW_Masaha
1180CabdAllahJazairi.TuhfaSaniyya.Shia000233-ara1,0.7503,RELEASE
