unknown,TFIDF_cosine,libVar
0692TaqiDinIscirdi.FadailKitabJamic.JK000648-ara1,0.99939,RELEASE
6028.json,0.99933,RAWrabicaShamAY1
0692TaqiDinIscirdi.FadailKitabJamic.Shia002209-ara1,0.99641,RELEASE
Shia002209,0.9411,RAWrabica040000
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.85941,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.85848,RELEASE
9584.bok.json,0.84282,RAWrabicaSham19Y
9584.json,0.84236,RAWrabicaShamAY1
2981.html,0.83624,RAWrabicaRafed
0642IbnNajjar.DhaylTarikhBaghdad.JK009150-ara1,0.83582,RELEASE
2982.html,0.8136,RAWrabicaRafed
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.80959,RELEASE
26726.json,0.80943,RAWrabicaShamAY2
0705SharafDinDimyatti.ArbacunaAbdal.Shamela0010447-ara1,0.80857,RELEASE
0680IbnSabuni.AhadithMuntaqatArbacun.ShamAY0032746-ara1,0.80856,RELEASE
10447.json,0.80852,RAWrabicaShamAY1
2137.html,0.808,RAWrabicaRafed
32746.json,0.80781,RAWrabicaShamAY2
2138.html,0.8072,RAWrabicaRafed
Shamela026726.txt,0.8066,raw_ShamelaY19
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.80426,RELEASE
32843.json,0.80403,RAWrabicaShamAY2
0636IbnYusufBirzaliIshbili.SulukTariqSalaf.Shamela0026560-ara1,0.80294,RELEASE
2139.html,0.80258,RAWrabicaRafed
1135.json,0.80225,RAWrabicaShamAY1
26560.json,0.80218,RAWrabicaShamAY2
2904.html,0.80216,RAWrabicaRafed
34668.json,0.80187,RAWrabicaShamAY3
2980.html,0.8018,RAWrabicaRafed
6031.bok.json,0.80156,RAWrabicaSham19Y
0748IbnDimyati.Mustafad.Shia003310-ara1,0.80151,RELEASE
