unknown,TFIDF_cosine,libVar
33572.json,0.97734,RAWrabicaShamAY2
Shamela030700.txt,0.89561,raw_ShamelaY19
Shamela030646.txt,0.89498,raw_ShamelaY19
30700.bok.json,0.89386,RAWrabicaSham19Y
0705SharafDinDimyatti.Muwafaqiyyat.Shamela0030700-ara1,0.89354,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.89315,RELEASE
0705SharafDinDimyatti.Muwafaqiyyat.Shamela0030700-ara1,0.89261,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.89211,RELEASE
0611IbnMufaddalMuqaddasi.Arbacuna.Shamela0010441-ara1,0.88918,RELEASE
0761IbnKaykaldiCalai.BughyatMultamis.Shamela0010826-ara1,0.88903,RELEASE
30646.json,0.88877,RAWrabicaShamAY2
0852AbuNucaymMustamli.ArabacinMutabayina.ShamAY0032859-ara1,0.88852,RELEASE
0611IbnMufaddalMuqaddasi.Arbacuna.Shamela0010441-ara1,0.88842,RELEASE
0761IbnKaykaldiCalai.BughyatMultamis.Shamela0010826-ara1,0.88832,RELEASE
0852AbuNucaymMustamli.ArabacinMutabayina.ShamAY0032859-ara1,0.88773,RELEASE
Shamela030606.txt,0.88738,raw_ShamelaY19
Shamela030257.txt,0.8869,raw_ShamelaY19
10441.json,0.88689,RAWrabicaShamAY1
Shamela030652.txt,0.88673,raw_ShamelaY19
0748IbnDimyati.Hadith.ShamAY0032872-ara1,0.8864,RELEASE
32859.json,0.88629,RAWrabicaShamAY2
10826.json,0.88604,RAWrabicaShamAY2
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.8856,RELEASE
0748IbnDimyati.Hadith.ShamAY0032872-ara1,0.88538,RELEASE
30257.bok.json,0.88479,RAWrabicaSham19Y
30700.json,0.88479,RAWrabicaShamAY2
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.88458,RELEASE
Shamela026487.txt,0.88444,raw_ShamelaY19
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030606-ara1,0.88402,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030257-ara1,0.88347,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030652-ara1,0.88329,RELEASE
Shamela030648.txt,0.88298,raw_ShamelaY19
32872.json,0.88253,RAWrabicaShamAY2
0748Dhahabi.MucjamLatif.ShamAY0033668-ara1,0.88216,RELEASE
30606.json,0.88182,RAWrabicaShamAY2
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.88162,RELEASE
0696IbnZahiri.Mashyakha.Shamela0005740-ara1,0.88159,RELEASE
5740.bok.json,0.88145,RAWrabicaSham19Y
0748Dhahabi.MucjamLatif.ShamAY0033668-ara1,0.88125,RELEASE
30652.json,0.88062,RAWrabicaShamAY2
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.8804,RELEASE
30327.json,0.87996,RAWrabicaShamAY2
5740.json,0.87972,RAWrabicaShamAY1
0696IbnZahiri.Mashyakha.JK009154-ara1,0.87964,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030648-ara1,0.87941,RELEASE
Shamela030327.txt,0.87907,raw_ShamelaY19
0696IbnZahiri.Mashyakha.JK009154-ara1,0.87904,RELEASE
33668.json,0.87857,RAWrabicaShamAY2
30257.json,0.87796,RAWrabicaShamAY2
26487.json,0.87795,RAWrabicaShamAY2
30648.json,0.87717,RAWrabicaShamAY2
30644.bok.json,0.87577,RAWrabicaSham19Y
0571IbnCasakir.ArbacunaBuldaniyya.Shia002174-ara1,0.87569,RELEASE
0734IbnSayyidNas.AhadithCawal.ShamAY0033538-ara1,0.87541,RELEASE
0734IbnSayyidNas.AhadithCawal.ShamAY0033538-ara1,0.87531,RELEASE
Shamela030673.txt,0.87419,raw_ShamelaY19
0748Dhahabi.MucjamLatif.Shamela0030673-ara1,0.87419,RELEASE
Shamela030644.txt,0.87405,raw_ShamelaY19
0761IbnKaykaldiCalai.ItharatFawaid.Shamela0022882-ara1,0.87165,RELEASE
0852IbnHajarCasqalani.LadhdhatCaysh.ShamAY0033678-ara1,0.87102,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030644-ara1,0.87093,RELEASE
30673.json,0.87086,RAWrabicaShamAY2
0852IbnHajarCasqalani.LadhdhatCaysh.ShamAY0033678-ara1,0.87085,RELEASE
0799IbnShaykha.ShicarAbrar.Sham19Y0009382-ara1,0.87081,RELEASE
0799IbnShaykha.ShicarAbrar.Sham19Y0009382-ara1,0.8706,RELEASE
0761IbnKaykaldiCalai.ItharatFawaid.Shamela0022882-ara1,0.87057,RELEASE
Shamela022882.txt,0.87035,raw_ShamelaY19
0571IbnCasakir.ArbacunaMinMusawat.Shamela0009371-ara1,0.86912,RELEASE
33678.json,0.86891,RAWrabicaShamAY2
22882.json,0.86863,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.AhadithMukhatara.Shamela0010480-ara1,0.86845,RELEASE
30644.json,0.86828,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.AhadithMukhatara.Shamela0010480-ara1,0.86801,RELEASE
10480.json,0.86765,RAWrabicaShamAY1
33538.json,0.86746,RAWrabicaShamAY2
0579AbuFathKhiraqi.Fawaid.ShamAY0032766-ara1,0.86734,RELEASE
Shamela022301.txt,0.86719,raw_ShamelaY19
33614.json,0.8664,RAWrabicaShamAY2
32766.json,0.86633,RAWrabicaShamAY2
22301.bok.json,0.8659,RAWrabicaSham19Y
0636IbnYusufBirzaliIshbili.SulukTariqSalaf.Shamela0026560-ara1,0.86563,RELEASE
