unknown,TFIDF_cosine,libVar
8789.json,0.78069,RAW_ABLibrary
8913.json,0.77291,RAW_ABLibrary
001039Vols.automARkdown,0.77165,RAW_Masaha
35110.json,0.77121,RAWrabicaShamAY3
8845.json,0.77066,RAW_ABLibrary
Sham30K0038973,0.77017,RAWrabica025000
34950.json,0.76997,RAWrabicaShamAY3
8686.json,0.76957,RAW_ABLibrary
8454.json,0.76878,RAW_ABLibrary
0689AhmadIbnCabdRahmanIbnQudama.MukhtasarMinhajQasidin.Shamela0098087-ara1,0.76846,RELEASE
906.json,0.76838,RAWrabicaShamAY1
8804.json,0.76808,RAW_ABLibrary
0751IbnQayyimJawziyya.IghathatLahfan.ShamAY0034412-ara1,0.76751,RELEASE
0751IbnQayyimJawziyya.ShifaCalil.JK000100-ara1,0.76704,RELEASE
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.76683,RELEASE
0751IbnQayyimJawziyya.ShifaCalil.ShamAY0034426-ara1,0.76657,RELEASE
0751IbnQayyimJawziyya.ShifaCalil.Shamela0012021-ara1,0.76654,RELEASE
1332IbnMuhammadJamalDinQasimi.MawcizatMuminin.Shamela0022842-ara1,0.76646,RELEASE
0689AhmadIbnCabdRahmanIbnQudama.MukhtasarMinhajQasidin.Shamela0098087-ara1,0.76591,RELEASE
12021.bok.json,0.76577,RAWrabicaSham19Y
0737IbnMuhammadIbnHajjFasi.Madkhal.Shamela0011406-ara1,0.7657,RELEASE
8327.json,0.76519,RAW_ABLibrary
1420IbnBaz.MajmucFatawa.Shamela0021537-ara1,0.76504,RELEASE
0751IbnQayyimJawziyya.IghathatLahfan.JK000087-ara1,0.76479,RELEASE
0737IbnMuhammadIbnHajjFasi.Madkhal.ShamAY0034247-ara1,0.76456,RELEASE
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.76454,RELEASE
0737IbnMuhammadIbnHajjFasi.Madkhal.JK007084-ara1,0.76447,RELEASE
1665.html,0.76443,RAWrabicaRafed
35204.json,0.76436,RAWrabicaShamAY3
1332IbnMuhammadJamalDinQasimi.MawcizatMuminin.Shamela0022842-ara1,0.76418,RELEASE
0751IbnQayyimJawziyya.IghathatLahfan.Shamela0011688-ara1,0.76409,RELEASE
34412.json,0.76402,RAWrabicaShamAY3
3700.html,0.76396,RAWrabicaRafed
3960.html,0.7639,RAWrabicaRafed
22842.bok.json,0.76367,RAWrabicaSham19Y
1332IbnMuhammadJamalDinQasimi.MawcizatMuminin.JK001197-ara1,0.76349,RELEASE
0737IbnMuhammadIbnHajjFasi.Madkhal.Shamela0011406-ara1,0.76341,RELEASE
1420IbnBaz.MajmucFatawa.Shamela0021537-ara1,0.76328,RELEASE
33406.json,0.76325,RAWrabicaShamAY2
3602.html,0.76325,RAWrabicaRafed
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.76319,RELEASE
12021.json,0.76317,RAWrabicaShamAY2
8613.json,0.76309,RAWrabicaShamAY1
11406.bok.json,0.76303,RAWrabicaSham19Y
1793.html,0.76303,RAWrabicaRafed
34426.json,0.76284,RAWrabicaShamAY3
31600.json,0.76282,RAWrabicaShamAY2
Shamela098087.txt,0.76275,raw_ShamelaY19
34247.json,0.76223,RAWrabicaShamAY3
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.76212,RELEASE
1742.json,0.76192,RAWrabicaShamAY1
3496.html,0.7619,RAWrabicaRafed
3190.html,0.76186,RAWrabicaRafed
37660.json,0.76172,RAWrabicaShamAY3
1803.html,0.76159,RAWrabicaRafed
1404IbrahimQattan.TaysirTafsir.Tafsir09068-ara1,0.76152,RELEASE
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.76117,RELEASE
22842.json,0.76099,RAWrabicaShamAY2
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010777-ara1,0.76095,RELEASE
Shamela022842.txt,0.76089,raw_ShamelaY19
9690.json,0.76084,RAWrabicaShamAY1
0449AbuFathKarajiki.KanzFawaid.Shia001332-ara1,0.76082,RELEASE
1031CabdRaufMunawi.Ittihafat.Shamela0007266-ara1,0.76077,RELEASE
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.76064,RELEASE
11688.json,0.76054,RAWrabicaShamAY2
1660.html,0.76052,RAWrabicaRafed
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,0.76049,RELEASE
Shamela021537.txt,0.76034,raw_ShamelaY19
0298HadiIlaHaqqYahya.Majmuc.Zaydiyya0000076-ara1,0.76032,RELEASE
11406.json,0.76029,RAWrabicaShamAY2
Shamela096252.txt,0.76028,raw_ShamelaY19
1664.html,0.76025,RAWrabicaRafed
1446.html,0.76021,RAWrabicaRafed
8597.json,0.76021,RAW_ABLibrary
8589.json,0.75984,RAW_ABLibrary
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.75973,RELEASE
8482.json,0.75962,RAW_ABLibrary
1436.html,0.75955,RAWrabicaRafed
1480.json,0.75953,RAWrabicaShamAY1
1404IbrahimQattan.TaysirTafsir.Tafsir09068-ara1,0.75946,RELEASE
0751IbnQayyimJawziyya.DaWaDawa.ShamAY0034414-ara1,0.75941,RELEASE
38000.bok.json,0.75931,RAWrabicaSham19Y
1102NurDinYusi.MuhadaratFiLugha.Shamela0000473-ara1,0.75883,RELEASE
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.75882,RELEASE
1677.html,0.75878,RAWrabicaRafed
0751IbnQayyimJawziyya.ShifaCalil.ShamAY0034403-ara3,0.75876,RELEASE
1031CabdRaufMunawi.Ittihafat.Shamela0007266-ara1,0.75874,RELEASE
1444.html,0.75872,RAWrabicaRafed
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.75839,RELEASE
1439.html,0.75832,RAWrabicaRafed
473.json,0.75823,RAWrabicaShamAY1
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.JK000146-ara1,0.75822,RELEASE
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,0.75816,RELEASE
1794.html,0.75813,RAWrabicaRafed
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shia004503-ara1,0.75806,RELEASE
34712.json,0.758,RAWrabicaShamAY3
0751IbnQayyimJawziyya.Fawaid.Shamela0006832-ara1,0.75793,RELEASE
0728IbnTaymiyya.JamicMasail.Shamela0022797-ara1,0.75787,RELEASE
34812.json,0.75782,RAWrabicaShamAY3
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.75746,RELEASE
1450AhmadBinHamadKhalili.JawahirTafasir.Tafsir06051-ara1,0.75735,RELEASE
Shamela038000.txt,0.75725,raw_ShamelaY19
29.json,0.75725,RAWrabicaShamAY1
0751IbnQayyimJawziyya.ShifaCalil.ShamAY0034403-ara3,0.757,RELEASE
34363.json,0.75696,RAWrabicaShamAY3
0728IbnTaymiyya.JamicMasail.Sham19Y0017835-ara1,0.75696,RELEASE
3902.html,0.75671,RAWrabicaRafed
3914.html,0.75665,RAWrabicaRafed
6832.json,0.75662,RAWrabicaShamAY1
1659.html,0.7566,RAWrabicaRafed
Shamela115133.txt,0.75657,raw_ShamelaY19
001107.automARkdown,0.75654,RAW_Masaha
34414.json,0.75646,RAWrabicaShamAY3
8747.json,0.75641,RAW_ABLibrary
0383IbnCabbasKhwarizmi.MufidCulum.Shamela0010262-ara1,0.75638,RELEASE
38793.json,0.75636,RAWrabicaShamAY3
0730NizamDinNaysaburi.GharaibQuran.Tafsir02022-ara1,0.75631,RELEASE
31656.json,0.75619,RAWrabicaShamAY2
0728IbnTaymiyya.RasailWaFatawa.JK006835-ara1,0.75615,RELEASE
0360IbnCaliQassab.NukatDalla.Shamela0009065-ara1,0.75609,RELEASE
0728IbnTaymiyya.MajmucFatawa.JK000381-ara1,0.75602,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0016953-ara1,0.75602,RELEASE
1581.html,0.75595,RAWrabicaRafed
0751IbnQayyimJawziyya.DaWaDawa.JK000062-ara1,0.75587,RELEASE
8590.json,0.75583,RAW_ABLibrary
0728IbnTaymiyya.ZuhdWaWarac.JK000077-ara1,0.75581,RELEASE
7373.json,0.75574,RAWrabicaShamAY1
1657.json,0.75551,RAWrabicaShamAY1
1434.html,0.75549,RAWrabicaRafed
8352.json,0.75542,RAWrabicaShamAY1
0505Ghazali.JanibCatifi.ShamAY0036031-ara1,0.75535,RELEASE
0728IbnTaymiyya.JamicMasail.Shamela0022797-ara1,0.75531,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0008352-ara1,0.75528,RELEASE
1450AhmadBinHamadKhalili.JawahirTafasir.Tafsir06051-ara1,0.75525,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.75523,RELEASE
11730.bok.json,0.75501,RAWrabicaSham19Y
34820.json,0.75496,RAWrabicaShamAY3
35203.json,0.75489,RAWrabicaShamAY3
3437.html,0.75476,RAWrabicaRafed
3485.html,0.75472,RAWrabicaRafed
0728IbnTaymiyya.JamicMasail.Sham19Y0016422-ara1,0.75468,RELEASE
8911.json,0.75449,RAW_ABLibrary
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010549-ara1,0.75426,RELEASE
37977.json,0.75425,RAWrabicaShamAY3
392.json,0.75423,RAWrabicaShamAY1
8349.json,0.75414,RAW_ABLibrary
1681.html,0.75409,RAWrabicaRafed
0751IbnQayyimJawziyya.DaWaDawa.Shamela0098093-ara1,0.75409,RELEASE
1666.html,0.7539,RAWrabicaRafed
0728IbnTaymiyya.Istiqama.JK000028-ara1,0.75385,RELEASE
0728IbnTaymiyya.AmradQulub.JK000079-ara1,0.75375,RELEASE
37747.json,0.75375,RAWrabicaShamAY3
Shamela037045.txt,0.75374,raw_ShamelaY19
9065.json,0.75371,RAWrabicaShamAY1
0728IbnTaymiyya.MajmucFatawa.Shamela0007289-ara1,0.75354,RELEASE
37045.bok.json,0.75339,RAWrabicaSham19Y
0751IbnQayyimJawziyya.TariqHijratayn.Shamela0012029-ara1,0.75332,RELEASE
8865.json,0.7533,RAW_ABLibrary
0728IbnTaymiyya.MajmucatRasailWaMasail.Shamela0011730-ara1,0.75324,RELEASE
10262.json,0.75323,RAWrabicaShamAY1
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.75309,RELEASE
0728IbnTaymiyya.ZuhdWaWarac.Shamela0006826-ara1,0.75308,RELEASE
6826.json,0.75303,RAWrabicaShamAY1
0728IbnTaymiyya.ZuhdWaWarac.JK000077-ara1,0.75302,RELEASE
0751IbnQayyimJawziyya.TafsirQuran.Shamela0023606-ara1,0.75299,RELEASE
0246QasimRassi.KitabFihiMasail.Zaydiyya0000408-ara1,0.75298,RELEASE
0751IbnQayyimJawziyya.TariqHijratayn.ShamAY0034427-ara1,0.75293,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.75286,RELEASE
Shamela031076.txt,0.75278,raw_ShamelaY19
0728IbnTaymiyya.JamicMasail.Sham19Y0018128-ara1,0.75276,RELEASE
7289.json,0.75263,RAWrabicaShamAY1
3932.html,0.75254,RAWrabicaRafed
36031.json,0.75252,RAWrabicaShamAY3
11730.json,0.75251,RAWrabicaShamAY2
Sham30K0002610,0.75246,RAWrabica005000
0751IbnQayyimJawziyya.IghathatLahfan.Sham19Y0018612-ara1,0.75234,RELEASE
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000967-ara1,0.75233,RELEASE
3699.html,0.7523,RAWrabicaRafed
