unknown,TFIDF_cosine,libVar
18281.bok.json,0.9998,RAWrabicaSham19Y
0874IbnImamKamiliyya.TaysirWusul.Sham19Y0018274-ara1,0.79229,RELEASE
18274.bok.json,0.79111,RAWrabicaSham19Y
0874IbnImamKamiliyya.TaysirWusul.Sham19Y0018274-ara1,0.79051,RELEASE
38984.json,0.7896,RAWrabicaShamAY3
0715SafiHindi.NihayatWusul.Sham19Y0016562-ara1,0.78924,RELEASE
0715SafiHindi.NihayatWusul.Sham19Y0016562-ara1,0.78747,RELEASE
16562.bok.json,0.78663,RAWrabicaSham19Y
0694MuzaffarDinIbnSacati.BadicNizam.Sham19Y0018570-ara1,0.78568,RELEASE
32587.json,0.78466,RAWrabicaShamAY2
0694MuzaffarDinIbnSacati.BadicNizam.Sham19Y0018570-ara1,0.78436,RELEASE
Shamela018570.txt,0.78287,raw_ShamelaY19
32671.json,0.78176,RAWrabicaShamAY2
0645TilimsaniBurri.SharhMacalim.Sham19Y0145168-ara1,0.77945,RELEASE
0645TilimsaniBurri.SharhMacalim.Sham19Y0145168-ara1,0.77787,RELEASE
Shamela145168.txt,0.77767,raw_ShamelaY19
1250Shawkani.IrshadFuhul.JK000152-ara1,0.77554,RELEASE
1250Shawkani.IrshadFuhul.ShamAY0034184-ara1,0.77484,RELEASE
34184.json,0.77414,RAWrabicaShamAY2
004768Vols.automARkdown,0.77267,RAW_Masaha
1250Shawkani.IrshadFuhul.Shamela0011437-ara1,0.77232,RELEASE
004331.automARkdown,0.77158,RAW_Masaha
1250Shawkani.IrshadFuhul.Shamela0011437-ara1,0.77087,RELEASE
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.JK000149-ara1,0.77001,RELEASE
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.ShamAY0034186-ara1,0.76992,RELEASE
003767.automARkdown,0.7697,RAW_Masaha
004330.automARkdown,0.76928,RAW_Masaha
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.Shia002924Vols-ara1,0.76904,RELEASE
10801.bok.json,0.76872,RAWrabicaSham19Y
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.Shamela0010801-ara1,0.76804,RELEASE
34186.json,0.76728,RAWrabicaShamAY2
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.Shia002924Vols-ara1,0.76727,RELEASE
10801.json,0.76652,RAWrabicaShamAY2
0606FakhrDinRazi.Mahsul.ShamAY0034194-ara1,0.76257,RELEASE
0606FakhrDinRazi.Mahsul.JK000153-ara1,0.76239,RELEASE
1011IbnShahidThani.MacalimDin.Shia002755-ara1,0.76215,RELEASE
0620IbnQudamaMaqdisi.RawdatNazir.JK000156-ara1,0.76065,RELEASE
1250Shawkani.DarariMudia.Zaydiyya0000266-ara1,0.76054,RELEASE
1011IbnShahidThani.MacalimDin.Shia002755-ara1,0.76024,RELEASE
34194.json,0.76008,RAWrabicaShamAY3
0620IbnQudamaMaqdisi.RawdatNazir.ShamAY0034197-ara1,0.75883,RELEASE
1250Shawkani.DarariMudia.Zaydiyya0000266-ara1,0.75858,RELEASE
002643Vols.automARkdown,0.75857,RAW_Masaha
003137Vols.automARkdown,0.75856,RAW_Masaha
34197.json,0.75618,RAWrabicaShamAY3
0794BadrDinZarkashi.TashnifMasamic.Sham19Y0122142-ara1,0.75582,RELEASE
0940IbnSulaymanIbnKamalBasha.TaghyirTanqih.ShamAY0037541-ara1,0.75452,RELEASE
0883AbuBakrJuraci.SharhMukhtasarUsulFiqh.Sham19Y0127717-ara1,0.75378,RELEASE
0792IbnCumarTaftazani.TalwihCalaTawdih.JK007110-ara1,0.75323,RELEASE
Shamela122142.txt,0.7532,raw_ShamelaY19
0794BadrDinZarkashi.TashnifMasamic.Sham19Y0122142-ara1,0.75317,RELEASE
0940IbnSulaymanIbnKamalBasha.TaghyirTanqih.ShamAY0037541-ara1,0.75296,RELEASE
0883AbuBakrJuraci.SharhMukhtasarUsulFiqh.Sham19Y0127717-ara1,0.75219,RELEASE
0756TaqiDinSubki.Ibhaj.Shamela0011727-ara1,0.75203,RELEASE
0684ShihabDinQarafi.SharhTanqih.Shamela0021813-ara1,0.75184,RELEASE
0756TaqiDinSubki.Ibhaj.JK000180-ara1,0.75184,RELEASE
0505Ghazali.Mustasfa.ShamAY0034180-ara1,0.75159,RELEASE
Shamela127717.txt,0.75148,raw_ShamelaY19
003638.automARkdown,0.75132,RAW_Masaha
31691.json,0.75115,RAWrabicaShamAY2
0684ShihabDinQarafi.SharhTanqih.Shamela0021813-ara1,0.7502,RELEASE
37541.json,0.75009,RAWrabicaShamAY3
1235IbnIbrahimShinqiti.NashrBunud.Sham19Y0020892-ara1,0.74933,RELEASE
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000407-ara1,0.74866,RELEASE
Shamela021813.txt,0.74855,raw_ShamelaY19
34180.json,0.74797,RAWrabicaShamAY2
Shamela020892.txt,0.74774,raw_ShamelaY19
1235IbnIbrahimShinqiti.NashrBunud.Sham19Y0020892-ara1,0.74759,RELEASE
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000176-ara1,0.74733,RELEASE
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000407-ara1,0.74631,RELEASE
38871.json,0.74621,RAWrabicaShamAY3
0606FakhrDinRazi.Mahsul.Shamela0002022-ara1,0.74578,RELEASE
803.json,0.7457,RAW_ABLibrary
5459.json,0.74542,RAWrabicaShamAY1
21813.json,0.74526,RAWrabicaShamAY2
0606FakhrDinRazi.Mahsul.Shamela0002022-ara1,0.7429,RELEASE
2022.json,0.74261,RAWrabicaShamAY1
