unknown,TFIDF_cosine,libVar
0684IbnShaddad.TarikhMalikZahir.Kraken2102182324112-ara1,0.7347,RELEASE
0874IbnTaghribirdi.ManhalSafi.Shamela0023156-ara1,0.73244,RELEASE
0874IbnTaghribirdi.ManhalSafi.Shamela0023156-ara1,0.72781,RELEASE
0684IbnShaddad.TarikhMalikZahir.Kraken2102182324112-ara1,0.72711,RELEASE
23156.bok.json,0.72543,RAWrabicaSham19Y
0726Yunini.DhaylMiratZaman.Shamela0012722-ara1,0.72422,RELEASE
23156.json,0.72205,RAWrabicaShamAY2
Sham30K0033860,0.72062,RAWrabica020000
Shamela023156.txt,0.72026,raw_ShamelaY19
0726Yunini.DhaylMiratZaman.JK010379-ara1,0.71794,RELEASE
0726Yunini.DhaylMiratZaman.Shamela0012722-ara1,0.71794,RELEASE
12722.bok.json,0.71569,RAWrabicaSham19Y
2263.html,0.71303,RAWrabicaRafed
12722.json,0.71208,RAWrabicaShamAY2
0809IbnDuqmaq.NuzhatAnam.Sham19Y0016363-ara1,0.71156,RELEASE
0809IbnDuqmaq.NuzhatAnam.Sham19Y0016363-ara1,0.70666,RELEASE
8990.json,0.70208,RAW_ABLibrary
0764Safadi.AcyanCasr.Shamela0000131-ara1,0.69275,RELEASE
0927Nucaymi.DarisFiMadaris.JK000417-ara1,0.68818,RELEASE
0764Safadi.AcyanCasr.Shamela0000131-ara1,0.68763,RELEASE
0725BaybarsMansuri.ZubdatFikra.GVDB20201027-ara1,0.68733,RELEASE
0855BadrDinCayni.CiqdJuman.ShamAY0033840-ara1,0.68606,RELEASE
0927Nucaymi.DarisFiMadaris.JK000417-ara1,0.68339,RELEASE
0927Nucaymi.DarisFiMadaris.Shamela0008880-ara1,0.68281,RELEASE
0725BaybarsMansuri.ZubdatFikra.GVDB20201027-ara1,0.6825,RELEASE
131.json,0.68101,RAWrabicaShamAY1
0855BadrDinCayni.CiqdJuman.ShamAY0033840-ara1,0.67945,RELEASE
