unknown,TFIDF_cosine,libVar
11071.bok.json,0.99995,RAWrabicaSham19Y
11071.json,0.99995,RAWrabicaShamAY2
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.99954,RELEASE
0728IbnTaymiyya.RaddCalaShadhili.Shamela0001463-ara1,0.91126,RELEASE
1463.json,0.91029,RAWrabicaShamAY1
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.JK000375-ara1,0.90949,RELEASE
34373.json,0.90656,RAWrabicaShamAY3
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.ShamAY0034373-ara1,0.90623,RELEASE
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.Shamela0011248-ara1,0.90552,RELEASE
38316.json,0.90096,RAWrabicaShamAY3
2864.json,0.89734,RAWrabicaShamAY1
0728IbnTaymiyya.Intisar.ShamAY0038316-ara1,0.89659,RELEASE
2864.bok.json,0.89657,RAWrabicaSham19Y
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.89582,RELEASE
0728IbnTaymiyya.BayanTalbisJahmiyya.Shamela0002864-ara1,0.89562,RELEASE
9690.json,0.89544,RAWrabicaShamAY1
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.89357,RELEASE
0728IbnTaymiyya.JawabFiHilf.ShamAY0034353-ara1,0.8926,RELEASE
34353.json,0.89227,RAWrabicaShamAY3
6820.json,0.89043,RAWrabicaShamAY1
8597.json,0.89029,RAW_ABLibrary
6820.bok.json,0.88965,RAWrabicaSham19Y
34363.json,0.88963,RAWrabicaShamAY3
0728IbnTaymiyya.Istiqama.JK000028-ara1,0.88874,RELEASE
0728IbnTaymiyya.Istiqama.Shamela0006820-ara1,0.88847,RELEASE
34382.json,0.88755,RAWrabicaShamAY3
37977.json,0.88739,RAWrabicaShamAY3
3437.html,0.88717,RAWrabicaRafed
0728IbnTaymiyya.BayanTalbisJahmiyya.ShamAY0034382-ara1,0.88698,RELEASE
3496.html,0.88658,RAWrabicaRafed
0728IbnTaymiyya.JamicMasail.Sham19Y0018128-ara1,0.88608,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0016422-ara1,0.88573,RELEASE
0728IbnTaymiyya.BayanTalbisJahmiyya.JK000382-ara1,0.88535,RELEASE
Shamela021506.txt,0.88485,raw_ShamelaY19
11730.bok.json,0.88408,RAWrabicaSham19Y
34368.json,0.88351,RAWrabicaShamAY3
11730.json,0.88324,RAWrabicaShamAY2
21506.bok.json,0.88316,RAWrabicaSham19Y
0728IbnTaymiyya.RasailWaFatawa.JK006950-ara1,0.88278,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010777-ara1,0.88276,RELEASE
0728IbnTaymiyya.DarTacarud.Shamela0021506-ara1,0.88227,RELEASE
21506.json,0.88226,RAWrabicaShamAY2
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shia004503-ara1,0.88125,RELEASE
470.json,0.8811,RAWrabicaShamAY1
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.JK000146-ara1,0.88094,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.88047,RELEASE
34371.json,0.88012,RAWrabicaShamAY3
37747.json,0.8801,RAWrabicaShamAY3
0728IbnTaymiyya.Nubuwwat.ShamAY0034366-ara1,0.88001,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.87993,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.87965,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.Shamela0011730-ara1,0.8791,RELEASE
591.json,0.87903,RAWrabicaShamAY1
0728IbnTaymiyya.Nubuwwat.JK000373-ara1,0.87871,RELEASE
1238.json,0.87824,RAWrabicaShamAY1
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010549-ara1,0.87797,RELEASE
34366.json,0.8778,RAWrabicaShamAY3
33865.json,0.87747,RAWrabicaShamAY2
37986.json,0.87726,RAWrabicaShamAY3
0728IbnTaymiyya.DarTacarud.JK000362-ara1,0.87717,RELEASE
0728IbnTaymiyya.DarTacarud.ShamAY0033865-ara1,0.8771,RELEASE
Shamela036571.txt,0.87697,raw_ShamelaY19
0728IbnTaymiyya.SharhHadithNuzul.Shamela0011258-ara1,0.87691,RELEASE
8349.json,0.87685,RAW_ABLibrary
11258.json,0.87674,RAWrabicaShamAY2
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.87647,RELEASE
8828.json,0.87641,RAW_ABLibrary
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.87636,RELEASE
8913.json,0.87604,RAW_ABLibrary
