unknown,TFIDF_cosine,libVar
0728IbnTaymiyya.FaslFiFadailAimmaArbaca.ShamAY0034394BK1-ara1,1.0,RELEASE
0728IbnTaymiyya.FaslFiIshtiratHafzQuran.ShamAY0034394BK2-ara1,1.0,RELEASE
0728IbnTaymiyya.FaslFiIshtiratHafzQuran.ShamAY0034394BK2-ara1,1.0,RELEASE
0728IbnTaymiyya.FaslFiFadailAimmaArbaca.ShamAY0034394BK1-ara1,1.0,RELEASE
34394.json,0.94896,RAWrabicaShamAY3
1317KhayrDinAlusi.JalaCaynayn.Zaydiyya0000379-ara1,0.70868,RELEASE
9943.json,0.70795,RAWrabicaShamAY1
1317KhayrDinAlusi.JalaCaynayn.Shamela0009943-ara1,0.70579,RELEASE
1317KhayrDinAlusi.JalaCaynayn.Zaydiyya0000379-ara1,0.70528,RELEASE
3.json,0.70227,RAWrabicaShamAY1
918.json,0.70164,RAW_ABLibrary
Shamela029677.txt,0.70148,raw_ShamelaY19
29677.bok.json,0.70065,RAWrabicaSham19Y
Shamela038093.txt,0.70056,raw_ShamelaY19
Shamela145376.txt,0.69905,raw_ShamelaY19
876.html,0.69873,RAWrabicaRafed
Sham30K0002807,0.69778,RAWrabica005000
Sham30K0044090,0.69711,RAWrabica030000
1236.json,0.69689,RAWrabicaShamAY1
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.69575,RELEASE
38093.bok.json,0.69521,RAWrabicaSham19Y
32317.json,0.6937,RAWrabicaShamAY2
Shamela096844.txt,0.69221,raw_ShamelaY19
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.6919,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0145376-ara1,0.69177,RELEASE
28.json,0.68971,RAWrabicaShamAY1
Shamela133368.txt,0.68913,raw_ShamelaY19
10717.json,0.68904,RAWrabicaShamAY1
38478.json,0.68799,RAWrabicaShamAY3
Sham30K0002800,0.68764,RAWrabica005000
34400.json,0.6876,RAWrabicaShamAY3
35828.json,0.68719,RAWrabicaShamAY3
Shamela036427.txt,0.68699,raw_ShamelaY19
