unknown,TFIDF_cosine,libVar
38455.json,0.97338,RAWrabicaShamAY3
0728IbnTaymiyya.JawabFiHilf.ShamAY0034353-ara1,0.85469,RELEASE
34353.json,0.84998,RAWrabicaShamAY3
Shamela096844.txt,0.84541,raw_ShamelaY19
2006.json,0.84503,RAWrabicaShamAY1
96844.bok.json,0.84495,RAWrabicaSham19Y
812.json,0.84052,RAWrabicaShamAY1
31741.json,0.83434,RAWrabicaShamAY2
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.JK006677-ara1,0.8329,RELEASE
37986.json,0.83254,RAWrabicaShamAY3
Shamela133368.txt,0.83227,raw_ShamelaY19
5981.json,0.83191,RAWrabicaShamAY1
1338TahirJazairiDimashqi.TawjihNazar.JK000990-ara1,0.83152,RELEASE
1390MahmudAbuRayya.AdwaCalaSunna.Zaydiyya0000153-ara1,0.83061,RELEASE
0840IbnWazirYamani.RawdBasim.Shamela0036427-ara1,0.83035,RELEASE
28.json,0.83005,RAWrabicaShamAY1
0840IbnWazirMuhammad.RawdBasim.Zaydiyya0000084-ara1,0.82977,RELEASE
1338TahirJazairiDimashqi.TawjihNazar.JK000990-ara1,0.82949,RELEASE
Shamela036427.txt,0.82926,raw_ShamelaY19
1390MahmudAbuRayya.AdwaCalaSunna.Zaydiyya0000153-ara1,0.82895,RELEASE
7318.json,0.82894,RAWrabicaShamAY1
3.json,0.82893,RAWrabicaShamAY1
1338TahirJazairiDimashqi.TawjihNazar.Shamela0005981-ara1,0.82879,RELEASE
29677.bok.json,0.82852,RAWrabicaSham19Y
0840IbnWazirYamani.RawdBasim.Shamela0036427-ara1,0.82807,RELEASE
9993.json,0.82795,RAWrabicaShamAY1
Shamela037972.txt,0.82786,raw_ShamelaY19
0840IbnWazirMuhammad.RawdBasim.Zaydiyya0000084-ara1,0.82749,RELEASE
31785.json,0.82736,RAWrabicaShamAY2
Shamela037593.txt,0.82727,raw_ShamelaY19
31650.json,0.82712,RAWrabicaShamAY2
10541.json,0.82643,RAWrabicaShamAY1
Shamela145376.txt,0.82593,raw_ShamelaY19
3437.html,0.82544,RAWrabicaRafed
31649.json,0.82517,RAWrabicaShamAY2
34195.json,0.8251,RAWrabicaShamAY3
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.Shamela0009993-ara1,0.82493,RELEASE
1103.json,0.82465,RAWrabicaShamAY1
1181.json,0.82459,RAWrabicaShamAY1
Sham30K0002807,0.8237,RAWrabica005000
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.Shamela0009993-ara1,0.82285,RELEASE
Shamela037456.txt,0.82246,raw_ShamelaY19
Shamela023798.txt,0.82226,raw_ShamelaY19
3902.html,0.82221,RAWrabicaRafed
0756TaqiDinSubki.SayfSaqil.Shia002214-ara1,0.82218,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0145376-ara1,0.82201,RELEASE
Shamela023631.txt,0.82185,raw_ShamelaY19
10717.json,0.82181,RAWrabicaShamAY1
38513.json,0.82177,RAWrabicaShamAY3
122232.bok.json,0.82154,RAWrabicaSham19Y
1307Qannawji.HittaFiDhikr.JK000971-ara1,0.82147,RELEASE
31802.json,0.82138,RAWrabicaShamAY2
2864.json,0.82134,RAWrabicaShamAY1
