unknown,TFIDF_cosine,libVar
0728IbnTaymiyya.RaddCalaMantiqiyyin.Shamela0007626-ara1,0.99898,RELEASE
7626.json,0.99897,RAWrabicaShamAY1
Shamela151020.txt,0.93717,raw_ShamelaY19
0911Suyuti.JuhdQariha.Sham19Y0151020-ara1,0.93705,RELEASE
0911Suyuti.JuhdQariha.Sham19Y0151020-ara1,0.93621,RELEASE
11071.bok.json,0.82483,RAWrabicaSham19Y
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.82358,RELEASE
11071.json,0.82354,RAWrabicaShamAY2
Shamela021506.txt,0.82343,raw_ShamelaY19
0728IbnTaymiyya.BughyatMurtad.Shamela0011071-ara1,0.82339,RELEASE
0728IbnTaymiyya.BughyatMurtad.JK000374-ara1,0.82269,RELEASE
21506.bok.json,0.82059,RAWrabicaSham19Y
Shamela026575.txt,0.8201,raw_ShamelaY19
0505Ghazali.MicyarCilm.Shamela0026575-ara1,0.81966,RELEASE
802.json,0.81965,RAW_ABLibrary
21506.json,0.81939,RAWrabicaShamAY2
0728IbnTaymiyya.DarTacarud.Shamela0021506-ara1,0.81899,RELEASE
26575.bok.json,0.81827,RAWrabicaSham19Y
26575.json,0.81675,RAWrabicaShamAY2
34373.json,0.81662,RAWrabicaShamAY3
0728IbnTaymiyya.DarTacarud.JK000362-ara1,0.81625,RELEASE
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.ShamAY0034373-ara1,0.81562,RELEASE
33865.json,0.81557,RAWrabicaShamAY2
0728IbnTaymiyya.DarTacarud.ShamAY0033865-ara1,0.81528,RELEASE
0728IbnTaymiyya.DarTacarud.JK000362-ara1,0.81517,RELEASE
5459.json,0.81446,RAWrabicaShamAY1
0505Ghazali.Mustasfa.ShamAY0034180-ara1,0.81141,RELEASE
34368.json,0.8113,RAWrabicaShamAY3
34382.json,0.81129,RAWrabicaShamAY3
0728IbnTaymiyya.RaddCalaShadhili.Shamela0001463-ara1,0.81085,RELEASE
0728IbnTaymiyya.BayanTalbisJahmiyya.JK000382-ara1,0.81062,RELEASE
0728IbnTaymiyya.RaddCalaShadhili.Shamela0001463-ara1,0.80998,RELEASE
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.JK000375-ara1,0.80989,RELEASE
34180.json,0.80915,RAWrabicaShamAY2
0728IbnTaymiyya.BayanTalbisJahmiyya.ShamAY0034382-ara1,0.80903,RELEASE
1463.json,0.8088,RAWrabicaShamAY1
Shamela026538.txt,0.80807,raw_ShamelaY19
8430.json,0.8078,RAW_ABLibrary
8759.json,0.806,RAW_ABLibrary
Shamela021593.txt,0.80587,raw_ShamelaY19
0505Ghazali.MahkNazar.Shamela0026538-ara1,0.80573,RELEASE
34187.json,0.80512,RAWrabicaShamAY3
8828.json,0.80501,RAW_ABLibrary
8387.json,0.80463,RAW_ABLibrary
8522.json,0.80431,RAW_ABLibrary
8311.json,0.80422,RAW_ABLibrary
0794BadrDinZarkashi.BahrMuhit.Shamela0021593-ara1,0.804,RELEASE
21593.bok.json,0.80382,RAWrabicaSham19Y
0794BadrDinZarkashi.BahrMuhit.ShamAY0034187-ara1,0.80354,RELEASE
8480.json,0.80354,RAW_ABLibrary
26538.json,0.80352,RAWrabicaShamAY2
0794BadrDinZarkashi.BahrMuhit.JK007060-ara1,0.80339,RELEASE
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.Shamela0011248-ara1,0.80302,RELEASE
0794BadrDinZarkashi.BahrMuhit.Shamela0021593-ara1,0.80246,RELEASE
0536IbnCaliMazariTamimi.Idah.Sham19Y0016974-ara1,0.80227,RELEASE
21593.json,0.8022,RAWrabicaShamAY2
0684ShihabDinQarafi.NafaisUsul.Sham19Y0014280-ara1,0.80173,RELEASE
0728IbnTaymiyya.Nubuwwat.ShamAY0034366-ara1,0.80118,RELEASE
16974.bok.json,0.80107,RAWrabicaSham19Y
34366.json,0.80088,RAWrabicaShamAY3
31974.json,0.80085,RAWrabicaShamAY2
