unknown,TFIDF_cosine,libVar
11238.json,0.99925,RAWrabicaShamAY2
33204.json,0.86086,RAWrabicaShamAY2
Sham30K0014251,0.85886,RAWrabica015000
36176.json,0.70553,RAWrabicaShamAY3
0778BadrDinBacli.MukhtasarFatawaMisriyya.JK000235-ara1,0.66991,RELEASE
0728IbnTaymiyya.QawacidNuraniyya.JK000976-ara1,0.66969,RELEASE
0778BadrDinBacli.MukhtasarFatawaMisriyya.Shamela0006104-ara1,0.66943,RELEASE
1627.json,0.66727,RAWrabicaShamAY1
0778BadrDinBacli.MukhtasarFatawaMisriyya.Shamela0006104-ara1,0.66493,RELEASE
0728IbnTaymiyya.QawacidNuraniyya.Shamela0021729-ara1,0.66385,RELEASE
0728IbnTaymiyya.MinTurathShaykh.Shamela0013088-ara1,0.66377,RELEASE
0728IbnTaymiyya.QawacidNuraniyya.ShamAY0034365-ara1,0.66371,RELEASE
Shamela021729.txt,0.66301,raw_ShamelaY19
0728IbnTaymiyya.JamicMasail.Sham19Y0018124-ara1,0.66229,RELEASE
21729.json,0.66077,RAWrabicaShamAY2
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.66071,RELEASE
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.66056,RELEASE
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.66055,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.65964,RELEASE
0728IbnTaymiyya.QawacidNuraniyya.Shamela0021729-ara1,0.65895,RELEASE
9690.json,0.65885,RAWrabicaShamAY1
0728IbnTaymiyya.MinTurathShaykh.Shamela0013088-ara1,0.65849,RELEASE
34365.json,0.65828,RAWrabicaShamAY3
0728IbnTaymiyya.JamicRasail.Shamela0022653-ara1,0.65818,RELEASE
Shamela022653.txt,0.65736,raw_ShamelaY19
0728IbnTaymiyya.JamicRasail.JK000377-ara1,0.65706,RELEASE
0728IbnTaymiyya.JawabFiHilf.ShamAY0034353-ara1,0.65679,RELEASE
22653.json,0.65621,RAWrabicaShamAY2
0728IbnTaymiyya.JamicMasail.Sham19Y0016422-ara1,0.65601,RELEASE
Sham30K0033853,0.65559,RAWrabica020000
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.65527,RELEASE
