unknown,TFIDF_cosine,libVar
22667.json,0.99288,RAWrabicaShamAY2
Shamela022667.txt,0.97866,raw_ShamelaY19
5487.json,0.76854,RAWrabicaShamAY1
5487.bok.json,0.76695,RAWrabicaSham19Y
0728IbnTaymiyya.DaqaiqTafsir.Shamela0005487-ara1,0.76582,RELEASE
0728IbnTaymiyya.DaqaiqTafsir.JK000378-ara1,0.76576,RELEASE
0728IbnTaymiyya.DaqaiqTafsir.Shia002642Vols-ara1,0.76551,RELEASE
0728IbnTaymiyya.DaqaiqTafsir.Shia002642Vols-ara1,0.76457,RELEASE
Shia002642Vols,0.74637,RAWrabica040000
1244IbnHamadAlMucammar.MinhatQaribMujib.Shamela0010895-ara1,0.74325,RELEASE
1244IbnHamadAlMucammar.MinhatQaribMujib.Shamela0010895-ara1,0.74255,RELEASE
10895.json,0.74173,RAWrabicaShamAY2
11730.bok.json,0.72358,RAWrabicaSham19Y
0728IbnTaymiyya.MajmucatRasailWaMasail.Shamela0011730-ara1,0.72339,RELEASE
34371.json,0.72281,RAWrabicaShamAY3
11730.json,0.72164,RAWrabicaShamAY2
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.72078,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.71878,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.JK000146-ara1,0.71539,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010777-ara1,0.71442,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shia004503-ara1,0.7144,RELEASE
8352.json,0.71347,RAWrabicaShamAY1
35204.json,0.71159,RAWrabicaShamAY3
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.Shamela0011248-ara1,0.71138,RELEASE
Sham30K0008352,0.71112,RAWrabica010000
0728IbnTaymiyya.RasailWaFatawa.JK000907-ara1,0.71109,RELEASE
Sham30K0033976,0.7104,RAWrabica020000
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0008352-ara1,0.70937,RELEASE
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.JK000375-ara1,0.70921,RELEASE
3346.html,0.70784,RAWrabicaRafed
Shamela122091.txt,0.70616,raw_ShamelaY19
3344.html,0.705,RAWrabicaRafed
0728IbnTaymiyya.RasailWaFatawa.JK006835-ara1,0.70449,RELEASE
34373.json,0.70409,RAWrabicaShamAY3
0728IbnTaymiyya.SharhCaqidaIsfahaniyya.ShamAY0034373-ara1,0.70312,RELEASE
0728IbnTaymiyya.MajmucFatawa.JK000381-ara1,0.70291,RELEASE
7289.json,0.70277,RAWrabicaShamAY1
9610.json,0.70178,RAWrabicaShamAY1
35347.json,0.7001,RAWrabicaShamAY3
7707.json,0.69945,RAWrabicaShamAY1
0728IbnTaymiyya.MajmucFatawa.Shamela0007289-ara1,0.6985,RELEASE
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,0.69833,RELEASE
170.json,0.69815,RAWrabicaShamAY1
34352.json,0.69797,RAWrabicaShamAY3
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.69793,RELEASE
12059.json,0.69789,RAWrabicaShamAY2
