unknown,TFIDF_cosine,libVar
32425.json,0.98383,RAWrabicaShamAY2
16599.bok.json,0.98378,RAWrabicaSham19Y
Shamela096928.txt,0.91668,raw_ShamelaY19
32195.json,0.91021,RAWrabicaShamAY2
Shamela148896.txt,0.9088,raw_ShamelaY19
2044.json,0.905,RAWrabicaShamAY1
96928.bok.json,0.90493,RAWrabicaSham19Y
10631.json,0.90492,RAWrabicaShamAY1
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.JK000097-ara1,0.90314,RELEASE
33059.json,0.90049,RAWrabicaShamAY2
0761IbnKaykaldi.JamicTahsil.JK000551-ara1,0.89851,RELEASE
0751IbnQayyimJawziyya.TahdhibSunanAbiDawud.ShamAY0035960-ara1,0.89676,RELEASE
33054.json,0.89587,RAWrabicaShamAY2
0751IbnQayyimJawziyya.TahdhibSunanAbiDawud.ShamAY0035960-ara1,0.89565,RELEASE
0761IbnKaykaldi.JamicTahsil.Shamela0025864-ara1,0.89559,RELEASE
Shamela025864.txt,0.89555,raw_ShamelaY19
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.ShamAY0033523-ara2,0.89511,RELEASE
0761IbnKaykaldi.JamicTahsil.Shamela0025864-ara1,0.89448,RELEASE
35960.json,0.89406,RAWrabicaShamAY3
0762IbnYusufZaylaci.NasbRaya.Shia002222Vols-ara1,0.89397,RELEASE
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.ShamAY0033523-ara2,0.89385,RELEASE
7375.json,0.89224,RAWrabicaShamAY1
0762MughultayIbnQilij.SharhSunanIbnMaja.Shamela0008544-ara1,0.89186,RELEASE
0762MughultayIbnQilij.SharhSunanIbnMaja.Shamela0008544-ara1,0.89153,RELEASE
37265.json,0.89032,RAWrabicaShamAY3
5719.json,0.88987,RAWrabicaShamAY1
0852IbnHajarCasqalani.ImtacBiArbacin.JK001031-ara1,0.88912,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.8891,RELEASE
17878.bok.json,0.889,RAWrabicaSham19Y
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.88891,RELEASE
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.88864,RELEASE
32663.json,0.88861,RAWrabicaShamAY2
0795IbnRajabHanbali.SharhCilalTirmidhi.JK006673-ara1,0.88846,RELEASE
5922.json,0.88821,RAWrabicaShamAY1
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.88806,RELEASE
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.88771,RELEASE
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.88749,RELEASE
33145.json,0.88742,RAWrabicaShamAY2
96948.bok.json,0.88717,RAWrabicaSham19Y
2049.json,0.88697,RAWrabicaShamAY1
0628IbnQattanFasi.BayanWahm.Shamela0005923-ara1,0.88642,RELEASE
5923.json,0.88588,RAWrabicaShamAY1
0662RashidAttar.GhurarFawaid.Shia002206-ara1,0.88572,RELEASE
0662RashidAttar.GhurarFawaid.Shia002206-ara1,0.88541,RELEASE
0628IbnQattanFasi.BayanWahm.Shamela0005923-ara1,0.88474,RELEASE
Sham30K0002749,0.88415,RAWrabica005000
0855BadrDinCayni.SharhSunanAbiDawud.Shamela0008540-ara1,0.88411,RELEASE
0354IbnHibbanBusti.Majruhin.Shia003101Vols-ara1,0.88322,RELEASE
0662RashidAttar.GhurarFawaid.JK000737-ara1,0.88321,RELEASE
0855BadrDinCayni.SharhSunanAbiDawud.Shamela0008540-ara1,0.8831,RELEASE
0662RashidAttar.GhurarFawaid.Shamela0002749-ara1,0.88295,RELEASE
0852IbnHajarCasqalani.TalkhisHabir.ShamAY0034124-ara1,0.88255,RELEASE
2749.bok.json,0.88251,RAWrabicaSham19Y
6035.bok.json,0.88218,RAWrabicaSham19Y
0804IbnMulaqqin.BadrMunir.JK009137-ara1,0.88217,RELEASE
0852IbnHajarCasqalani.QawlMusaddad.Shamela0006035-ara1,0.88212,RELEASE
0852IbnHajarCasqalani.QawlMusaddad.JK000755-ara1,0.88163,RELEASE
0852IbnHajarCasqalani.TalkhisHabir.JK000559-ara1,0.88146,RELEASE
2749.json,0.88146,RAWrabicaShamAY1
6035.json,0.88132,RAWrabicaShamAY1
0628IbnQattanFasi.BayanWahm.JK009146-ara1,0.88124,RELEASE
0802IbnMusaAbnasi.ShadhaFayyah.Shamela0007349-ara1,0.88096,RELEASE
33523.json,0.88035,RAWrabicaShamAY2
0802IbnMusaAbnasi.ShadhaFayyah.Shamela0007349-ara1,0.88007,RELEASE
1276.json,0.87936,RAWrabicaShamAY1
33528.json,0.8791,RAWrabicaShamAY2
0852IbnHajarCasqalani.QawlMusaddad.Shia002242-ara1,0.87867,RELEASE
0911Suyuti.TanwirHawalik.ShamAY0033528-ara1,0.87853,RELEASE
5757.bok.json,0.87837,RAWrabicaSham19Y
12713.json,0.87834,RAWrabicaShamAY2
0702IbnDaqiqCidQushayri.IlmamBiAhadith.ShamAY0033975-ara1,0.87817,RELEASE
5757.json,0.87812,RAWrabicaShamAY1
0911Suyuti.TanwirHawalik.Shamela0005757-ara1,0.87799,RELEASE
0911Suyuti.TanwirHawalik.JK000556-ara1,0.87795,RELEASE
Shamela038171.txt,0.87779,raw_ShamelaY19
32191.json,0.87732,RAWrabicaShamAY2
0852IbnHajarCasqalani.QawlMusaddad.Shia002242-ara1,0.87729,RELEASE
0702IbnDaqiqCidQushayri.IlmamBiAhadith.ShamAY0033975-ara1,0.87714,RELEASE
14317.bok.json,0.87713,RAWrabicaSham19Y
98139.bok.json,0.87687,RAWrabicaSham19Y
31759.json,0.87685,RAWrabicaShamAY2
31623.json,0.87671,RAWrabicaShamAY2
1205MurtadaZabidi.TakhrijAhadithIhyaCulumDin.Sham19Y0038171-ara1,0.87668,RELEASE
6011.bok.json,0.87644,RAWrabicaSham19Y
33975.json,0.87623,RAWrabicaShamAY2
1205MurtadaZabidi.TakhrijAhadithIhyaCulumDin.Sham19Y0038171-ara1,0.87612,RELEASE
11428.json,0.87606,RAWrabicaShamAY2
0721IbnRushaydSabti.SunanAbyan.Shamela0006011-ara1,0.87602,RELEASE
Shamela022800.txt,0.87595,raw_ShamelaY19
6011.json,0.87542,RAWrabicaShamAY1
32538.json,0.87506,RAWrabicaShamAY2
0721IbnRushaydSabti.SunanAbyan.JK000590-ara1,0.87504,RELEASE
8544.json,0.87455,RAWrabicaShamAY1
0721IbnRushaydSabti.SunanAbyan.JK000590-ara1,0.87437,RELEASE
0911Suyuti.BudurSafira.ShamAY0034815-ara1,0.87412,RELEASE
0762IbnYusufZaylaci.NasbRaya.Shamela0011428-ara1,0.87365,RELEASE
37297.json,0.87353,RAWrabicaShamAY3
0911Suyuti.BudurSafira.ShamAY0034815-ara1,0.87341,RELEASE
22800.json,0.8733,RAWrabicaShamAY2
Sham30K0002572,0.87306,RAWrabica005000
37264.json,0.87304,RAWrabicaShamAY3
25864.json,0.87299,RAWrabicaShamAY2
Sham30K0034049,0.87264,RAWrabica020000
2135.html,0.87252,RAWrabicaRafed
0762IbnYusufZaylaci.NasbRaya.Shamela0011428-ara1,0.87237,RELEASE
35661.json,0.87226,RAWrabicaShamAY3
11428.bok.json,0.87219,RAWrabicaSham19Y
8971.json,0.87219,RAW_ABLibrary
Shamela098139.txt,0.87132,raw_ShamelaY19
0802IbnMusaAbnasi.ShadhaFayyah.JK000981-ara1,0.87072,RELEASE
31779.json,0.87072,RAWrabicaShamAY2
13642.bok.json,0.87048,RAWrabicaSham19Y
0748Dhahabi.TadhkiratHuffaz.Shia003279Vols-ara1,0.87002,RELEASE
Shamela096948.txt,0.86996,raw_ShamelaY19
34124.json,0.86991,RAWrabicaShamAY2
8540.json,0.86925,RAWrabicaShamAY1
34041.json,0.86896,RAWrabicaShamAY2
0405HakimNaysaburi.MacrifatCulumHadith.ShamAY0034041-ara1,0.86854,RELEASE
23163.json,0.8682,RAWrabicaShamAY2
1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi.Shamela0021662-ara1,0.86817,RELEASE
0762IbnYusufZaylaci.NasbRaya.JK000471-ara1,0.86817,RELEASE
1163.json,0.86807,RAWrabicaShamAY1
1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi.JK000201-ara1,0.8679,RELEASE
13241.bok.json,0.86774,RAWrabicaSham19Y
Shamela023163.txt,0.86756,raw_ShamelaY19
16928.bok.json,0.86753,RAWrabicaSham19Y
0852IbnHajarCasqalani.LisanMizan.Shia003341Vols-ara2,0.86736,RELEASE
10024.json,0.86726,RAWrabicaShamAY1
1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi.Shia001853Vols-ara1,0.86726,RELEASE
31758.json,0.86716,RAWrabicaShamAY2
32484.json,0.86709,RAWrabicaShamAY2
Shamela021662.txt,0.86701,raw_ShamelaY19
5914.json,0.86674,RAWrabicaShamAY1
10906.json,0.8667,RAWrabicaShamAY2
37276.json,0.86657,RAWrabicaShamAY3
0623AbuQasimRafici.SharhMusnadShafici.Sham19Y0123510-ara1,0.86644,RELEASE
0734IbnSayyidNas.CuyunAthar.Shia003714Vols-ara1,0.86633,RELEASE
Sham30K0014537,0.86624,RAWrabica015000
1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi.JK000201-ara1,0.86624,RELEASE
10280.bok.json,0.86619,RAWrabicaSham19Y
Shamela036976.txt,0.86611,raw_ShamelaY19
37348.json,0.86599,RAWrabicaShamAY3
5914.bok.json,0.86598,RAWrabicaSham19Y
33029.json,0.86594,RAWrabicaShamAY2
Sham30K0002509,0.86589,RAWrabica005000
Shia002222Vols,0.86587,RAWrabica040000
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.JK009389-ara1,0.86567,RELEASE
12063.json,0.86564,RAWrabicaShamAY2
0852IbnHajarCasqalani.LisanMizan.Shamela0012063-ara2,0.8656,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.86549,RELEASE
Sham30K0033901,0.8654,RAWrabica020000
33598.json,0.86535,RAWrabicaShamAY2
Shamela036147.txt,0.86533,raw_ShamelaY19
Shamela123510.txt,0.86513,raw_ShamelaY19
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.Shamela0023163-ara1,0.86494,RELEASE
1711.json,0.86474,RAWrabicaShamAY1
0911Suyuti.TanwirHawalik.ShamAY0033522-ara2,0.86471,RELEASE
36976.bok.json,0.86467,RAWrabicaSham19Y
Shamela021601.txt,0.86464,raw_ShamelaY19
0734IbnSayyidNas.CuyunAthar.Shia003714Vols-ara1,0.86461,RELEASE
0794BadrDinZarkashi.TadhkiraFiAhadithMashhura.Shamela0006061-ara1,0.8646,RELEASE
0794BadrDinZarkashi.TadhkiraFiAhadithMashhura.JK001271-ara1,0.86453,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.86448,RELEASE
