unknown,TFIDF_cosine,libVar
11484.bok.json,0.99995,RAWrabicaSham19Y
11484.json,0.99995,RAWrabicaShamAY2
9183.json,0.90907,RAW_ABLibrary
2640.html,0.90724,RAWrabicaRafed
3263.html,0.8445,RAWrabicaRafed
9185.json,0.8427,RAW_ABLibrary
9184.json,0.70846,RAW_ABLibrary
2641.html,0.69828,RAWrabicaRafed
0626YaqutHamawi.MucjamBuldan.JK000129-ara1,0.66558,RELEASE
0626YaqutHamawi.MucjamBuldan.ShamAY0033803-ara1,0.66504,RELEASE
33803.json,0.66482,RAWrabicaShamAY2
2619.html,0.59737,RAWrabicaRafed
23735.bok.json,0.59524,RAWrabicaSham19Y
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1,0.59465,RELEASE
0626YaqutHamawi.MucjamBuldan.Shia003435Vols-ara1,0.59453,RELEASE
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1,0.59425,RELEASE
23735.json,0.5933,RAWrabicaShamAY2
002942Vols.automARkdown,0.59137,RAW_Masaha
2620.html,0.59052,RAWrabicaRafed
Shamela023735.txt,0.58971,raw_ShamelaY19
3202.html,0.58745,RAWrabicaRafed
Shia003435Vols,0.57619,RAWrabica045000
3199.html,0.55165,RAWrabicaRafed
004546Vols.automARkdown,0.54663,RAW_Masaha
3110.html,0.53614,RAWrabicaRafed
0947BamakhramaHimyari.Nisba.ShamAY0037021-ara1,0.53203,RELEASE
0947BamakhramaHimyari.Nisba.ShamAY0037021-ara1,0.53139,RELEASE
37021.json,0.53125,RAWrabicaShamAY3
Sham30K0002760,0.53124,RAWrabica005000
2521.html,0.51914,RAWrabicaRafed
004656.automARkdown,0.51362,RAW_Masaha
7887.json,0.51298,RAW_ABLibrary
2453.html,0.50572,RAWrabicaRafed
8936.json,0.50567,RAW_ABLibrary
23677.bok.json,0.50343,RAWrabicaSham19Y
Shamela023677.txt,0.50333,raw_ShamelaY19
002873.automARkdown,0.50323,RAW_Masaha
004773.automARkdown,0.50308,RAW_Masaha
004107.automARkdown,0.50177,RAW_Masaha
122.json,0.50171,RAWrabicaShamAY1
23677.json,0.50112,RAWrabicaShamAY2
0584IbnMusaHazimi.Amakin.Shamela0000122-ara1,0.50086,RELEASE
1346CabbasIbnMuhammadMadani.MukhtasarFathRabbArbab.Shamela0031381-ara1,0.49655,RELEASE
1346CabbasIbnMuhammadMadani.MukhtasarFathRabbArbab.Shamela0031381-ara1,0.49606,RELEASE
9777.bok.json,0.49266,RAWrabicaSham19Y
937.json,0.49244,RAWrabicaShamAY1
Shamela031381.txt,0.48796,raw_ShamelaY19
2485.html,0.48669,RAWrabicaRafed
31381.json,0.48282,RAWrabicaShamAY2
3786.html,0.47994,RAWrabicaRafed
2213.html,0.47913,RAWrabicaRafed
9042.json,0.47498,RAW_ABLibrary
0900AbuCabdAllahHimyari.RawdMictar.JK009398-ara1,0.47495,RELEASE
2537.html,0.47251,RAWrabicaRafed
9129.json,0.47173,RAW_ABLibrary
2533.html,0.46819,RAWrabicaRafed
2296.html,0.46734,RAWrabicaRafed
12521.json,0.46622,RAWrabicaShamAY2
