unknown,TFIDF_cosine,libVar
Shia002942,0.98593,RAWrabica045000
12288.json,0.83362,RAWrabicaShamAY2
3401.html,0.82453,RAWrabicaRafed
3387.html,0.81449,RAWrabicaRafed
Sham30K0033831,0.81031,RAWrabica020000
1524.json,0.80968,RAWrabicaShamAY1
0676Nawawi.TahdhibAsma.Shamela0009702-ara1,0.80965,RELEASE
23700.json,0.80698,RAWrabicaShamAY2
23700.bok.json,0.80657,RAWrabicaSham19Y
3421.html,0.80532,RAWrabicaRafed
3426.html,0.80511,RAWrabicaRafed
0676Nawawi.TahdhibAsma.Shamela0009702-ara1,0.8038,RELEASE
0676Nawawi.TahdhibAsma.ShamAY0009702-ara1,0.80371,RELEASE
0774IbnKathir.TuhfatTalib.Shamela0009978-ara1,0.80321,RELEASE
Shamela026484.txt,0.80265,raw_ShamelaY19
Shia003041Vols,0.80156,RAWrabica045000
0645TilimsaniBurri.Jawhara.Shamela0026484-ara1,0.80095,RELEASE
34568.json,0.80088,RAWrabicaShamAY3
7412.json,0.80074,RAW_ABLibrary
2517.html,0.8,RAWrabicaRafed
26484.json,0.79959,RAWrabicaShamAY2
Shamela122409.txt,0.79944,raw_ShamelaY19
7522.json,0.79939,RAW_ABLibrary
3400.html,0.79928,RAWrabicaRafed
0597IbnJawzi.Mujtaba.Sham19Y0122409-ara1,0.79869,RELEASE
0774IbnKathir.TuhfatTalib.Shamela0009978-ara1,0.79734,RELEASE
0630IbnAthirCizzDin.UsdGhaba.Shamela0023700-ara1,0.79713,RELEASE
38020.json,0.79599,RAWrabicaShamAY3
0852IbnHajarCasqalani.IsabaFiTamyiz.ShamAY0034568-ara3,0.79582,RELEASE
0645TilimsaniBurri.Jawhara.JK010493-ara1,0.79518,RELEASE
0645TilimsaniBurri.Jawhara.Shamela0026484-ara1,0.79512,RELEASE
3427.html,0.79483,RAWrabicaRafed
Shamela023700.txt,0.79456,raw_ShamelaY19
9702.json,0.79439,RAWrabicaShamAY1
23647.json,0.79366,RAWrabicaShamAY2
31729.json,0.7936,RAWrabicaShamAY2
0597IbnJawzi.Mujtaba.Sham19Y0122409-ara1,0.79265,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.79257,RELEASE
0630IbnAthirCizzDin.UsdGhaba.Shamela0023700-ara1,0.79161,RELEASE
2248.html,0.79085,RAWrabicaRafed
9146.json,0.79064,RAW_ABLibrary
33598.json,0.79036,RAWrabicaShamAY2
10695.json,0.78994,RAWrabicaShamAY1
0630IbnAthirCizzDin.UsdGhaba.Shia003230Vols-ara1,0.7895,RELEASE
2227.html,0.78947,RAWrabicaRafed
10695.bok.json,0.78888,RAWrabicaSham19Y
Shamela020761.txt,0.78792,raw_ShamelaY19
0826IbnCiraqi.Mustafad.ShamAY0034015-ara1,0.78759,RELEASE
Shia003230Vols,0.78754,RAWrabica045000
0762MughultayIbnQilij.Inaba.Sham19Y0020761-ara1,0.78725,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.78655,RELEASE
34015.json,0.78632,RAWrabicaShamAY2
1133.json,0.78604,RAWrabicaShamAY1
32195.json,0.78588,RAWrabicaShamAY2
001864Vols.automARkdown,0.7851,RAW_Masaha
