unknown,TFIDF_cosine,libVar
0748Dhahabi.MacrifaQurraKibar.ShamAY0034609-ara1,0.98468,RELEASE
34609.json,0.9845,RAWrabicaShamAY3
0748Dhahabi.MacrifaQurraKibar.JK000443-ara1,0.98443,RELEASE
Sham30K0008432,0.98398,RAWrabica010000
8349.json,0.97372,RAWrabicaShamAY1
38181.json,0.9737,RAWrabicaShamAY3
8349.bok.json,0.97339,RAWrabicaSham19Y
Sham30K0008349,0.97241,RAWrabica010000
3404.html,0.95512,RAWrabicaRafed
Sham30K0002784,0.94452,RAWrabica005000
35815.json,0.94282,RAWrabicaShamAY3
Sham30K0044036,0.94177,RAWrabica030000
Shamela0008349,0.93941,RAWrabica035000
0742Mizzi.TahdhibKamal.JK000144-ara1,0.91308,RELEASE
11036.bok.json,0.90962,RAWrabicaSham19Y
11036.json,0.90867,RAWrabicaShamAY2
Sham30K0033963,0.9079,RAWrabica020000
2893.html,0.90389,RAWrabicaRafed
0748Dhahabi.TadhkiratHuffaz.JK000532-ara1,0.9037,RELEASE
0806IbnHusaynZaynDinCiraqi.TarhTarthib.JK007117-ara1,0.90322,RELEASE
0748Dhahabi.TadhkiratHuffaz.Shamela0001583-ara2,0.89945,RELEASE
34667.json,0.89911,RAWrabicaShamAY3
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.89808,RELEASE
Shamela020870.txt,0.89655,raw_ShamelaY19
2718.html,0.89622,RAWrabicaRafed
Shamela026726.txt,0.89408,raw_ShamelaY19
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.89392,RELEASE
26726.json,0.89328,RAWrabicaShamAY2
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.89125,RELEASE
0833IbnJazari.GhayatNihaya.Shamela0012040-ara1,0.89116,RELEASE
12040.bok.json,0.89107,RAWrabicaSham19Y
12040.json,0.89048,RAWrabicaShamAY2
2892.html,0.88991,RAWrabicaRafed
38177.json,0.88972,RAWrabicaShamAY3
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.88963,RELEASE
2138.html,0.88772,RAWrabicaRafed
2894.html,0.8874,RAWrabicaRafed
34014.json,0.88513,RAWrabicaShamAY2
Shamela149213.txt,0.88487,raw_ShamelaY19
8677.json,0.88468,RAWrabicaShamAY1
0636IbnKhalfunAzdi.AsmaShuyukhMalik.ShamAY0034580-ara1,0.88454,RELEASE
26857.json,0.88408,RAWrabicaShamAY2
0748Dhahabi.TadhhibTahdhib.Sham19Y0149213-ara1,0.88352,RELEASE
0879IbnQutlubugha.Thiqat.Shamela0096165-ara1,0.88341,RELEASE
2137.html,0.88308,RAWrabicaRafed
0762MughultayIbnQilij.IkmalTahdhib.ShamAY0034647-ara3,0.88284,RELEASE
Shamela036515.txt,0.88283,raw_ShamelaY19
Shamela026857.txt,0.88268,raw_ShamelaY19
329.json,0.88242,RAWrabicaShamAY1
2890.html,0.88217,RAWrabicaRafed
0833IbnJazari.GhayatNihaya.JK010283-ara1,0.88207,RELEASE
0762MughultayIbnQilij.IkmalTahdhib.Shamela0036515-ara1,0.8817,RELEASE
0748Dhahabi.TadhkiratHuffaz.Shia003279Vols-ara1,0.881,RELEASE
812.json,0.88097,RAW_ABLibrary
30327.json,0.88087,RAWrabicaShamAY2
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.88069,RELEASE
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.88064,RELEASE
34668.json,0.88058,RAWrabicaShamAY3
2904.html,0.88021,RAWrabicaRafed
34580.json,0.88021,RAWrabicaShamAY3
5797.bok.json,0.88005,RAWrabicaSham19Y
2717.html,0.87999,RAWrabicaRafed
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,0.87997,RELEASE
5797.json,0.87985,RAWrabicaShamAY1
0629IbnNuqta.TakmilatIkmal.JK000618-ara1,0.87982,RELEASE
Shamela030327.txt,0.87979,raw_ShamelaY19
2330.html,0.87912,RAWrabicaRafed
811.json,0.87814,RAW_ABLibrary
0762MughultayIbnQilij.IkmalTahdhib.Shia003311Vols-ara1,0.87707,RELEASE
2959.html,0.87699,RAWrabicaRafed
9076.json,0.87674,RAWrabicaShamAY1
Shamela096233.txt,0.87662,raw_ShamelaY19
5798.json,0.87631,RAWrabicaShamAY1
3214.html,0.87604,RAWrabicaRafed
2139.html,0.87518,RAWrabicaRafed
Shamela122397.txt,0.87471,raw_ShamelaY19
Shia003430Vols,0.87453,RAWrabica045000
2981.html,0.87435,RAWrabicaRafed
2642.automARkdown,0.8743,RAW_Ghbook
Shamela096165.txt,0.87393,raw_ShamelaY19
2713.html,0.87311,RAWrabicaRafed
1765.html,0.87212,RAWrabicaRafed
2980.html,0.87154,RAWrabicaRafed
2887.html,0.87149,RAWrabicaRafed
Shamela096228.txt,0.8713,raw_ShamelaY19
5728.bok.json,0.87096,RAWrabicaSham19Y
2899.html,0.87092,RAWrabicaRafed
9584.bok.json,0.87073,RAWrabicaSham19Y
0636IbnKhalfunAzdi.Muclim.Sham19Y0017842-ara1,0.87043,RELEASE
2714.html,0.87042,RAWrabicaRafed
2356.html,0.87016,RAWrabicaRafed
9584.json,0.87003,RAWrabicaShamAY1
96165.bok.json,0.86988,RAWrabicaSham19Y
1676.json,0.86971,RAWrabicaShamAY1
32503.json,0.86967,RAWrabicaShamAY2
5728.json,0.86966,RAWrabicaShamAY1
1766.html,0.86964,RAWrabicaRafed
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.86927,RELEASE
1135.json,0.86904,RAWrabicaShamAY1
31576.json,0.86881,RAWrabicaShamAY2
33580.json,0.86844,RAWrabicaShamAY2
5851.json,0.86825,RAWrabicaShamAY1
30594.json,0.86801,RAWrabicaShamAY2
0855BadrDinCayni.MaghaniAkhyar.JK011148-ara1,0.86795,RELEASE
2582.html,0.86784,RAWrabicaRafed
813.json,0.86766,RAW_ABLibrary
0855BadrDinCayni.MaghaniAkhyar.Shamela0010452-ara1,0.86715,RELEASE
33699.json,0.8664,RAWrabicaShamAY2
2283.html,0.86636,RAWrabicaRafed
30646.json,0.86611,RAWrabicaShamAY2
2332.html,0.86575,RAWrabicaRafed
2902.html,0.86438,RAWrabicaRafed
2900.html,0.86432,RAWrabicaRafed
Sham30K0002786,0.86407,RAWrabica005000
12317.json,0.86387,RAWrabicaShamAY2
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030594-ara1,0.86313,RELEASE
30606.json,0.86308,RAWrabicaShamAY2
2982.html,0.86287,RAWrabicaRafed
12581.bok.json,0.86278,RAWrabicaSham19Y
0842IbnNasirDinDimashqi.TawdihMushtabih.Shamela0005812-ara1,0.86258,RELEASE
2323.html,0.86255,RAWrabicaRafed
1782.html,0.8625,RAWrabicaRafed
0842IbnNasirDinDimashqi.TawdihMushtabih.JK007097-ara1,0.86234,RELEASE
2410.html,0.86229,RAWrabicaRafed
5742.json,0.86218,RAWrabicaShamAY1
5812.json,0.86218,RAWrabicaShamAY1
