unknown,TFIDF_cosine,libVar
0748Dhahabi.Muqtana.JK001489-ara1,0.99433,RELEASE
0385Daraqutni.DhikrAsmaTabicin.Shamela0005881-ara1,0.93099,RELEASE
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.93063,RELEASE
34014.json,0.93039,RAWrabicaShamAY2
Sham30K0039090,0.92842,RAWrabica025000
5881.bok.json,0.92676,RAWrabicaSham19Y
5881.json,0.92616,RAWrabicaShamAY1
3225.html,0.92057,RAWrabicaRafed
0911Suyuti.DhaylTabaqatHuffaz.Shamela0007315-ara1,0.91657,RELEASE
0911Suyuti.DhaylTabaqatHuffaz.Shamela0007315-ara1,0.91632,RELEASE
0405HakimNaysaburi.TasmiyatManAkhrajahum.Shamela0005853-ara1,0.91475,RELEASE
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.91208,RELEASE
34667.json,0.91051,RAWrabicaShamAY3
Shamela096233.txt,0.90996,raw_ShamelaY19
38191.json,0.90961,RAWrabicaShamAY3
7315.json,0.90946,RAWrabicaShamAY1
Shamela096165.txt,0.90886,raw_ShamelaY19
0378HakimKabir.AsamiWaKuna.ShamAY0034585-ara1,0.90881,RELEASE
38189.json,0.90842,RAWrabicaShamAY3
2612.html,0.90791,RAWrabicaRafed
0580IbnCaliIbnAbiYacla.TajridAsmaWaKuna.Shamela0096233-ara1,0.90736,RELEASE
34585.json,0.90579,RAWrabicaShamAY3
5850.json,0.90497,RAWrabicaShamAY1
5850.bok.json,0.90494,RAWrabicaSham19Y
0765AbuMahasinHusayni.IkmalLiRijal.Shamela0005850-ara1,0.90455,RELEASE
0765AbuMahasinHusayni.IkmalLiRijal.JK000547-ara1,0.90449,RELEASE
0765AbuMahasinHusayni.IkmalLiRijal.Shamela0005850-ara1,0.90409,RELEASE
8926.json,0.90182,RAW_ABLibrary
Shamela096228.txt,0.89999,raw_ShamelaY19
2718.html,0.89912,RAWrabicaRafed
96165.bok.json,0.89876,RAWrabicaSham19Y
1676.json,0.89858,RAWrabicaShamAY1
2900.html,0.89842,RAWrabicaRafed
0765AbuMahasinHusayni.IkmalLiRijal.Shia003314-ara1,0.89824,RELEASE
5813.bok.json,0.89793,RAWrabicaSham19Y
8258.json,0.89783,RAW_ABLibrary
2892.html,0.89688,RAWrabicaRafed
0395IbnMandahMuhammad.FathBab.Shamela0005813-ara1,0.89647,RELEASE
5813.json,0.89633,RAWrabicaShamAY1
5853.json,0.89622,RAWrabicaShamAY1
2054.json,0.89537,RAWrabicaShamAY1
0742Mizzi.TahdhibKamal.JK000144-ara1,0.89508,RELEASE
Shamela022659.txt,0.89352,raw_ShamelaY19
2857.html,0.8928,RAWrabicaRafed
2893.html,0.89199,RAWrabicaRafed
2467.html,0.89135,RAWrabicaRafed
2410.html,0.88989,RAWrabicaRafed
5889.json,0.88943,RAWrabicaShamAY1
5777.bok.json,0.88933,RAWrabicaSham19Y
5777.json,0.88889,RAWrabicaShamAY1
0748Dhahabi.MucinFiTabaqatMuhaddithin.Shamela0005889-ara1,0.88883,RELEASE
0261Muslim.KunaWaAsma.Shamela0007340-ara1,0.88881,RELEASE
34594.json,0.88844,RAWrabicaShamAY3
2890.html,0.88844,RAWrabicaRafed
5804.bok.json,0.88841,RAWrabicaSham19Y
0463KhatibBaghdadi.GhunyatMultamis.Shamela0005777-ara1,0.8883,RELEASE
5804.json,0.88785,RAWrabicaShamAY1
0405AbuFadlHarawi.MucjamFiMushtabah.Shamela0005804-ara1,0.88658,RELEASE
38186.json,0.88638,RAWrabicaShamAY3
2330.html,0.88587,RAWrabicaRafed
30646.json,0.88578,RAWrabicaShamAY2
0412Sulami.SualatLiDaruqutni.Shamela0001680-ara1,0.88546,RELEASE
0852IbnHajarCasqalani.TabsirMuntabih.Shamela0004092-ara1,0.88485,RELEASE
4092.json,0.88479,RAWrabicaShamAY1
0852IbnHajarCasqalani.TabsirMuntabih.JK009358-ara1,0.88478,RELEASE
0852IbnHajarCasqalani.TabsirMuntabih.Shamela0004092-ara1,0.88418,RELEASE
26857.json,0.88399,RAWrabicaShamAY2
5798.json,0.88269,RAWrabicaShamAY1
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.88262,RELEASE
2235.html,0.88211,RAWrabicaRafed
31576.json,0.88179,RAWrabicaShamAY2
5809.json,0.88142,RAWrabicaShamAY1
0852IbnHajarCasqalani.NuzhatAlbab.Shamela0005809-ara1,0.8812,RELEASE
0852IbnHajarCasqalani.NuzhatAlbab.JK000936-ara1,0.88109,RELEASE
0852IbnHajarCasqalani.NuzhatAlbab.Shamela0005809-ara1,0.88081,RELEASE
0385Daraqutni.Ducafa.Shamela0010802-ara1,0.88004,RELEASE
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,0.87983,RELEASE
5797.bok.json,0.87982,RAWrabicaSham19Y
10542.json,0.87978,RAWrabicaShamAY1
0629IbnNuqta.TakmilatIkmal.JK000618-ara1,0.87968,RELEASE
5797.json,0.87936,RAWrabicaShamAY1
2713.html,0.87928,RAWrabicaRafed
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,0.87906,RELEASE
2894.html,0.87901,RAWrabicaRafed
8945.json,0.87892,RAW_ABLibrary
12581.bok.json,0.87859,RAWrabicaSham19Y
9147.json,0.8785,RAW_ABLibrary
2642.automARkdown,0.87828,RAW_Ghbook
1293.json,0.87736,RAWrabicaShamAY1
0385Daraqutni.MutalifWaMukhtalif.Shamela0012581-ara1,0.87679,RELEASE
Shamela026857.txt,0.87635,raw_ShamelaY19
0256Bukhari.DucafaSaghir.Shia003070-ara1,0.87625,RELEASE
1767.html,0.87617,RAWrabicaRafed
0852AbuNucaymMustamli.ArabacinMutabayina.ShamAY0032859-ara1,0.87601,RELEASE
30652.json,0.87586,RAWrabicaShamAY2
32859.json,0.87585,RAWrabicaShamAY2
1765.html,0.87557,RAWrabicaRafed
0852AbuNucaymMustamli.ArabacinMutabayina.ShamAY0032859-ara1,0.87537,RELEASE
30606.json,0.87525,RAWrabicaShamAY2
1766.html,0.8748,RAWrabicaRafed
0365IbnCadiJurjani.AsamiManRawaCanhum.Shamela0005862-ara1,0.8748,RELEASE
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.87475,RELEASE
30327.json,0.87451,RAWrabicaShamAY2
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.87447,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.87435,RELEASE
2312.html,0.87426,RAWrabicaRafed
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.87412,RELEASE
5893.json,0.87402,RAWrabicaShamAY1
0234AbuHasanSacdi.TasmiyatManRuwiya.JK000504-ara1,0.87396,RELEASE
2887.html,0.87385,RAWrabicaRafed
2465.html,0.87366,RAWrabicaRafed
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.87363,RELEASE
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.87286,RELEASE
Shamela030327.txt,0.87264,raw_ShamelaY19
Shamela030646.txt,0.87198,raw_ShamelaY19
26471.bok.json,0.87168,RAWrabicaSham19Y
Shamela026918.txt,0.87167,raw_ShamelaY19
0374IbnHusaynAzdi.DhikrIsmKullAshab.Shamela0026918-ara1,0.87158,RELEASE
5862.json,0.87121,RAWrabicaShamAY1
0256Bukhari.Ducafa.Shamela0008632-ara1,0.87116,RELEASE
2283.html,0.87096,RAWrabicaRafed
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.87061,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.87033,RELEASE
1782.html,0.8703,RAWrabicaRafed
30648.json,0.87027,RAWrabicaShamAY2
26471.json,0.87026,RAWrabicaShamAY2
30594.json,0.87024,RAWrabicaShamAY2
