unknown,TFIDF_cosine,libVar
6068.bok.json,0.99999,RAWrabicaSham19Y
6068.json,0.99999,RAWrabicaShamAY1
0748Dhahabi.TalkhisMawducatIbnJawzi.JK005018-ara1,0.99999,RELEASE
Sham30K0038875,0.95957,RAWrabica025000
6071.json,0.93655,RAWrabicaShamAY1
0748Dhahabi.AhadithMukhtaraMinMawducat.Shamela0006071-ara1,0.93589,RELEASE
0748Dhahabi.AhadithMukhtaraMinMawducat.JK005013-ara1,0.93573,RELEASE
6071.bok.json,0.93571,RAWrabicaSham19Y
0744IbnCabdHadi.TacliqaCalaCilal.JK007091-ara1,0.9164,RELEASE
Sham30K0034069,0.91632,RAWrabica020000
0744IbnCabdHadi.TacliqaCalaCilal.Shamela0011569-ara1,0.91489,RELEASE
11569.json,0.91439,RAWrabicaShamAY2
1375.json,0.89752,RAWrabicaShamAY1
Shamela026921.txt,0.89625,raw_ShamelaY19
347.json,0.89354,RAWrabicaShamAY1
0852IbnHajarCasqalani.TaghliqTacliq.JK000702-ara1,0.8928,RELEASE
0347.bok.json,0.89279,RAWrabicaSham19Y
0852IbnHajarCasqalani.TaghliqTacliq.Shamela0000347-ara1,0.89236,RELEASE
32828.json,0.88726,RAWrabicaShamAY2
5834.json,0.88524,RAWrabicaShamAY1
5834.bok.json,0.88439,RAWrabicaSham19Y
0748Dhahabi.Radd.Shamela0009075-ara1,0.88085,RELEASE
5930.json,0.87765,RAWrabicaShamAY1
12051.json,0.87517,RAWrabicaShamAY2
9075.json,0.87477,RAWrabicaShamAY1
0774IbnKathir.MusnadCumarIbnKhattab.Sham19Y0016555-ara2,0.87406,RELEASE
0852IbnHajarCasqalani.MukhtasarZawaidMusnadBazzar.ShamAY0033053-ara1,0.87399,RELEASE
Shamela029911.txt,0.87361,raw_ShamelaY19
0748Dhahabi.Radd.JK009387-ara1,0.87323,RELEASE
33053.json,0.87313,RAWrabicaShamAY2
Shamela026878.txt,0.87244,raw_ShamelaY19
38063.json,0.87237,RAWrabicaShamAY3
Shia001960,0.87171,RAWrabica040000
29911.json,0.87157,RAWrabicaShamAY2
Shamela030609.txt,0.87155,raw_ShamelaY19
38144.json,0.87126,RAWrabicaShamAY3
26878.json,0.87054,RAWrabicaShamAY2
10492.json,0.8703,RAWrabicaShamAY1
32921.json,0.87018,RAWrabicaShamAY2
Shamela026324.txt,0.86835,raw_ShamelaY19
30609.json,0.86723,RAWrabicaShamAY2
0852IbnHajarCasqalani.IthafMahara.Shamela0026324-ara1,0.86672,RELEASE
12992.json,0.86659,RAWrabicaShamAY2
5562.json,0.86534,RAWrabicaShamAY1
8243.json,0.86463,RAWrabicaShamAY1
5562.bok.json,0.86444,RAWrabicaSham19Y
2266.json,0.864,RAWrabicaShamAY1
31639.json,0.86358,RAWrabicaShamAY2
Sham30K0008243,0.86311,RAWrabica010000
33907.json,0.86195,RAWrabicaShamAY2
26324.json,0.86174,RAWrabicaShamAY2
Shamela131336.txt,0.86119,raw_ShamelaY19
12862.json,0.86117,RAWrabicaShamAY2
0807NurDinHaythami.KashfAstar.Shamela0012862-ara1,0.8611,RELEASE
32924.json,0.86029,RAWrabicaShamAY2
13162.bok.json,0.85933,RAWrabicaSham19Y
13022.json,0.8592,RAWrabicaShamAY2
32749.json,0.85912,RAWrabicaShamAY2
8209.json,0.85855,RAWrabicaShamAY1
Sham30K0008209,0.85852,RAWrabica010000
13162.json,0.85818,RAWrabicaShamAY2
33945.json,0.85801,RAWrabicaShamAY2
Shamela026559.txt,0.85693,raw_ShamelaY19
10514.json,0.85687,RAWrabicaShamAY1
33975.json,0.85687,RAWrabicaShamAY2
9371.json,0.85661,RAWrabicaShamAY1
32870.json,0.85641,RAWrabicaShamAY2
26559.json,0.85635,RAWrabicaShamAY2
34002.json,0.85615,RAWrabicaShamAY2
32824.json,0.85492,RAWrabicaShamAY2
33600.json,0.85488,RAWrabicaShamAY2
0702IbnDaqiqCidQushayri.IlmamBiAhadith.ShamAY0033975-ara1,0.85416,RELEASE
13059.json,0.8541,RAWrabicaShamAY2
31640.json,0.85391,RAWrabicaShamAY2
3976.json,0.85379,RAWrabicaShamAY1
3976.bok.json,0.85301,RAWrabicaSham19Y
33948.json,0.85293,RAWrabicaShamAY2
34134.json,0.85281,RAWrabicaShamAY2
33917.json,0.85263,RAWrabicaShamAY2
0852IbnHajarCasqalani.NataijAfkar.ShamAY0034134-ara1,0.85236,RELEASE
