unknown,TFIDF_cosine,libVar
0751IbnQayyimJawziyya.AmthalFiQuran.JK000869-ara1,0.98217,RELEASE
34421.json,0.98033,RAWrabicaShamAY3
0751IbnQayyimJawziyya.AmthalFiQuran.ShamAY0034421-ara1,0.97721,RELEASE
928.json,0.96375,RAWrabicaShamAY1
0751IbnQayyimJawziyya.AmthalFiQuran.Shia002657-ara1,0.95901,RELEASE
Shia002657,0.88938,RAWrabica040000
Shamela023606.txt,0.81554,raw_ShamelaY19
23606.bok.json,0.81381,RAWrabicaSham19Y
23606.json,0.81255,RAWrabicaShamAY2
0751IbnQayyimJawziyya.TafsirQuran.Shamela0023606-ara1,0.81241,RELEASE
2853.automARkdown,0.79259,RAW_Ghbook
0751IbnQayyimJawziyya.IghathatLahfan.Shamela0011688-ara1,0.79236,RELEASE
8913.json,0.79215,RAW_ABLibrary
0751IbnQayyimJawziyya.IghathatLahfan.ShamAY0034412-ara1,0.79213,RELEASE
11688.json,0.79182,RAWrabicaShamAY2
8597.json,0.7916,RAW_ABLibrary
3496.html,0.78999,RAWrabicaRafed
34412.json,0.78907,RAWrabicaShamAY3
8482.json,0.78846,RAW_ABLibrary
0751IbnQayyimJawziyya.IghathatLahfan.JK000087-ara1,0.78809,RELEASE
0751IbnQayyimJawziyya.DaWaDawa.ShamAY0034414-ara1,0.78776,RELEASE
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.78699,RELEASE
12021.bok.json,0.7869,RAWrabicaSham19Y
0751IbnQayyimJawziyya.DaWaDawa.JK000062-ara1,0.78685,RELEASE
0751IbnQayyimJawziyya.ShifaCalil.ShamAY0034426-ara1,0.7868,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.78654,RELEASE
3602.html,0.78646,RAWrabicaRafed
34414.json,0.78636,RAWrabicaShamAY3
9690.json,0.78613,RAWrabicaShamAY1
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.78606,RELEASE
0751IbnQayyimJawziyya.ShifaCalil.Shamela0012021-ara1,0.7858,RELEASE
3960.html,0.78568,RAWrabicaRafed
