unknown,TFIDF_cosine,libVar
0751IbnQayyimJawziyya.ManarMunif.Shamela0008566-ara1,0.99887,RELEASE
8566.json,0.99656,RAWrabicaShamAY1
0751IbnQayyimJawziyya.NaqdManqul.JK000096-ara1,0.95118,RELEASE
0751IbnQayyimJawziyya.NaqdManqul.ShamAY0034407-ara1,0.94565,RELEASE
34407.json,0.90759,RAWrabicaShamAY3
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0010443-ara1,0.86751,RELEASE
4268.json,0.86323,RAWrabicaShamAY1
10463.json,0.86293,RAWrabicaShamAY1
0795IbnRajabHanbali.JamicCulumWaHikam.ShamAY0033527-ara1,0.86237,RELEASE
0795IbnRajabHanbali.JamicCulumWaHikam.JK000071-ara1,0.86197,RELEASE
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0004268-ara1,0.86194,RELEASE
0795IbnRajabHanbali.RawaicTafsir.Shamela0010463-ara1,0.86182,RELEASE
6276.json,0.86093,RAWrabicaShamAY1
0665AbuShama.BacithCalaInkarBidac.JK000873-ara1,0.86009,RELEASE
0665AbuShama.BacithCalaInkarBidac.Shamela0006276-ara1,0.85999,RELEASE
0728IbnTaymiyya.IqtidaSirat.ShamAY0034358-ara1,0.85802,RELEASE
0728IbnTaymiyya.IqtidaSirat.JK000367-ara1,0.8573,RELEASE
Sham30K0044081,0.85534,RAWrabica030000
Shamela021713.txt,0.85335,raw_ShamelaY19
0751IbnQayyimJawziyya.ZadMacad.Shamela0021713-ara1,0.85199,RELEASE
8656.json,0.85188,RAWrabicaShamAY1
0606IbnAthirMajdDin.MucjamJamic.JK009336-ara1,0.85139,RELEASE
21713.json,0.85087,RAWrabicaShamAY2
0751IbnQayyimJawziyya.ZadMacad.JK000105-ara1,0.85009,RELEASE
Shamela025800.txt,0.84974,raw_ShamelaY19
0606IbnAthirMajdDin.MucjamJamic.Shamela0025800-ara1,0.84871,RELEASE
0795IbnRajabHanbali.LataifMacarif.Shamela0011363-ara1,0.84698,RELEASE
Shamela021502.txt,0.84623,raw_ShamelaY19
0795IbnRajabHanbali.FathBariFiSharhSahihBukhari.Shamela0000137-ara1,0.84619,RELEASE
11363.json,0.84564,RAWrabicaShamAY2
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shia002616Vols-ara1,0.84545,RELEASE
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.84527,RELEASE
Shamela020855.txt,0.84456,raw_ShamelaY19
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.JK000829-ara1,0.84442,RELEASE
21502.json,0.84415,RAWrabicaShamAY2
35976.json,0.8437,RAWrabicaShamAY3
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shamela0020855-ara1,0.8434,RELEASE
1450MuhammadCijajKhatib.SunnaQablaTadwin.Shamela0096178-ara1,0.84314,RELEASE
22649.json,0.8421,RAWrabicaShamAY2
Sham30K0033813,0.84197,RAWrabica020000
Sham30K0002504,0.84146,RAWrabica005000
0795IbnRajabHanbali.FathBariFiSharhSahihBukhari.JK009231-ara1,0.84098,RELEASE
495.json,0.84085,RAWrabicaShamAY1
6884.json,0.84062,RAWrabicaShamAY1
37299.json,0.84029,RAWrabicaShamAY3
000489.automARkdown,0.84006,RAW_Masaha
7661.json,0.84,RAWrabicaShamAY1
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.JK000160-ara1,0.83977,RELEASE
7661.bok.json,0.83944,RAWrabicaSham19Y
