unknown,TFIDF_cosine,libVar
Shamela145411.txt,1.0,raw_ShamelaY19
6840.bok.json,0.93988,RAWrabicaSham19Y
6840.json,0.93981,RAWrabicaShamAY1
0751IbnQayyimJawziyya.MiftahDarSacada.JK000082-ara1,0.93977,RELEASE
0751IbnQayyimJawziyya.MiftahDarSacada.Shamela0006840-ara1,0.93958,RELEASE
Shamela018612.txt,0.86328,raw_ShamelaY19
0751IbnQayyimJawziyya.IghathatLahfan.Sham19Y0018612-ara1,0.86146,RELEASE
0751IbnQayyimJawziyya.IghathatLahfan.Sham19Y0018612-ara1,0.86023,RELEASE
3496.html,0.85536,RAWrabicaRafed
Shamela037458.txt,0.85535,raw_ShamelaY19
8597.json,0.85471,RAW_ABLibrary
1238.json,0.8547,RAWrabicaShamAY1
Shamela020643.txt,0.85381,raw_ShamelaY19
660.json,0.85342,RAWrabicaShamAY1
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.85306,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.85299,RELEASE
1307Qannawji.FathBayan.Shamela0037458-ara1,0.85293,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.8529,RELEASE
1307Qannawji.FathBayan.Shamela0037458-ara1,0.85248,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.85222,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.85182,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.85149,RELEASE
Sham30K0002645,0.85067,RAWrabica005000
12034.bok.json,0.85007,RAWrabicaSham19Y
Shamela023631.txt,0.84965,raw_ShamelaY19
35828.json,0.84912,RAWrabicaShamAY3
3902.html,0.84903,RAWrabicaRafed
12034.json,0.84888,RAWrabicaShamAY2
3931.html,0.8487,RAWrabicaRafed
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.8486,RELEASE
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.84859,RELEASE
Sham30K0002800,0.84829,RAWrabica005000
8349.json,0.84772,RAW_ABLibrary
1437.html,0.84772,RAWrabicaRafed
3437.html,0.84768,RAWrabicaRafed
3914.html,0.84753,RAWrabicaRafed
8613.json,0.84735,RAWrabicaShamAY1
Shamela098093.txt,0.84722,raw_ShamelaY19
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.84702,RELEASE
Shamela145376.txt,0.8469,raw_ShamelaY19
Shamela023590.txt,0.84677,raw_ShamelaY19
1658.html,0.84672,RAWrabicaRafed
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.84657,RELEASE
591.json,0.8464,RAWrabicaShamAY1
12304.json,0.8461,RAWrabicaShamAY2
3960.html,0.84603,RAWrabicaRafed
37747.json,0.84599,RAWrabicaShamAY3
8913.json,0.84589,RAW_ABLibrary
0728IbnTaymiyya.JamicMasail.Sham19Y0016422-ara1,0.8457,RELEASE
Shamela023606.txt,0.84569,raw_ShamelaY19
Shamela036571.txt,0.84565,raw_ShamelaY19
37977.json,0.84563,RAWrabicaShamAY3
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.84556,RELEASE
23606.bok.json,0.8455,RAWrabicaSham19Y
38513.json,0.84534,RAWrabicaShamAY3
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.84513,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0145376-ara1,0.84505,RELEASE
3150.html,0.84473,RAWrabicaRafed
0751IbnQayyimJawziyya.DaWaDawa.Shamela0098093-ara1,0.84468,RELEASE
23631.json,0.84459,RAWrabicaShamAY2
23606.json,0.84415,RAWrabicaShamAY2
1354RashidRida.Manar.Tafsir02103-ara1,0.84413,RELEASE
0751IbnQayyimJawziyya.DaWaDawa.ShamAY0038516-ara1,0.84413,RELEASE
0751IbnQayyimJawziyya.DaWaDawa.ShamAY0038516-ara1,0.84292,RELEASE
23590.bok.json,0.84267,RAWrabicaSham19Y
876.html,0.84234,RAWrabicaRafed
0751IbnQayyimJawziyya.TafsirQuran.Shamela0023606-ara1,0.84224,RELEASE
470.json,0.84206,RAWrabicaShamAY1
1480.json,0.84177,RAWrabicaShamAY1
0751IbnQayyimJawziyya.TafsirQuran.Shamela0023606-ara1,0.84161,RELEASE
Shamela038000.txt,0.84158,raw_ShamelaY19
23590.json,0.84151,RAWrabicaShamAY2
0751IbnQayyimJawziyya.IghathatLahfan.ShamAY0034412-ara1,0.84122,RELEASE
34985.json,0.84107,RAWrabicaShamAY3
38000.bok.json,0.84094,RAWrabicaSham19Y
1412SayyidTabatabai.TafsirMizan.Tafsir04056-ara1,0.84061,RELEASE
Shamela038093.txt,0.84039,raw_ShamelaY19
1236.json,0.83987,RAWrabicaShamAY1
0751IbnQayyimJawziyya.ShifaCalil.ShamAY0034426-ara1,0.83933,RELEASE
2938.html,0.83933,RAWrabicaRafed
23608.bok.json,0.83917,RAWrabicaSham19Y
Shamela023608.txt,0.83897,raw_ShamelaY19
38093.bok.json,0.8389,RAWrabicaSham19Y
8513.json,0.83864,RAW_ABLibrary
0728IbnTaymiyya.JamicMasail.Sham19Y0018128-ara1,0.83849,RELEASE
Shamela133368.txt,0.83831,raw_ShamelaY19
000051Vols.automARkdown,0.8383,RAW_Masaha
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.83802,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.83778,RELEASE
23608.json,0.83776,RAWrabicaShamAY2
1412SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1,0.83761,RELEASE
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.83747,RELEASE
1444.html,0.83713,RAWrabicaRafed
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.83713,RELEASE
3602.html,0.83699,RAWrabicaRafed
3537.html,0.83684,RAWrabicaRafed
1412SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1,0.83667,RELEASE
1660.html,0.8366,RAWrabicaRafed
